"Gene name"	"score"	"pval"
"A1CF"	-0.222	0.014
"ABCB7"	-0.699	0.019
"ABCE1"	-0.409	0.025
"ABI2"	-0.137	0.02
"ACAT1"	-0.291	0.022
"ACBD5"	-0.434	0.025
"ACTL6B"	-0.801	0.036
"ADAM21"	-0.643	0.037
"ADCK5"	-0.401	0.012
"ADH5"	-0.692	0.041
"AFG3L2"	-0.331	0.024
"AIPL1"	-0.211	0
"AIRE"	-0.497	0.006
"ALG10B"	-0.704	0.015
"ALMS1"	-0.0825	0.041
"ANAPC4"	-0.926	0.011
"AP1AR"	-0.482	0.027
"APOBEC3B"	-0.709	0.031
"APOM"	-0.148	0.036
"AQR"	-1.32	0.015
"ARCN1"	-1.06	0
"ARHGAP27"	-0.553	0.015
"ARX"	-0.184	0.025
"ASH2L"	-0.552	0.022
"ASRGL1"	-0.349	0.034
"ATOH8"	-0.279	0.037
"ATP11C"	-0.316	0.007
"ATP6V0D1"	-0.749	0.025
"ATP6V1B2"	-0.305	0.018
"ATXN3"	-0.294	0.004
"AURKB"	-1.09	0.036
"B3GALNT2"	-0.726	0.042
"B3GNT5"	-0.218	0.032
"BACE2"	-0.218	0.003
"BAT1"	-0.329	0.011
"BCL3"	-0.277	0.015
"BCR"	-0.583	0.026
"BID"	-0.339	0.05
"BMF"	-0.296	0.035
"BMP7"	-0.44	0.045
"BMPR1A"	-0.575	0.015
"BRIX1"	-0.433	0.03
"BTRC"	-0.32	0.045
"C11orf31"	-0.157	0.03
"C11orf40"	-0.336	0.02
"C11orf64"	-0.588	0.026
"C12orf66"	-0.64	0.02
"C16orf28"	-0.259	0.042
"C16orf72"	-0.667	0.017
"C17orf102"	-0.243	0.032
"C19orf18"	-0.401	0.04
"C19orf2"	-0.312	0.02
"C19orf6"	-0.334	0.05
"C20orf177"	-0.341	0.05
"C20orf95"	-0.219	0.025
"C2orf81"	-0.506	0.033
"C5orf36"	-0.183	0.039
"C5orf51"	-0.216	0.04
"C7orf31"	-0.327	0.02
"C9orf30"	-0.693	0.015
"CAMK1D"	-0.337	0.011
"CAPZB"	-0.158	0.043
"CCDC108"	-0.552	0.047
"CCDC83"	-0.147	0.043
"CCDC93"	-0.502	0.043
"CCHCR1"	-0.221	0.044
"CCNB3"	-0.941	0
"CCNG1"	-0.861	0.036
"CCNI"	-0.162	0.017
"CCR8"	-0.184	0.012
"CCRN4L"	-0.244	0.027
"CCT3"	-1.26	0.001
"CCT6A"	-0.634	0.041
"CCT7"	-0.499	0.008
"CCT8"	-0.613	0
"CD1A"	-0.299	0.043
"CD70"	-0.415	0.044
"CD84"	-0.149	0.02
"CDA"	-0.307	0.009
"CDC23"	-0.817	0.014
"CDC40"	-0.317	0.013
"CDC5L"	-0.61	0.007
"CDCA5"	-0.925	0.018
"CDK11B"	-1.09	0.001
"CDK17"	-0.634	0.045
"CDK2AP2"	-0.4	0.02
"CDKL1"	-0.348	0.037
"CDKL3"	-0.481	0.049
"CDR2"	-0.352	0.027
"CEACAM21"	-0.324	0.017
"CEND1"	-0.954	0.018
"CENPC1"	-0.388	0.001
"CH25H"	-0.28	0.04
"CHST10"	-0.228	0.012
"CHUK"	-0.21	0.033
"CIRBP"	-0.496	0.012
"CKAP5"	-0.131	0.032
"CLEC5A"	-0.259	0.006
"CLTC"	-0.697	0.011
"CNTD1"	-0.24	0.021
"COBLL1"	-0.272	0.021
"COL25A1"	-0.436	0.035
"COPA"	-0.698	0.009
"COPB1"	-1.41	0.001
"COPB2"	-0.46	0.024
"COPE"	-0.31	0.032
"COPS2"	-0.497	0.02
"COPS4"	-0.337	0.014
"COPS5"	-0.16	0.018
"COPS8"	-0.502	0.039
"COPZ1"	-0.543	0.007
"CPPED1"	-0.71	0.022
"CPT1A"	-0.165	0.007
"CREB3L4"	-0.0796	0.02
"CRTAM"	-0.314	0.023
"CUL4B"	-0.934	0.02
"CX3CL1"	-0.328	0.011
"CXADR"	-0.544	0.011
"CYorf15A"	-0.57	0.039
"CYP11B2"	-0.0265	0.038
"CYP1A1"	-0.551	0.032
"CYP1A2"	-0.582	0.011
"DAPK1"	-0.69	0.007
"DARS"	-0.312	0.017
"DCLRE1A"	-0.192	0.02
"DDB1"	-0.313	0.039
"DDR1"	-0.777	0.02
"DDX18"	-0.715	0.032
"DDX21"	-0.57	0.011
"DDX23"	-0.421	0.05
"DDX28"	-0.359	0.001
"DDX41"	-0.636	0.048
"DDX46"	-0.442	0.017
"DDX49"	-0.82	0.015
"DDX51"	-0.521	0.021
"DDX59"	-0.282	0.03
"DEFB4"	-0.452	0.036
"DEM1"	-0.36	0.043
"DGUOK"	-0.509	0.017
"DHFR"	-0.32	0.021
"DHRS11"	-0.348	0.039
"DHX35"	-0.2	0.045
"DNAJC19"	-0.387	0.048
"DNASE1L2"	-0.137	0.02
"DNASE1L3"	-0.269	0.032
"DOPEY1"	-0.435	0.017
"DPP6"	-0.378	0.038
"DPY19L4"	-0.371	0.037
"DSC2"	-0.293	0.021
"DTWD1"	-0.33	0.046
"DTYMK"	-0.348	0.017
"DUSP13"	-0.403	0.043
"DYNLT3"	-0.395	0.025
"EBF3"	-0.343	0.045
"ECT2"	-0.679	0.02
"EEF2"	-0.866	0.001
"EFNA2"	-0.195	0.022
"EFNB3"	-0.449	0.027
"EFTUD2"	-0.864	0.013
"EGFLAM"	-0.345	0.041
"EGLN1"	-0.391	0.012
"EIF1AX"	-0.706	0.009
"EIF2AK2"	-0.17	0.012
"EIF2AK3"	-0.292	0.044
"EIF2S2"	-0.668	0.031
"EIF3A"	-0.786	0.002
