"Gene name"	"score"	"pval"
"AAMP"	-0.0672	0.048
"ABCE1"	-0.284	0.013
"ACO2"	-0.104	0.046
"ACTRT2"	-0.229	0.002
"ADAM11"	-0.0233	0.032
"ADAM33"	-0.388	0.006
"ADCYAP1R1"	-0.377	0.031
"ADNP"	-0.0619	0.006
"ADRBK2"	-0.324	0.036
"AFG3L2"	-0.0923	0.001
"AGFG2"	-0.0496	0.01
"AKAP3"	-0.128	0.034
"AKAP6"	-0.0847	0.038
"ALG10B"	-0.479	0.028
"ANAPC11"	-0.0938	0.037
"ANAPC4"	-0.314	0.007
"ANKRA2"	-0.219	0.042
"APOBEC3B"	-0.275	0.008
"APOL2"	-0.582	0.036
"AQR"	-0.32	0.003
"ARCN1"	-0.356	0
"ARHGAP29"	-0.14	0.046
"ARHGEF4"	-0.204	0.02
"ARIH2"	-0.0847	0.041
"ARL17A"	-0.0548	0.04
"ARNTL2"	-0.408	0.009
"ASCC3"	-0.0798	0.01
"ASGR1"	-0.109	0.036
"ASH2L"	-0.119	0.042
"ATL1"	-0.409	0.047
"ATOH7"	-0.199	0.008
"ATP5C1"	-0.254	0.008
"ATXN7L1"	-0.203	0.045
"AURKA"	-0.069	0.038
"AZI1"	-0.268	0.034
"AZIN1"	-0.126	0.019
"BAG5"	-0.411	0.013
"BAP1"	-0.105	0.024
"BBS4"	-0.135	0.043
"BCL6"	-0.185	0.005
"BDKRB1"	-0.447	0.038
"BEX1"	-0.188	0.028
"BIRC5"	-0.0119	0.011
"BMP2KL"	-0.149	0.045
"BMPR1A"	-0.174	0.001
"BOP1"	-0.235	0.019
"BSPRY"	-0.0523	0.001
"BST2"	-0.0296	0.03
"BTF3L1"	-0.0225	0.012
"BTNL9"	-0.501	0.024
"BUD31"	-0.00273	0.025
"BYSL"	-0.636	0.048
"C10orf72"	-0.49	0.045
"C10orf76"	-0.198	0.015
"C11orf64"	-0.276	0.01
"C12orf52"	-0.0534	0.028
"C12orf66"	-0.425	0.009
"C13orf31"	-0.252	0.039
"C14orf118"	-0.198	0.005
"C14orf143"	-0.165	0.021
