"Gene name"	"score"	"pval"
"ABAT"	-0.284	0.021
"ABCC4"	-0.0969	0.023
"ABCE1"	-0.625	0.005
"ACADVL"	-0.157	0.023
"ACBD4"	-0.0258	0.015
"ACO2"	-0.159	0.011
"ACTL6A"	-0.174	0.004
"ACTL7A"	-0.0512	0.013
"ACVR1"	-0.698	0.031
"ADAMDEC1"	-0.235	0.048
"ADAMTS6"	-0.271	0.035
"ADCYAP1R1"	-0.381	0.041
"AEBP1"	-0.257	0.043
"ALAD"	-0.156	0.023
"ALG10B"	-0.366	0.047
"ALG6"	-0.0678	0.018
"ALKBH2"	-0.059	0.042
"ALKBH5"	-0.135	0.027
"ALPL"	-0.118	0.028
"AMBP"	-0.0756	0.024
"AMPH"	-0.401	0.022
"ANAPC4"	-0.825	0.003
"ANKFY1"	-0.0328	0.034
"ANP32B"	-0.105	0.045
"ANXA5"	-0.132	0.037
"AP1AR"	-0.452	0.022
"APLP2"	-0.162	0.007
"APOBEC3F"	-0.337	0.027
"AQR"	-0.859	0.007
"ARCN1"	-0.806	0
"ARF4"	-0.146	0.014
"ARFIP1"	-0.0435	0.038
"ARG1"	-0.446	0.026
"ARHGAP29"	-0.222	0.011
"ARHGEF4"	-0.128	0.03
"ARL17A"	-0.205	0.037
"ASCL2"	-0.125	0.013
"ASCL4"	-0.216	0.025
"ASH2L"	-0.317	0.007
"ATIC"	-0.071	0.001
"ATL1"	-0.225	0.027
"ATP2A2"	-0.122	0.047
"ATP2C2"	-0.133	0.041
"ATP6V0A1"	-0.585	0.044
"ATP6V0D1"	-0.622	0.012
"ATP7B"	-0.343	0.016
"ATXN7L1"	-0.249	0.005
"AURKB"	-0.793	0.008
"AZI1"	-0.414	0.017
"AZIN1"	-0.32	0.018
"B3GALNT2"	-0.402	0.047
"BAI2"	-0.173	0.043
"BANF1"	-0.226	0.008
"BAT1"	-0.292	0.04
"BCKDK"	-0.195	0.008
"BCR"	-0.391	0.037
"BGLAP"	-0.242	0.034
"BLOC1S2"	-0.358	0.007
"BOP1"	-0.363	0.043
"BRUNOL4"	-0.256	0.023
"BST2"	-0.679	0.011
"BUB1B"	-0.0867	0.026
"BYSL"	-0.386	0.047
"C10orf113"	-0.325	0.039
"C11orf40"	-0.339	0.029
"C13orf16"	-0.269	0.026
"C14orf166"	-0.194	0.023
"C16orf62"	-0.265	0.033
"C16orf72"	-0.715	0.047
"C19orf10"	-0.231	0.047
"C19orf18"	-0.246	0.044
"C19orf43"	-0.204	0.037
"C1GALT1C1"	-0.00465	0.017
"C1QC"	-0.151	0.028
"C22orf27"	-0.667	0.017
"C3orf39"	-0.64	0.039
"C3orf52"	-0.00509	0.035
"C4B"	-0.197	0.037
"C4B"	-0.0154	0.037
"C6orf48"	-0.185	0.029
"C9orf30"	-0.356	0.006
"C9orf72"	-0.301	0.018
"CACNA1B"	-0.19	0.031
"CACNA2D3"	-0.171	0.009
"CALHM3"	-0.464	0.049
"CAMKK2"	-0.304	0.024
"CAPN2"	-0.313	0.009
"CAPZB"	-0.36	0.017
"CARS"	-0.112	0.014
