"Gene name"	"score"	"pval"
"A1CF"	-0.0721	0.033
"ABCE1"	-0.246	0.032
"ABHD3"	-0.328	0.03
"ACAT2"	-0.474	0.019
"ACER3"	-0.182	0.024
"ACOT9"	-0.27	0.007
"ACSM2B"	-0.108	0.026
"ACTL6B"	-0.339	0.043
"ACTRT2"	-0.326	0.022
"ADAM21"	-0.155	0.011
"ADAM33"	-0.314	0.031
"ADCK4"	-0.106	0.044
"ADCK5"	-0.247	0.024
"ADCY1"	-0.336	0.04
"ADIPOR1"	-0.00482	0.01
"AIRE"	-0.259	0.024
"AKAP8L"	-0.509	0.05
"ALDH16A1"	-0.176	0.046
"ALG13"	-0.209	0.009
"AMBP"	-0.055	0.018
"AMN"	-0.299	0.035
"ANAPC4"	-0.702	0.004
"ANKRD17"	-0.161	0.05
"ANKZF1"	-0.149	0.041
"ANP32B"	-0.0524	0.038
"ANTXR2"	-0.202	0.031
"ANXA7"	-0.0651	0.006
"AP2M1"	-0.265	0.029
"APLP2"	-0.341	0.035
"APOBEC3G"	-0.48	0.048
"APOL1"	-0.324	0.048
"APOL2"	-0.314	0.026
"AQR"	-0.757	0.034
"ARFRP1"	-0.153	0.022
"ARHGAP10"	-0.168	0.01
"ARHGAP29"	-0.311	0.027
"ARHGEF2"	-0.155	0.003
"ARL1"	-0.406	0.001
"ARL13B"	-0.133	0.013
"ARL2BP"	-0.215	0.027
"ARPC3"	-0.14	0.038
"ATOH8"	-0.281	0.03
"ATP2A2"	-0.215	0.033
"ATP5C1"	-0.209	0.02
"ATP5H"	-0.406	0.026
"ATP5I"	-0.189	0.048
"ATP5S"	-0.231	0.013
"ATP6V1B2"	-0.23	0.008
"ATXN3"	-0.107	0.035
"B3GNT5"	-0.177	0.048
"B4GALNT4"	-0.209	0.046
"B4GALT6"	-0.0574	0.043
"BANF1"	-0.156	0.022
"BAT1"	-0.239	0.005
"BBS2"	-0.0258	0.01
"BDKRB2"	-0.267	0.011
"BHMT2"	-0.258	0.047
"BMPER"	-0.165	0.04
"BTBD16"	-0.434	0.05
"BUB1B"	-0.427	0.01
"BZRAP1"	-0.119	0.047
"C10orf81"	-0.115	0.009
"C12orf66"	-0.582	0.027
"C14orf2"	-0.439	0.043
"C15orf5"	-0.0376	0.046
"C16orf62"	-0.414	0.027
"C17orf57"	-0.0713	0.05
"C19orf10"	-0.424	0.034
"C19orf18"	-0.376	0.05
"C19orf6"	-0.12	0.031
"C1orf162"	-0.326	0.023
