"Gene name"	"score"	"pval"
"A1CF"	-0.667	0.043
"ABCC9"	-0.34	0.034
"ABCE1"	-0.83	0.033
"ABHD12"	-0.653	0.037
"ABI1"	-0.617	0.048
"ACAT1"	-0.547	0.03
"ACLY"	-0.537	0.022
"ADAM33"	-0.558	0.044
"ADCK5"	-0.335	0.021
"ADCY10"	-0.474	0.033
"ADCY4"	-0.754	0.033
"ADCY5"	-0.262	0.039
"ADRBK1"	-0.263	0.035
"AGL"	-0.593	0.048
"ALOX12B"	-0.744	0.02
"ALS2CR11"	-0.312	0.027
"ANAPC4"	-1.25	0
"ANKRD17"	-0.23	0.043
"ANKRD26"	-0.265	0.034
"ANP32B"	-0.341	0.014
"AP1AR"	-0.691	0.047
"AP1B1"	-0.374	0.017
"AP2A2"	-0.406	0.033
"APOL4"	-0.554	0.034
"AQR"	-1.28	0.005
"ARCN1"	-1.63	0.008
"ARHGAP29"	-0.51	0.017
"ARIH1"	-0.822	0.033
"ARL1"	-0.798	0.01
"ARL17A"	-0.312	0.016
"ARL5B"	-0.565	0.014
"ARMC1"	-0.363	0.039
"ARNT"	-0.419	0.005
"ASB12"	-0.221	0.047
"ASCL2"	-0.31	0.007
"ASCL4"	-0.493	0.023
"ASGR1"	-0.623	0.018
"ASGR2"	-0.612	0.016
"ATP5A1"	-0.582	0.008
"ATP5B"	-0.409	0.026
"ATP5C1"	-1.03	0.005
"ATP5L"	-0.439	0.013
"ATP5S"	-0.551	0.011
"ATP6V0D1"	-0.836	0.011
"AURKB"	-0.985	0.006
"B3GALT5"	-0.108	0.035
"B3GNT1"	-0.543	0.026
"BAI2"	-0.546	0.01
"BAIAP3"	-0.467	0.04
"BAP1"	-0.612	0.009
"BARX2"	-0.377	0.045
"BAT1"	-0.197	0.035
"BAT4"	-0.534	0.032
"BBS2"	-0.382	0.05
"BCKDK"	-0.142	0.019
"BDKRB1"	-0.707	0.014
"BEGAIN"	-0.356	0.021
"BICD2"	-0.243	0.007
"BIRC6"	-0.338	0.041
"BMP7"	-0.838	0.034
"BTN3A2"	-0.114	0.021
"BUB1B"	-1.06	0.007
"BUD31"	-0.815	0.032
"C10orf137"	-0.348	0.025
"C11orf30"	-0.223	0.021
"C12orf40"	-0.419	0.039
"C12orf66"	-0.649	0.014
"C14orf148"	-0.695	0.034
"C15orf51"	-0.36	0.014
"C15orf55"	-0.34	0.02
"C19orf18"	-0.846	0.047
"C22orf27"	-0.976	0.046
"C2orf79"	-0.343	0.024
"C6orf167"	-0.465	0.006
"C7orf46"	-0.599	0.02
"C7orf60"	-0.499	0.03
"C8orf46"	-0.631	0.038
"CACNA1A"	-0.828	0.023
"CALB2"	-0.649	0.043
"CALHM1"	-0.0893	0.039
"CALM2"	-0.658	0.023
"CALN1"	-0.565	0.014
"CALY"	-0.866	0.021
"CAPSL"	-0.506	0.035
"CAPZB"	-0.848	0.039
"CARD9"	-0.615	0.035
"CARS2"	-0.75	0.04
"CBFA2T2"	-0.379	0.05
"CCDC51"	-0.768	0.028
"CCDC57"	-0.635	0.048
"CCNA1"	-0.383	0.013
"CCNB2"	-0.241	0.04
"CCNB3"	-0.95	0.003
"CCNG1"	-0.938	0.013
"CCNG2"	-0.0954	0.042
