"Gene name"	"score"	"pval"
"AADAC"	-0.379	0.042
"ABI2"	-0.679	0.026
"ACOT8"	-0.373	0.03
"ACOT9"	-0.812	0.005
"ACTL6B"	-0.546	0.021
"ADAM18"	-0.5	0.042
"ADAMTS7"	-0.3	0.027
"ADCY5"	-0.432	0.006
"ADH5"	-0.551	0.012
"ADORA2A"	-0.206	0.028
"AFG3L1"	-0.308	0.041
"AGXT2L1"	-0.254	0.023
"ALG10B"	-0.758	0.004
"ANAPC4"	-0.857	0.001
"ANKRD20A2"	-0.504	0.037
"ANKRD20A3"	-0.0728	0.025
"AP2M1"	-0.529	0.039
"APOL2"	-0.499	0.007
"APPL1"	-0.55	0.01
"AQR"	-1.19	0.035
"ARCN1"	-1.27	0
"ARNT"	-0.204	0.04
"ART5"	-0.545	0.02
"AS3MT"	-0.6	0.002
"ASAP1"	-0.479	0.021
"ASGR2"	-0.828	0.046
"ATP11A"	-0.284	0.038
"ATP5C1"	-0.308	0.022
"ATP6V0D1"	-0.393	0.022
"B4GALT4"	-0.151	0.036
"BCL2L1"	-0.419	0.042
"BCL2L13"	-0.617	0.044
"BCL7A"	-0.433	0.045
"BCR"	-0.514	0.037
"BDKRB1"	-0.851	0.027
"BID"	-0.44	0.04
"BMPR1A"	-0.864	0.022
"BRUNOL4"	-0.625	0.016
"BYSL"	-0.741	0.027
"C10orf76"	-0.241	0.042
"C11orf75"	-0.151	0.039
"C12orf44"	-0.301	0.028
"C12orf66"	-0.6	0.007
"C14orf148"	-0.647	0.005
"C14orf2"	-0.904	0.014
"C14orf70"	-0.434	0.047
"C16orf35"	-0.473	0.046
"C16orf62"	-0.497	0.02
"C16orf87"	-0.513	0.023
"C18orf34"	-0.509	0.022
"C19orf18"	-0.381	0.01
"C1orf126"	-0.508	0.05
"C1orf14"	-0.582	0.05
"C1orf156"	-0.402	0.047
"C22orf27"	-1	0
"C22orf29"	-0.935	0.002
"C22orf32"	-0.475	0.042
"C2orf69"	-0.663	0.028
"C2orf81"	-0.552	0.011
"C3orf24"	-0.571	0.027
"C3orf39"	-0.675	0.008
"C4orf33"	-0.413	0.018
"C6orf167"	-0.749	0.015
"C6orf174"	-0.712	0.023
"C7orf44"	-0.195	0.014
"C7orf46"	-0.497	0.018
"C8orf46"	-0.908	0.027
"C9orf125"	-0.526	0.023
"C9orf30"	-0.41	0.008
"C9orf93"	-0.489	0.008
"C9orf98"	-0.613	0.046
"CACNA2D3"	-0.428	0.01
"CADM3"	-0.127	0.007
"CALM2"	-0.455	0.037
"CAPG"	-0.0866	0.046
"CARS2"	-0.564	0.008
"CASP8AP2"	-0.688	0.001
"CBLN2"	-0.0944	0.03
"CCDC112"	-0.716	0.043
"CCDC58"	-0.156	0.045
"CCDC6"	-0.049	0.033
"CCDC93"	-0.241	0.02
"CCDC99"	-0.754	0.044
"CCL25"	-0.699	0.005
"CCNB3"	-1.02	0.018
"CCNK"	-0.145	0.013
"CCRN4L"	-0.677	0.021
"CCT3"	-1.32	0.001
"CCT4"	-0.5	0.022
"CCT6A"	-0.705	0.014
"CCT7"	-1	0.018
"CCT8"	-0.951	0.013
"CD83"	-0.639	0.029
"CDC40"	-1.08	0.008
"CDC42EP4"	-0.262	0.047
"CDC5L"	-1.15	0.008
"CDC7"	-0.304	0.026
"CDK14"	-0.438	0.037
"CDK17"	-0.83	0.006
"CDK18"	-0.498	0.033
"CDK2AP2"	-0.352	0.025
"CDK8"	-0.544	0.006
"CDKL2"	-0.575	0.011
"CEACAM4"	-0.773	0.014
"CGN"	-0.33	0.05
"CHD4"	-0.755	0.027
"CHERP"	-0.734	0.002
"CHRM1"	-0.561	0.018
"CIRH1A"	-0.519	0.04
"CLDN20"	-0.705	0.013
"CLEC12A"	-0.552	0.022
"CLEC2D"	-0.288	0.039
"CLEC4C"	-0.409	0.03
"CLIP3"	-0.389	0.008
"CLK2"	-0.301	0.022
"CLTC"	-1.26	0.003
"CLUL1"	-0.653	0.011
"CMPK1"	-0.52	0.039
"CMTM3"	-0.822	0.007
"CNTN2"	-0.143	0.039
"COCH"	-0.762	0.032
"COG2"	-0.251	0.024
"COPA"	-1.01	0.006
"COPB1"	-1.42	0
"COPZ1"	-0.837	0.003
"COX10"	-0.512	0.036
"CPT1A"	-0.367	0.043
"CR1"	-0.479	0.031
"CRYL1"	-0.578	0.02
"CSNK1E"	-0.355	0.038
"CSNK1E"	-0.594	0.038
"CSTF3"	-0.281	0.037
"CTNNB1"	-0.6	0.039
"CTSA"	-0.48	0.014
"CUL4B"	-0.386	0.032
"CUL5"	-0.589	0.022
"CUL7"	-0.526	0.038
"CUX2"	-0.672	0.025
"CX3CR1"	-0.334	0.022
"CYB5R3"	-0.163	0.047
"CYBASC3"	-0.415	0.039
"CYorf15A"	-0.767	0.004
"CYP27C1"	-0.815	0.031
"DAO"	-0.289	0.024
"DAXX"	-0.389	0.019
"DBF4"	-0.799	0.035
"DBH"	-0.311	0.02
"DCAF17"	-0.455	0.027
"DCTD"	-0.377	0.05
"DCTN2"	-0.678	0.022
"DCTN3"	-0.399	0.027
"DCXR"	-0.706	0.014
"DDHD2"	-0.255	0
"DDR1"	-1.26	0.009
"DDX17"	-0.443	0.038
"DDX18"	-1.07	0.022
"DDX21"	-0.763	0.038
"DDX41"	-0.774	0.038
"DDX46"	-1.05	0.011
"DDX49"	-0.74	0.012
"DHX16"	-0.648	0.013
"DHX8"	-0.343	0.038
"DKK3"	-0.49	0.011
"DLC1"	-0.858	0.01
"DLG4"	-0.59	0.02
"DLK2"	-0.284	0.01
"DMPK"	-0.882	0.016
"DNAJC21"	-0.464	0.016
"DNASE1L3"	-0.57	0.028
"DNASE2B"	-0.609	0.029
"DNM2"	-0.8	0.02
"DPP9"	-0.494	0.016
"DRAP1"	-0.394	0.02
"DUSP16"	-0.819	0.02
"DUSP7"	-0.512	0.017
"EEF1E1"	-0.266	0.042
"EEF2"	-0.889	0.001
"EGFLAM"	-0.658	0.047
"EHMT1"	-0.128	0.05
"EIF1AX"	-0.964	0.01
"EIF2B4"	-0.714	0.01
"EIF2B5"	-0.539	0.049
"EIF2S1"	-0.299	0.036
"EIF2S2"	-0.694	0.001
"EIF3A"	-0.762	0.001
"EIF3B"	-1.23	0
"EIF3C"	-0.74	0.006
"EIF3D"	-0.931	0.005
"EIF3G"	-0.927	0.002
"EIF3I"	-0.7	0.01
"EIF4A3"	-1.22	0
"EIF5B"	-1.2	0
"EIF6"	-0.451	0.031
"ELTD1"	-0.423	0.039
"EP400NL"	-0.846	0.026
"ERCC6L"	-0.776	0.024
"ERH"	-0.745	0.018
"ETF1"	-0.695	0.004
