"Gene name"	"score"	"pval"
"ABHD11"	-0.212	0.033
"ABL2"	-0.121	0.037
"ABR"	-0.183	0.02
"ACAT1"	-0.42	0.014
"ACOT11"	-0.168	0.022
"ACOT12"	-0.18	0.034
"ACOT9"	-0.303	0.002
"ACTL6A"	-0.314	0.006
"ACTR1A"	-0.38	0.006
"ACTR2"	-0.166	0.043
"ACTRT2"	-0.344	0.006
"ACVR1"	-0.156	0.022
"ADAM32"	-0.256	0.045
"ADCY5"	-0.11	0.003
"ADD1"	-0.204	0.036
"ADI1"	-0.359	0.026
"AFG3L2"	-0.237	0.002
"AIRE"	-0.285	0.003
"ALKBH2"	-0.134	0.038
"ALMS1"	-0.0875	0.033
"ALOX12B"	-0.166	0.017
"AMPD3"	-0.272	0.039
"ANAPC4"	-0.774	0.001
"ANKRA2"	-0.257	0.003
"AP2M1"	-0.647	0.008
"AP3D1"	-0.184	0.035
"APBB2"	-0.13	0.029
"APPL1"	-0.261	0.002
"APRT"	-0.157	0.023
"AQP11"	-0.0941	0.038
"AQR"	-0.768	0.043
"ARCN1"	-0.837	0
"ARG1"	-0.137	0.013
"ARHGAP18"	-0.272	0.034
"ARHGAP29"	-0.212	0.028
"ARIH1"	-0.382	0.003
"ARMCX3"	-0.21	0.037
"ARNTL2"	-0.167	0.041
"ASAH2"	-0.237	0.002
"ASCL3"	-0.213	0.047
"ATOH8"	-0.403	0.014
"ATP1A1"	-0.242	0.016
"ATP5B"	-0.238	0.002
"ATP5I"	-0.314	0.042
"ATP5J2"	-0.29	0.028
"ATP6AP1L"	-0.125	0.025
"ATP6V0D1"	-0.565	0.016
"ATR"	-0.234	0.034
"ATXN7"	-0.176	0.027
"AVPR2"	-0.299	0.045
"BAG1"	-0.0775	0.041
"BAG2"	-0.272	0.043
"BAG5"	-0.209	0.013
"BANF1"	-0.35	0.05
"BAT1"	-0.514	0.014
"BCL6"	-0.101	0.035
"BCL9L"	-0.333	0.035
"BMP2K"	-0.112	0.017
"BRUNOL4"	-0.375	0.049
"BTC"	-0.228	0.028
"BTNL9"	-0.411	0.041
"C10orf113"	-0.18	0.045
"C10orf81"	-0.289	0.013
"C11orf64"	-0.376	0.032
"C14orf2"	-0.547	0.035
"C15orf51"	-0.0724	0.028
"C16orf62"	-0.309	0.013
"C16orf87"	-0.394	0.043
"C17orf102"	-0.309	0.043
"C19orf2"	-0.25	0.007
"C20orf132"	-0.155	0.013
"C20orf177"	-0.195	0.007
"C20orf95"	-0.134	0.013
"C21orf45"	-0.145	0.013
"C2orf50"	-0.178	0.048
"C3orf24"	-0.249	0.03
"C4orf21"	-0.19	0.007
"C6orf114"	-0.278	0.048
"C6orf136"	-0.249	0.009
"C6orf167"	-0.449	0.041
"C6orf207"	-0.132	0.03
"C9orf125"	-0.323	0.013
"CADM3"	-0.248	0.019
"CAPRIN1"	-0.254	0.034
"CAPZB"	-0.292	0.016
"CARM1"	-0.478	0.029
"CARS2"	-0.246	0.007
"CAV3"	-0.202	0.039
"CCDC51"	-0.393	0.014
"CCDC99"	-0.321	0.033
"CCNG1"	-0.283	0.041
"CCNK"	-0.21	0.005
"CCNT1"	-0.243	0.023
"CCR6"	-0.269	0.022
"CCT3"	-0.77	0.003
"CCT5"	-0.438	0.045
"CCT6A"	-0.628	0.016
"CCT7"	-0.814	0.003
"CCT8"	-0.642	0.009
"CD160"	-0.265	0.025
"CD96"	-0.07	0.028
"CDC40"	-0.702	0.008
"CDC5L"	-0.672	0.043
"CDCA7L"	-0.0591	0.034
"CDH19"	-0.239	0.007
"CDK11B"	-0.851	0.03
"CDK17"	-0.296	0.003
"CDR2"	-0.21	0.03
"CENPO"	-0.614	0.05
"CHCHD2"	-0.206	0.022
"CHD4"	-0.368	0.002
"CHEK1"	-0.419	0.018
"CHST5"	-0.21	0.033
"CLINT1"	-0.115	0
"CLTC"	-0.51	0.003
"CNIH"	-0.223	0.042
"CNOT7"	-0.0618	0.008
"CNTF"	-0.153	0.013
"COG4"	-0.185	0.016
"COL24A1"	-0.169	0.037
"COLQ"	-0.112	0.048
"COPA"	-0.647	0.003
"COPB1"	-0.788	0.001
"COPB2"	-0.492	0.002
