"Gene name"	"score"	"pval"
"ABCB5"	-0.478	0.05
"ABCE1"	-0.632	0.014
"ABI2"	-0.731	0.016
"ACCS"	-0.538	0.014
"ACLY"	-0.454	0.007
"ACYP2"	-0.25	0.015
"ADAM11"	-0.278	0.025
"ADAMTSL2"	-0.293	0.025
"ADAT2"	-0.309	0.022
"ADCYAP1R1"	-0.958	0.031
"ADH5"	-0.575	0.033
"ADRA1B"	-0.645	0.015
"ADRB3"	-0.136	0.015
"AFG3L2"	-1.2	0
"AFP"	-0.438	0.024
"AGL"	-0.699	0.048
"AKT1"	-0.302	0.011
"AKT3"	-0.445	0.037
"ALDH16A1"	-0.503	0.046
"ALDH1B1"	-0.251	0.047
"ALKBH5"	-0.367	0.025
"ALS2"	-0.47	0.019
"ALS2CR8"	-0.341	0.019
"ANKRD20A3"	-0.252	0.011
"ANO8"	-0.575	0.007
"ANTXR2"	-0.182	0.003
"AOX1"	-0.299	0.041
"AP2M1"	-0.951	0.015
"AP3D1"	-0.306	0.014
"APBB2"	-0.599	0.04
"APC2"	-0.345	0.017
"APP"	-0.499	0.042
"AQR"	-1.26	0.001
"ARCN1"	-1.38	0.003
"ARL5B"	-0.513	0.027
"ARL9"	-0.275	0.032
"ART5"	-0.284	0.016
"ASCL2"	-0.596	0.032
"ATMIN"	-0.403	0.038
"ATP13A1"	-0.555	0.027
"ATP1A1"	-0.576	0
"ATP2A2"	-0.492	0.05
"ATP5B"	-0.237	0.014
"ATP5C1"	-0.885	0.021
"ATP5I"	-0.82	0.012
"ATP5L"	-0.379	0.037
"AZIN1"	-0.654	0.028
"B4GALNT2"	-0.57	0.047
"BAI2"	-0.439	0.048
"BAT4"	-0.167	0.024
"BCAS2"	-0.346	0.046
"BCL2L13"	-0.509	0.021
"BCL6"	-0.139	0.015
"BDKRB1"	-0.644	0.042
"BMPER"	-0.538	0.044
"BMPR1A"	-0.535	0.02
"BRD4"	-0.491	0.027
"BRF2"	-0.137	0.04
"BRIX1"	-0.743	0.041
"BRSK1"	-0.226	0.036
"BST2"	-0.495	0.032
"C10orf113"	-0.496	0.013
"C10orf118"	-0.138	0.033
"C11orf16"	-0.328	0.018
"C11orf82"	-0.692	0.025
"C12orf66"	-0.912	0.013
"C13orf33"	-0.466	0.032
"C15orf51"	-0.337	0.032
"C16orf72"	-0.57	0.004
"C16orf87"	-0.631	0.011
"C19orf18"	-0.734	0.006
"C1orf14"	-0.496	0.034
"C1orf198"	-0.442	0.032
"C22orf27"	-0.734	0.032
"C22orf32"	-0.544	0.013
"C2orf81"	-0.324	0.015
"C3orf21"	-0.303	0.047
"C3orf24"	-0.523	0.032
"C3orf39"	-0.503	0.048
"C4orf33"	-0.363	0.027
"C5orf35"	-0.615	0.041
"C5orf44"	-0.358	0.024
"C6orf224"	-0.48	0.04
"C7orf10"	-0.677	0.048
"C7orf31"	-0.445	0.028
"C7orf43"	-0.579	0.032
"C8orf37"	-0.543	0.05
"C8orf46"	-0.765	0.012
"C9orf125"	-0.325	0.034
"C9orf30"	-0.431	0.004
"C9orf93"	-0.642	0.032
"CA1"	-0.556	0.033
"CALM2"	-0.428	0.048
"CAP1"	-0.554	0.041
"CAPN2"	-0.563	0.047
"CAPS2"	-0.412	0.037
"CARHSP1"	-0.226	0.015
"CARS"	-0.633	0.012
"CCDC112"	-0.694	0.014
"CCDC51"	-0.676	0.026
"CCDC83"	-0.555	0.008
"CCDC93"	-0.536	0.043
"CCDC96"	-0.701	0.024
"CCNG1"	-0.629	0.025
"CCR6"	-0.683	0.045
"CCR8"	-0.894	0
"CCT3"	-1.17	0.005
"CCT4"	-0.83	0.033
"CCT5"	-0.923	0.012
"CCT8"	-1	0.008
"CD48"	-0.557	0.017
"CD84"	-0.222	0.016
"CDC23"	-0.463	0.024
"CDC25B"	-0.926	0.012
"CDC27"	-0.594	0.02
"CDC37"	-0.347	0.03
"CDC40"	-0.994	0.029
"CDC42EP5"	-0.272	0.041
"CDC45L"	-0.496	0.029
"CDC5L"	-0.743	0.013
"CDK11B"	-1.24	0.004
"CDK2"	-0.208	0.041
"CDK2"	-0.383	0.041
"CDK4"	-1.09	0.003
"CDK8"	-0.6	0.017
"CDON"	-0.324	0.007
"CEACAM4"	-0.613	0.05
"CENPC1"	-0.546	0.025
"CENPO"	-0.475	0.025
"CEP55"	-0.731	0.038
"CHD4"	-0.908	0.01
"CHEK1"	-0.375	0.01
"CHRNA2"	-0.281	0.008
"CHST14"	-0.267	0.049
"CIITA"	-0.319	0.02
"CLEC6A"	-0.537	0.036
"CLK2"	-0.681	0.046
"CLTA"	-0.369	0.014
"CLTC"	-1.06	0
"CLUL1"	-0.498	0.023
"CMTM3"	-0.748	0.027
"CNIH"	-0.483	0.041
"CNOT1"	-0.566	0.021
"CNOT6L"	-0.346	0.04
"CNTF"	-0.442	0.021
"COG4"	-0.528	0.004
"COLEC10"	-0.354	0.02
"COPA"	-0.9	0
"COPB1"	-1.3	0
"COPB2"	-0.862	0.011
"COPS5"	-0.439	0.01
"COPS6"	-0.685	0.013
"COPZ1"	-0.91	0.002
"COX11"	-0.604	0.017
"COX5B"	-0.599	0.019
"CPPED1"	-0.646	0.026
"CPSF1"	-0.702	0.04
"CPSF3"	-0.639	0.027
"CPT1C"	-0.525	0.034
"CPVL"	-0.476	0.046
"CRKL"	-0.313	0.009
"CRYL1"	-0.384	0.023
"CSE1L"	-0.924	0.006
"CSF3"	-0.247	0.018
"CSNK1A1"	-0.168	0.03
"CTSA"	-0.546	0.008
"CTU1"	-0.637	0.042
"CUL4B"	-0.68	0.038
"CUL9"	-0.266	0.008
"CWC22"	-0.829	0.01
"CWF19L2"	-0.647	0.039
"CYC1"	-0.541	0.001
"CYorf15B"	-0.7	0.05
"CYP1A2"	-0.588	0.008
"CYP46A1"	-0.462	0.015
"DBI"	-0.379	0.045
"DBP"	-0.21	0.047
"DCTN5"	-0.479	0.032
"DDB1"	-0.963	0.045
"DDR1"	-0.773	0.029
"DDR2"	-0.527	0.007
"DDX17"	-0.871	0.013
"DDX18"	-1.27	0.01
"DDX41"	-0.784	0.026
"DDX49"	-0.762	0.026
"DDX51"	-0.646	0.03
"DGUOK"	-0.566	0.041
"DHX9"	-0.514	0.035
"DIRAS3"	-0.182	0.009
"DLG5"	-0.664	0.023
"DMC1"	-0.574	0.047
"DMKN"	-0.724	0.009
"DNAJB2"	-0.577	0.027
"DNAJC21"	-0.591	0.012
"DNM1L"	-0.584	0.003
"DNM2"	-0.943	0.041
"DNMT1"	-0.63	0.021
"DNTT"	-0.332	0
"DNTTIP2"	-1.1	0.047
"DPP7"	-0.652	0.033
"DRD1"	-0.23	0.033
"DSC2"	-0.503	0.02
"DST"	-0.474	0.018
"DUOXA2"	-0.546	0.034
"DUSP22"	-0.64	0.013
"DUX2"	-0.15	0.04
"DYNC1I2"	-0.641	0.013
"ECM1"	-0.446	0.022
"ECT2"	-0.554	0.013
"EDN1"	-0.499	0.022
"EEF2"	-0.712	0.006
"EEF2K"	-0.53	0.023
"EFTUD2"	-0.891	0.014
"EIF1AX"	-1.13	0.004
"EIF2B4"	-0.221	0.011
"EIF3A"	-1.28	0
"EIF3B"	-1.25	0
"EIF3C"	-1	0.018
"EIF3D"	-1.38	0.001
"EIF3G"	-0.977	0.009
"EIF4A3"	-0.783	0.003
"EIF4E3"	-0.908	0.014
"EIF4G2"	-0.371	0.014
"EIF5B"	-1.54	0.003
"EIF6"	-0.69	0.026
"ELAVL1"	-0.836	0.028
"ENG"	-0.384	0.027
"EP400NL"	-0.723	0.033
"EPB41L1"	-0.176	0.033
"EPS8"	-0.24	0.045
"EPS8L1"	-0.0506	0.013
"ERBB2IP"	-0.806	0.027
"ERCC6L"	-0.606	0.02
"ERH"	-0.878	0.008
"ERV3"	-0.232	0.045
"ETHE1"	-0.724	0.025
"EXOC1"	-0.392	0.006
"EXOSC1"	-0.59	0.035
"EXOSC2"	-0.522	0.034
"EXTL2"	-0.326	0.035
"FAM103A1"	-0.424	0.047
"FAM3B"	-0.44	0.029
"FAM45A"	-0.138	0.045
"FAM8A1"	-0.453	0.033
"FAU"	-0.502	0.032
"FBXO8"	-0.316	0.033
"FBXO9"	-0.52	0.005
"FCRL2"	-0.91	0.018
"FEN1"	-0.6	0.049
"FER"	-0.507	0.032
"FEV"	-0.333	0.025
"FFAR1"	-0.499	0.032
"FGFBP1"	-0.736	0.005
"FGFR1"	-0.678	0.014
"FGR"	-0.153	0.013
"FNDC5"	-0.419	0.05
"FNDC7"	-0.526	0.047
"FNTAL1"	-0.469	0.029
"FPR1"	-0.601	0.003
"FRMD4A"	-0.562	0.038
"FRMD7"	-0.308	0.036
"FSHR"	-0.589	0.017
"FSTL4"	-0.0869	0.045
"FTSJ3"	-1.01	0.005
"FUT5"	-0.422	0.033
"FYN"	-0.521	0.037
"FZD1"	-0.312	0.033
"FZD4"	-0.653	0.048
"GALNT3"	-0.251	0.022
"GAS1"	-0.519	0.029
"GDF9"	-0.767	0.021
"GEM"	-0.383	0.029
"GFRA2"	-0.379	0.014
"GK5"	-0.299	0.013
"GMEB2"	-0.662	0.032
"GNAI3"	-0.559	0.04
"GPC6"	-1.09	0.02
"GPR109B"	-0.0255	0.022
"GPR112"	-1.38	0.003
"GPR116"	-0.471	0.003
"GPR160"	-0.525	0.045
