"Gene name"	"score"	"pval"
"ABCC6"	-0.233	0.013
"ACAT2"	-0.181	0.033
"ACO1"	-0.0116	0.045
"ACVR1"	-0.465	0.043
"ADAM11"	-0.197	0.038
"ADAM33"	-0.204	0.028
"ADAMTS12"	-0.0594	0.025
"ADH5P4"	-0.078	0.019
"ADI1"	-0.0808	0.029
"ADIPOR1"	-0.258	0.032
"AFG3L2"	-0.181	0.047
"AGL"	-0.243	0.026
"AJAP1"	-0.112	0.027
"AKAP8L"	-0.167	0.01
"ALDH5A1"	-0.042	0.045
"ALG10B"	-0.223	0.002
"ALS2CL"	-0.12	0.013
"AMIGO3"	-0.0969	0.03
"AMT"	-0.242	0.048
"ANG"	-0.116	0.045
"ANK1"	-0.0385	0.044
"ANKRA2"	-0.199	0.038
"ANKRD17"	-0.0741	0.04
"ANKRD44"	-0.0523	0.035
"AP1AR"	-0.213	0.013
"AP1M1"	-0.174	0.003
"AP2A2"	-0.0956	0.044
"APOBEC3G"	-0.27	0.016
"APOL2"	-0.134	0.001
"AQP9"	-0.0934	0.038
"AQR"	-0.357	0
"ARCN1"	-0.433	0
"ARF6"	-0.194	0.013
"ARFIP1"	-0.0083	0.011
"ARHGAP27"	-0.0675	0.044
"ARL9"	-0.225	0.013
"ATE1"	-0.0659	0.017
"ATIC"	-0.157	0.014
"ATP11B"	-0.132	0.047
"ATP2A3"	-0.298	0.024
"ATP5H"	-0.277	0.009
"ATP5L"	-0.0383	0.044
"ATP5S"	-0.338	0.036
"ATP6V0A1"	-0.285	0.002
"ATP6V0D1"	-0.16	0.026
"ATP6V1G3"	-0.0953	0.045
"ATP8A1"	-0.0463	0.01
"ATXN10"	-0.405	0.007
"AURKB"	-0.299	0.03
"BAT4"	-0.0661	0.019
"BCL7B"	-0.0688	0.036
"BCR"	-0.13	0.048
"BMP7"	-0.0212	0.014
"BMPR1A"	-0.206	0.016
"BMPR2"	-0.0673	0.026
"BRSK1"	-0.0848	0.049
"BRUNOL4"	-0.303	0.009
"BUB1B"	-0.118	0.015
"BYSL"	-0.206	0.05
"C10orf76"	-0.119	0.004
"C11orf31"	-0.136	0.048
"C12orf66"	-0.184	0.009
"C13orf33"	-0.0359	0.01
"C14orf148"	-0.299	0.039
"C14orf2"	-0.419	0.01
"C14orf53"	-0.0249	0.03
"C16orf62"	-0.155	0.04
"C16orf72"	-0.212	0.029
"C17orf46"	-0.278	0.01
"C19orf23"	-0.208	0.035
"C1orf77"	-0.157	0.035
"C1QB"	-0.158	0.05
"C21orf45"	-0.105	0.011
"C21orf66"	-0.0679	0.014
"C22orf27"	-0.463	0.009
"C22orf29"	-0.0627	0.011
"C3orf39"	-0.259	0.048
"C5orf36"	-0.0249	0.043
"C7orf46"	-0.181	0.034
"C8orf46"	-0.144	0.034
"C9orf30"	-0.378	0.006
"C9orf93"	-0.145	0.008
"CACNA1F"	-0.083	0.016
"CACNA2D3"	-0.217	0.003
"CALHM1"	-0.274	0.013
"CAMK1D"	-0.139	0.03
"CATSPER2"	-0.178	0.048
"CCDC141"	-0.162	0.03
"CCDC55"	-0.186	0.047
"CCNB3"	-0.478	0.03
"CCNC"	-0.00521	0.014
"CCNG1"	-0.13	0.038
"CCR8"	-0.257	0.035
"CCT3"	-0.21	0.044
"CCT8"	-0.192	0.026
"CD34"	-0.00909	0.033
"CD86"	-0.0299	0.039
"CD9"	-0.0721	0.046
"CDC23"	-0.149	0.008
"CDC27"	-0.0494	0.011
"CDC40"	-0.42	0.005
