"Gene name"	"score"	"pval"
"AAMP"	-0.308	0.028
"AASDH"	-0.0664	0.049
"ABAT"	-0.0251	0.042
"ABCC6"	-0.411	0.015
"ABCE1"	-0.199	0.007
"ABCF1"	-0.133	0.046
"ABHD5"	-0.296	0.024
"ACBD3"	-0.175	0.038
"ACBD5"	-0.181	0.025
"ACER3"	-0.202	0.01
"ACSM2B"	-0.395	0.01
"ACTR2"	-0.00491	0.047
"ADAM33"	-0.273	0.048
"ADAP2"	-0.286	0.036
"ADC"	-0.0415	0.01
"ADCK4"	-0.116	0.032
"ADCYAP1"	-0.116	0.047
"ADCYAP1R1"	-0.352	0.037
"ADD1"	-0.0889	0.01
"ADRBK1"	-0.122	0.018
"ADRBK2"	-0.152	0.008
"AFG3L2"	-0.185	0.017
"AKAP7"	-0.065	0.041
"ALG10B"	-0.283	0.022
"ALKBH3"	-0.0682	0.048
"ALPI"	-0.145	0.022
"AMPD3"	-0.0615	0.048
"ANG"	-0.171	0.01
"ANKRD20A2"	-0.187	0.039
"ANKRD60"	-0.314	0.012
"ANXA7"	-0.316	0.035
"AP1S2"	-0.274	0.038
"APOBEC3F"	-0.252	0.008
"APOL1"	-0.352	0.034
"APOL2"	-0.314	0.004
"AQR"	-1.07	0
"ARCN1"	-0.353	0.001
"ARHGAP1"	-0.12	0.048
"ARHGAP27"	-0.217	0.026
"ARHGAP29"	-0.219	0.006
"ARL1"	-0.347	0.01
"ARL9"	-0.55	0.029
"ASTL"	-0.122	0.044
"ATF6B"	-0.285	0.027
"ATP11B"	-0.175	0.035
"ATP11C"	-0.201	0.045
"ATP6AP2"	-0.131	0.038
"ATP6V0D1"	-0.29	0.024
"ATXN7L1"	-0.0982	0.048
"AURKB"	-0.697	0.023
"B3GALNT2"	-0.0277	0.004
"BAT2L2"	-0.235	0.02
"BAZ1A"	-0.285	0.025
"BMP2K"	-0.16	0.039
"BPY2"	-0.0537	0.03
"BRUNOL4"	-0.28	0.015
"BST2"	-0.0437	0
"BTN1A1"	-0.383	0.028
"BUB1B"	-0.461	0.002
"C10orf116"	-0.246	0.012
"C12orf66"	-0.39	0.01
"C13orf27"	-0.14	0.038
"C15orf29"	-0.152	0.036
"C16orf62"	-0.389	0.01
"C17orf102"	-0.174	0.044
"C19orf10"	-0.359	0.014
"C1GALT1C1"	-0.918	0.022
"C1orf126"	-0.249	0.008
"C1orf25"	-0.533	0.013
"C21orf49"	-0.166	0.02
"C22orf32"	-0.181	0.035
"C2orf73"	-0.261	0.018
"C3orf39"	-0.192	0.047
"C6orf174"	-0.383	0.047
"C8orf46"	-0.192	0.048
"CA7"	-0.227	0.008
"CACNA1A"	-0.134	0.038
"CAPN2"	-0.322	0.043
"CAPN3"	-0.0702	0.038
"CASQ1"	-0.185	0.03
"CCNB2"	-0.405	0.049
"CCNB3"	-0.431	0.002
"CCNG1"	-0.234	0.021
"CCR6"	-0.279	0.001
"CCRL2"	-0.226	0.014
"CCT3"	-0.53	0.001
"CCT4"	-0.124	0.028
"CD163L1"	-0.0756	0.039
"CD207"	-0.225	0.005
"CD300C"	-0.426	0.021
"CDC23"	-0.162	0.03
"CDC27"	-0.299	0.036
"CDC37"	-0.102	0.013
"CDC40"	-0.536	0.002
"CDC5L"	-0.531	0.001
"CDK12"	-0.278	0.049
"CDKL2"	-0.53	0.045
"CDKN2C"	-0.0508	0.04
"CEND1"	-0.191	0.044
"CENPO"	-0.545	0.013
"CERKL"	-0.403	0.017
"CHAF1B"	-0.211	0.024
"CHD1L"	-0.175	0.01
"CHD2"	-0.305	0.038
"CHD4"	-0.326	0.044
"CHEK1"	-0.408	0.021
"CHMP2A"	-0.0674	0.005
"CHODL"	-0.0736	0.038
"CHPF2"	-0.651	0.012
"CHRD"	-0.0818	0.034
"CHRDL1"	-0.0738	0.049
"CHRM1"	-0.155	0.024
"CHST5"	-0.037	0.032
"CIDEC"	-0.087	0.033
"CIRH1A"	-0.0855	0.034
"CLDN6"	-0.269	0.009
"CLEC6A"	-0.0744	0.036
"CLK2"	-0.0689	0.041
"CLNS1A"	-0.0999	0.007
