"Gene name"	"score"	"pval"
"A1CF"	-0.247	0.003
"A4GNT"	-0.0511	0.036
"ABCA3"	-0.368	0.037
"ABCB5"	-0.0554	0.025
"ABCB7"	-0.123	0.031
"ABCC2"	-0.216	0.045
"ABCC6"	-0.376	0.011
"ACLY"	-0.0236	0.028
"ACOT9"	-0.171	0.026
"ACOX3"	-0.0352	0.032
"ACTR1A"	-0.463	0.01
"ACTR5"	-0.0837	0.041
"ADAMDEC1"	-0.142	0.039
"ADC"	-0.348	0.033
"ADCY9"	-0.306	0.045
"ADCYAP1R1"	-0.203	0.009
"ADH4"	-0.164	0.012
"ADI1"	-0.204	0.008
"ADRBK2"	-0.0988	0.011
"AFG3L2"	-0.88	0.025
"AGA"	-0.134	0.048
"AIDA"	-0.109	0.008
"AIRE"	-0.436	0.039
"ALDH2"	-0.301	0.006
"ALMS1"	-0.337	0.028
"ANAPC4"	-0.944	0.003
"ANKRA2"	-0.267	0.008
"AP2M1"	-0.379	0.036
"APLP2"	-0.319	0.029
"APOBEC1"	-0.0352	0.04
"APPL1"	-0.143	0.043
"AQR"	-0.831	0.003
"ARAP3"	-0.0796	0.048
"ARCN1"	-0.962	0
"ARFIP1"	-0.283	0.045
"ARIH1"	-0.266	0.007
"ARL17A"	-0.498	0.008
"ARL2"	-0.312	0.031
"ARL9"	-0.192	0.012
"ART5"	-0.088	0.017
"ARVCF"	-0.226	0.023
"ASH2L"	-0.513	0.031
"ATL3"	-0.0553	0.02
"ATP1A1"	-0.319	0.012
"ATP5G3"	-0.209	0.031
"ATP6V1B2"	-0.0567	0.02
"AURKAIP1"	-0.384	0.049
"AURKB"	-0.574	0.011
"B3GALNT2"	-0.337	0.021
"BAG5"	-0.175	0.007
"BAT1"	-0.289	0.037
"BCL9L"	-0.332	0.049
"BDKRB1"	-0.333	0.022
"BECN1"	-0.323	0.008
"BMP2K"	-0.701	0.031
"BRCA2"	-0.195	0.035
"BRD4"	-0.29	0.016
"BTBD16"	-0.192	0.033
"BUB1B"	-0.682	0
"BUD31"	-0.43	0.027
"BYSL"	-0.123	0.043
"C10orf118"	-0.167	0.046
"C11orf64"	-0.41	0.013
"C12orf66"	-0.269	0.014
"C14orf143"	-0.114	0.046
"C16orf71"	-0.109	0.018
"C16orf93"	-0.107	0.008
"C19orf23"	-0.15	0.035
"C1orf161"	-0.138	0.041
"C1QC"	-0.387	0.04
"C20orf135"	-0.198	0.041
"C21orf45"	-0.466	0.032
"C2orf81"	-0.225	0.014
"C4orf21"	-0.54	0.041
"C4orf33"	-0.342	0.014
"C5orf35"	-0.113	0.018
"C5orf36"	-0.0468	0.033
"C6orf114"	-0.39	0.009
"C6orf136"	-0.523	0.041
"C8orf37"	-0.369	0.015
"C8orf44"	-0.153	0.022
"C9orf125"	-0.468	0.041
"C9orf7"	-0.215	0.043
"CACYBP"	-0.0475	0.025
"CAD"	-0.229	0.01
"CALN1"	-0.177	0.033
"CAP1"	-0.445	0.035
"CAPN7"	-0.0556	0.047
"CAPZB"	-0.439	0.003
"CARS"	-0.393	0
"CARS2"	-0.357	0.04
"CASP7"	-0.338	0.048
"CCDC51"	-0.395	0.008
"CCDC62"	-0.23	0.034
"CCDC71"	-0.314	0.039
"CCDC93"	-0.271	0.013
"CCL19"	-0.127	0.049
"CCL22"	-0.342	0.03
"CCL25"	-0.205	0.036
"CCNA2"	-0.509	0.025
"CCNB3"	-0.343	0.005
"CCND1"	-0.391	0.01
"CCNF"	-0.255	0.02
"CCR6"	-0.132	0.021
"CCR8"	-0.29	0.028
"CCT3"	-0.839	0.003
"CCT4"	-0.269	0.027
"CCT6A"	-0.502	0.003
"CCT7"	-0.68	0.002
"CCT8"	-0.538	0.003
"CD207"	-0.188	0.047
"CD70"	-0.27	0.011
"CD79B"	-0.387	0.047
"CDC40"	-0.421	0.011
"CDC42EP1"	-0.305	0.05
"CDC5L"	-0.475	0.016
"CDC73"	-0.0641	0.037
"CDCA7L"	-0.149	0.013
"CDH11"	-0.159	0.047
"CDH20"	-0.131	0.004
"CDK11B"	-0.96	0.003
"CDK12"	-0.175	0.008
"CDK5RAP2"	-0.0973	0.043
"CEACAM4"	-0.116	0.033
"CEND1"	-0.212	0.013
"CENPC1"	-0.168	0.013
"CEP55"	-0.223	0.008
"CES3"	-0.102	0.045
"CES4"	-0.238	0.008
"CETN2"	-0.125	0.003
"CHAF1B"	-0.228	0.047
"CHD4"	-0.615	0.019
"CHEK1"	-0.324	0.042
"CHMP2A"	-0.32	0.001
"CHPF2"	-0.194	0.019
"CHRNA2"	-0.251	0.047
"CHRNB1"	-0.0922	0.048
"CHRNE"	-0.407	0.048
"CINP"	-0.0737	0.043
"CKAP5"	-0.321	0.018
"CKM"	-0.156	0.047
"CLEC6A"	-0.242	0.047
"CLPB"	-0.0502	0.033
"CLTC"	-0.556	0.007
"CMTM6"	-0.255	0.049
"CNGA1"	-0.0453	0.032
"CNOT1"	-0.246	0.003
"CNOT10"	-0.106	0.012
"CNOT3"	-0.336	0.01
"CNOT6"	-0.316	0.043
"CNTLN"	-0.254	0.022
"CNTN2"	-0.227	0.013
"COL4A5"	-0.00542	0.023
"COL5A1"	-0.117	0.047
"COMP"	-0.493	0.023
"COPA"	-0.482	0.002
"COPB1"	-0.954	0.001
"COPB2"	-0.211	0.003
"COPG2"	-0.0717	0.01
"COPS2"	-0.234	0.012
