"Gene name"	"score"	"pval"
"ABLIM1"	-0.313	0.037
"ACCN5"	-0.628	0.018
"ACLY"	-0.302	0.05
"ACOT9"	-0.352	0.008
"ACRBP"	-0.219	0.041
"ACTL7A"	-0.127	0.017
"ACTR1A"	-0.19	0.038
"ADAM33"	-0.524	0.045
"ADAMDEC1"	-0.26	0.038
"ADCY9"	-0.634	0.027
"ADH5P4"	-0.351	0.021
"ADRBK1"	-0.16	0.038
"AHCYL1"	-0.554	0.021
"AKAP4"	-0.242	0.045
"AKAP7"	-0.437	0.027
"AKAP8"	-0.37	0.021
"ALG10B"	-0.505	0.025
"AMD1"	-0.525	0.035
"ANAPC4"	-1.22	0.045
"ANKK1"	-0.173	0.028
"ANKRA2"	-0.644	0.015
"ANO10"	-0.251	0.032
"AP3S1"	-0.179	0.038
"APOL2"	-0.36	0.035
"AQR"	-1.09	0.001
"ARCN1"	-1.45	0.001
"ARF3"	-0.142	0.043
"ARL1"	-0.528	0.025
"ARNT"	-0.432	0.02
"AS3MT"	-0.599	0.009
"ATL1"	-0.13	0.043
"ATOH8"	-0.417	0.045
"ATP1A1"	-0.465	0.031
"ATP6V0D1"	-0.422	0.02
"ATXN10"	-0.596	0.025
"ATXN3"	-0.55	0.018
"BAP1"	-0.341	0.05
"BATF"	-0.00504	0.033
"BCCIP"	-0.457	0.01
"BCL2L1"	-0.239	0
"BDKRB1"	-0.634	0.043
"BECN1"	-0.163	0.046
"BEST2"	-0.113	0.027
"BST2"	-0.455	0.005
"BTNL9"	-0.438	0.014
"BUB1B"	-0.742	0.01
"BYSL"	-0.412	0.041
"C10orf72"	-0.309	0.003
"C12orf69"	-0.156	0.005
"C13orf18"	-0.487	0.034
"C13orf27"	-0.35	0.002
"C16orf72"	-0.701	0.031
"C16orf75"	-0.406	0.025
"C1orf25"	-0.11	0.021
"C22orf29"	-0.232	0
"C5orf36"	-0.265	0.035
"C6orf136"	-0.314	0.03
"C9orf103"	-0.233	0.013
"C9orf125"	-0.484	0.047
"C9orf93"	-0.58	0.025
"CA7"	-0.318	0.05
"CACNA1A"	-0.113	0.046
"CAD"	-0.618	0
"CALB2"	-0.424	0.022
"CALCRL"	-0.248	0.013
"CALHM1"	-0.542	0.033
"CALM2"	-0.711	0.023
"CAPNS1"	-0.312	0.015
"CAPSL"	-0.285	0.035
"CAPZA2"	-0.188	0.035
"CAPZB"	-0.799	0.029
"CASR"	-0.315	0.021
"CAV3"	-0.366	0.026
"CCDC83"	-0.252	0.036
"CCDC93"	-0.528	0.035
"CCL25"	-0.423	0.045
"CCNB3"	-0.558	0.019
"CCNG1"	-0.299	0.007
"CCR6"	-0.104	0.047
"CCT3"	-1	0.003
"CCT6A"	-0.974	0.011
"CCT7"	-0.703	0.021
"CCT8"	-0.668	0.018
"CD207"	-0.482	0.047
"CD38"	-0.296	0.013
"CDC23"	-0.682	0.019
"CDC40"	-0.943	0.041
"CDC5L"	-0.914	0.025
"CDK1"	-0.515	0.041
