"Gene name"	"score"	"pval"
"ABAT"	-0.0232	0.038
"ABCA3"	-0.16	0.046
"ABCB7"	-0.0789	0.022
"ABCC6"	-0.209	0.04
"ABCC9"	-0.0736	0.043
"ABCE1"	-0.243	0
"ABHD5"	-0.0583	0.036
"ACAT2"	-0.303	0.021
"ACRBP"	-0.0527	0.017
"ACTR1A"	-0.0705	0.028
"ADCK5"	-0.267	0.028
"AIRE"	-0.257	0.048
"AKAP4"	-0.107	0.028
"ALDH18A1"	-0.0679	0.007
"ALDH5A1"	-0.221	0.043
"ALG10B"	-0.385	0.023
"ALKBH5"	-0.0829	0.043
"ALMS1"	-0.012	0.026
"ALS2CL"	-0.00794	0.01
"AMIGO3"	-0.0564	0.028
"ANAPC4"	-0.385	0.014
"ANAPC5"	-0.15	0.048
"ANG"	-0.127	0.019
"ANKRA2"	-0.2	0.039
"ANKRD1"	-0.105	0.045
"ANKRD26"	-0.179	0.031
"AOC3"	-0.0685	0.049
"APOBEC3G"	-0.0597	0.022
"APOL2"	-0.133	0.002
"AQR"	-0.55	0.003
"ARCN1"	-0.576	0.037
"ARF4"	-0.184	0.021
"ARHGAP11A"	-0.139	0.012
"ARL1"	-0.194	0.003
"AS3MT"	-0.193	0
"ASH2L"	-0.136	0.004
"ATP1A1"	-0.171	0.002
"ATP5G3"	-0.221	0.039
"ATP6V0D1"	-0.376	0.02
"ATP9B"	-0.0795	0.038
"AURKC"	-0.0391	0.044
"AVP"	-0.111	0.042
"AZI1"	-0.123	0.026
"BAG5"	-0.136	0.034
"BANF1"	-0.273	0.048
"BAT1"	-0.182	0.017
"BBS5"	-0.13	0.04
"BBS7"	-0.223	0.05
"BCL9L"	-0.197	0.046
"BDKRB1"	-0.181	0.046
"BFAR"	-0.077	0.036
"BMPR1A"	-0.173	0.011
"BRIX1"	-0.191	0.006
"BRUNOL4"	-0.166	0.019
"BTNL9"	-0.407	0.018
"BYSL"	-0.244	0.01
"C10orf2"	-0.189	0.042
"C10orf54"	-0.0732	0.033
"C11orf60"	-0.0842	0.037
"C14orf70"	-0.23	0.03
"C15orf51"	-0.0927	0.048
"C16orf62"	-0.278	0.005
"C16orf63"	-0.127	0.028
"C19orf10"	-0.214	0.045
"C19orf18"	-0.319	0.042
"C19orf2"	-0.0298	0.018
"C20orf94"	-0.0767	0.026
"C21orf49"	-0.119	0.012
"C22orf27"	-0.477	0.007
"C2orf79"	-0.127	0.026
"C3orf21"	-0.215	0.019
"C3orf32"	-0.103	0.014
"C3orf39"	-0.336	0.042
"C3orf52"	-0.0246	0.014
"C5orf37"	-0.103	0.001
"C5orf4"	-0.0522	0.028
"C7orf16"	-0.176	0.025
"C7orf44"	-0.294	0.028
"C9orf125"	-0.268	0.023
"C9orf72"	-0.111	0.039
"C9orf93"	-0.339	0.026
"CA2"	-0.0294	0.05
"CA5B"	-0.143	0.009
"CALCRL"	-0.0805	0.008
"CARM1"	-0.171	0.037
"CATSPER2"	-0.0857	0.003
"CAV3"	-0.0463	0.022
"CBFA2T2"	-0.193	0.045
"CBR4"	-0.0773	0.045
"CCDC155"	-0.256	0.037
"CCL19"	-0.102	0.035
"CCNB2"	-0.207	0.033
"CCNB3"	-0.464	0.001
"CCR6"	-0.0449	0.048
"CCT3"	-0.444	0
"CCT4"	-0.278	0.015
"CCT6A"	-0.321	0.002
"CCT7"	-0.39	0.004
"CCT8"	-0.408	0.003
"CD38"	-0.258	0.023
"CD83"	-0.219	0.004
"CD84"	-0.101	0.01
"CDC7"	-0.0575	0.003
"CDCA7L"	-0.0922	0.012
"CDK1"	-0.147	0.028
"CDK11B"	-0.368	0.03
"CDK17"	-0.163	0.04
"CDK5RAP2"	-0.0811	0.04
"CDK6"	-0.214	0.009
"CDK8"	-0.0808	0.011
"CDKN1A"	-0.0408	0.009
"CEBPE"	-0.238	0.047
"CEND1"	-0.387	0.001
"CENPA"	-0.0696	0.04
"CENPO"	-0.348	0.003
"CEP63"	-0.0892	0.048
