"Gene name"	"score"	"pval"
"A"	-0.154	0.048
"ABCC13"	-0.217	0.03
"ABCC6"	-0.406	0.025
"ABCE1"	-0.383	0.013
"ABL1"	-0.292	0.018
"ACAT1"	-0.303	0.032
"ACSM2B"	-0.23	0
"ACTG2"	-0.4	0.039
"ACTR1A"	-0.31	0.048
"ADAM17"	-0.344	0.046
"ADAM32"	-0.41	0.046
"ADAM33"	-0.477	0.026
"ADAMTS13"	-0.496	0.027
"ADCY1"	-0.446	0.011
"ADCY9"	-0.244	0.038
"ADD1"	-0.366	0.028
"ADI1"	-0.255	0.038
"ADRBK2"	-0.187	0.017
"AHR"	-0.121	0.032
"AIDA"	-0.383	0.011
"AKR1C4"	-0.269	0.038
"ALDH18A1"	-0.386	0.041
"ALK"	-0.427	0.014
"ALKBH5"	-0.221	0.041
"ALMS1"	-0.291	0.038
"ALOX5AP"	-0.427	0.02
"ANAPC4"	-0.706	0.037
"ANAPC5"	-0.315	0.037
"ANG"	-0.372	0.018
"ANGEL2"	-0.324	0.014
"ANKMY2"	-0.224	0.044
"ANKRA2"	-0.595	0.018
"ANKRD20A2"	-0.326	0.037
"ANKRD20A3"	-0.282	0.04
"ANTXR1"	-0.203	0.003
"AQR"	-0.854	0
"ARCN1"	-0.69	0
"ARG1"	-0.298	0.047
"ARIH1"	-0.309	0.033
"ASGR2"	-0.475	0.02
"ATP11B"	-0.39	0.04
"ATP1A1"	-0.646	0.02
"ATP5A1"	-0.268	0.047
"ATP5C1"	-0.419	0.011
"ATP5G3"	-0.35	0.046
"ATP5S"	-0.343	0.019
"ATP6V0D1"	-0.514	0.015
"ATXN10"	-0.114	0.03
"ATXN3"	-0.176	0.023
"AURKB"	-0.78	0.001
"AZIN1"	-0.327	0.025
"AZU1"	-0.373	0.043
"B3GALNT2"	-0.33	0.047
"BAG5"	-0.266	0.037
"BAT4"	-0.253	0.016
"BDKRB1"	-0.436	0.002
"BLOC1S2"	-0.34	0.028
"BMPR1A"	-0.692	0.007
"BPNT1"	-0.171	0.048
"BRCA2"	-0.315	0.03
"BRUNOL4"	-0.475	0.046
"BST2"	-0.375	0.027
"BTNL9"	-0.189	0.012
"C11orf31"	-0.437	0.032
"C12orf66"	-0.587	0.042
"C14orf2"	-0.584	0.044
"C17orf97"	-0.2	0.034
"C1GALT1C1"	-0.343	0.007
"C1orf92"	-0.211	0.033
"C1QC"	-0.155	0.034
"C3orf39"	-0.435	0.05
"C7orf43"	-0.0982	0.048
"CACNA1A"	-0.402	0.017
"CAPZB"	-0.365	0.013
"CARD9"	-0.242	0.04
"CARS2"	-0.429	0.008
"CATSPER2"	-0.31	0.025
"CCDC93"	-0.273	0.021
"CCL25"	-0.612	0.013
"CCNB2"	-0.29	0.017
"CCNB3"	-0.472	0
"CCNC"	-0.244	0.031
"CCR3"	-0.187	0.03
"CCR6"	-0.309	0.022
"CCT3"	-0.876	0.004
"CCT5"	-0.511	0.008
"CCT6A"	-0.681	0.013
"CCT7"	-0.768	0.009
"CCT8"	-0.584	0.011
"CD163"	-0.426	0.026
"CD207"	-0.28	0.028
"CD300C"	-0.203	0.032
"CD38"	-0.0524	0.043
"CD59"	-0.375	0.05
"CD84"	-0.234	0.021
"CDC37"	-0.542	0.019
"CDC45L"	-0.265	0.033
"CDK11B"	-0.623	0.001
