"Gene name"	"score"	"pval"
"ABAT"	-7.23	0.015
"ABCB7"	-2.58	0.037
"ABCC13"	-5.7	0.011
"ABCC6"	-5.05	0.015
"ABCE1"	-2.68	0.002
"ABCG1"	-2.05	0.044
"ACAT1"	-2.74	0.021
"ACO2"	-3.9	0.035
"ADAM18"	-5.58	0.041
"ADAM21"	-2.2	0.001
"ADAM32"	-4.06	0.038
"ADAMTS13"	-5.71	0.005
"ADCY1"	-4.43	0.02
"ADCY4"	-3.09	0.042
"ADI1"	-4.12	0.017
"AGL"	-5.39	0.009
"AKAP8"	-3.66	0.041
"ALAD"	-2.23	0.017
"ALDH5A1"	-3.44	0.023
"ALG10B"	-6.05	0.015
"ALMS1"	-1.78	0.035
"ALOX5AP"	-3.27	0.049
"AMPH"	-3.83	0.006
"ANKFY1"	-3.06	0.015
"ANKRA2"	-4.04	0.005
"ANKRD57"	-1.04	0.007
"ANKRD60"	-2.05	0.03
"ANXA7"	-1.54	0.047
"AP1M2"	-3.24	0.047
"APBB1"	-2.96	0.022
"APCS"	-2.45	0.043
"APLP2"	-2.58	0.033
"APOBEC3B"	-6.16	0.011
"APOBEC3F"	-4.36	0.009
"APOL2"	-2.14	0.034
"APPL1"	-3.64	0.003
"AQR"	-5.89	0
"ARCN1"	-5.4	0.008
"ARG1"	-6.16	0.011
"ARHGAP26"	-2.93	0.048
"ARHGAP29"	-2.78	0.017
"ARHGEF2"	-2.32	0.029
"ARIH1"	-3.3	0.011
"ARL1"	-8.77	0.021
"ARMC1"	-4.95	0.027
"ASAP3"	-1.64	0.034
"ASTL"	-4.64	0.001
"ATP11B"	-4.85	0.011
"ATP1A1"	-3.89	0.037
"ATP5G3"	-4.02	0.011
"ATP6V0D1"	-3.2	0.009
"ATXN7"	-1.19	0.032
"AURKB"	-3.53	0
"AZIN1"	-2.02	0.04
"B3GALNT2"	-1.82	0.013
"BAT4"	-2.24	0.023
"BCL9"	-3.65	0.031
"BCL9L"	-0.725	0.04
"BDKRB1"	-5.15	0.046
"BMPER"	-1.07	0.02
"BST2"	-10.1	0.014
"BTNL9"	-3.07	0.03
"C10orf4"	-2.93	0.033
"C10orf72"	-4.96	0.025
"C13orf18"	-2.08	0.049
"C14orf2"	-4.11	0.012
"C15orf51"	-1.41	0.041
"C16orf62"	-7.23	0.033
"C16orf72"	-5.14	0.03
"C1GALT1C1"	-5.03	0.017
"C1orf141"	-2.06	0.037
"C1QB"	-2.86	0.022
"C1QBP"	-3.47	0.023
"C1QTNF6"	-3.59	0.028
"C22orf27"	-4.47	0.01
"C22orf29"	-3.88	0.01
"C22orf32"	-5.87	0.05
"C3orf39"	-5.33	0.022
"C6orf167"	-1.24	0.023
"C9orf125"	-2.86	0.022
"C9orf30"	-4.31	0.007
"CA5B"	-1.96	0.026
"CA7"	-5.84	0.014
"CACNA2D3"	-4.69	0.004
"CALB1"	-3.39	0.04
"CALM2"	-3.2	0.015
"CAMP"	-5.12	0.049
"CARD11"	-2.07	0.047
"CARD9"	-2.48	0.042
"CARM1"	-3.88	0.023
"CARS2"	-8.6	0.047
"CAV3"	-6.02	0.048
"CCDC116"	-0.501	0.002
"CCDC121"	-2.96	0.031
"CCDC76"	-1.96	0.03
"CCDC93"	-6.42	0.035
"CCL25"	-0.679	0.001
"CCNB3"	-5.07	0.004
"CCNG1"	-2.68	0.019
"CCT3"	-4.36	0.013
"CCT7"	-0.422	0.004
"CD207"	-6.1	0.003
"CD27"	-1.77	0.047
"CD79B"	-3.88	0.016
"CD83"	-5.6	0.036
"CDC23"	-2.41	0.031
"CDC40"	-2.18	0
"CDK11B"	-3.36	0
"CDK17"	-7.24	0.031
"CDK18"	-1.02	0.046
"CDNF"	-4.88	0.035
"CDRT4"	-3.49	0.034
"CEBPB"	-4.26	0.017
"CENPE"	-3.36	0.026
"CENPO"	-3.32	0.006
"CEP192"	-6.98	0.045
"CEP63"	-4.35	0.035
"CETN3"	-3.14	0.047
"CHD4"	-5.49	0.009
"CHEK1"	-6.01	0.001
"CHID1"	-1.44	0.04
"CHODL"	-2.76	0.011
"CHRM1"	-3.89	0.004
"CHRNB4"	-1.17	0.048
"CHRNE"	-2.87	0.013
"CHST14"	-4.9	0.044
"CIT"	-1.27	0.04
"CLDN6"	-3.57	0.038
"CLIP4"	-1.44	0.034
"CLK1"	-0.487	0.049
"CLUL1"	-2.89	0.008
"CMTM3"	-4.42	0.011
"CNBP"	-2.04	0.047
"CNGA1"	-10	0.012
"CNTN1"	-4	0.043
"COL25A1"	-4.49	0.03
"COL8A1"	-4.07	0.017
"COPB1"	-6.07	0.019
"COPG2"	-5.39	0.011
"COPS2"	-1.22	0.008
"COPS3"	-0.518	0.032
"COPS4"	-1.55	0.011
"COPS6"	-2.21	0.046
"COX11"	-2.11	0.031
"COX4I2"	-0.472	0.037
"CPN1"	-2.25	0.034
"CPSF1"	-4.32	0.004
"CPSF2"	-3.06	0.01
"CPSF3"	-4.28	0.046
"CPT1C"	-3.87	0.006
"CPXM2"	-1.92	0.046
"CR1"	-4.03	0.008
"CRADD"	-9.1	0.001
