"Gene name"	"score"	"pval"
"A1CF"	-0.366	0.032
"A4GALT"	-0.0335	0.036
"ABCC2"	-0.0945	0.032
"ABCC6"	-0.0567	0.024
"ABCE1"	-0.503	0.046
"ABL2"	-0.0558	0.05
"ACBD5"	-0.0632	0.041
"ACOX3"	-0.0326	0.038
"ACSM2B"	-0.25	0.025
"ACTL6B"	-0.125	0.039
"ADAM23"	-0.198	0.05
"ADH5"	-0.295	0.029
"AFG3L2"	-0.0257	0.033
"ALG10B"	-0.576	0.014
"ANAPC4"	-0.383	0.008
"ANG"	-0.197	0.015
"ANKRA2"	-0.146	0.029
"ANKRD17"	-0.098	0.015
"APOBEC3F"	-0.117	0.031
"APOBEC3G"	-0.186	0.05
"APOL1"	-0.187	0.037
"AQP5"	-0.167	0.005
"AQR"	-0.758	0
"ARAP1"	-0.131	0.047
"ARCN1"	-0.718	0
"ARG1"	-0.178	0.034
"ARHGAP29"	-0.359	0.017
"ARL5B"	-0.173	0.024
"ARNTL2"	-0.272	0.024
"ART5"	-0.432	0.008
"ARV1"	-0.102	0.035
"AS3MT"	-0.23	0.017
"ASMTL"	-0.117	0.027
"ATP13A1"	-0.442	0.021
"ATP5C1"	-0.212	0.021
"ATP5S"	-0.209	0.037
"ATP6V0C"	-0.084	0.029
"ATP7B"	-0.0208	0.038
"ATP9B"	-0.175	0.022
"AUH"	-0.177	0.037
"B3GALNT2"	-0.155	0.046
"B3GNT5"	-0.284	0.032
"BAT1"	-0.0223	0.005
"BLOC1S2"	-0.218	0.044
"BST2"	-0.531	0.041
"BUB1B"	-0.218	0.007
"C10orf113"	-0.17	0.039
"C10orf4"	-0.0529	0.025
"C11orf64"	-0.158	0.025
"C11orf82"	-0.186	0.007
"C13orf15"	-0.0329	0.025
"C14orf143"	-0.206	0.045
"C14orf2"	-0.122	0.034
"C16orf55"	-0.259	0.041
"C16orf62"	-0.132	0.039
"C16orf72"	-0.365	0.041
"C16orf87"	-0.288	0.018
"C17orf46"	-0.0881	0.008
"C18orf34"	-0.179	0.032
"C1orf126"	-0.301	0.012
"C20orf24"	-0.0562	0.043
"C22orf27"	-0.175	0.007
"C2orf50"	-0.182	0.002
"C2orf79"	-0.159	0.045
"C2orf81"	-0.0767	0.01
"C3orf24"	-0.0581	0.018
"C4orf21"	-0.0595	0.023
"C6orf114"	-0.155	0.045
"C6orf207"	-0.094	0.043
"C7orf31"	-0.312	0.05
"C8orf37"	-0.18	0.047
"C9orf125"	-0.327	0.01
"C9orf30"	-0.192	0.043
"C9orf93"	-0.393	0.046
"C9orf98"	-0.0132	0.025
"CA7"	-0.34	0.023
"CACNA2D3"	-0.202	0.037
"CAD"	-0.0767	0.035
"CALHM1"	-0.0174	0.038
"CALM1"	-0.0872	0.048
"CAPN2"	-0.12	0.037
"CASC5"	-0.102	0.021
"CATSPER2"	-0.499	0.023
"CCDC83"	-0.0113	0.026
"CCDC99"	-0.212	0.038
"CCL22"	-0.00697	0.018
"CCNB3"	-0.464	0.045
"CCRN4L"	-0.66	0.013
"CCT3"	-0.458	0.006
"CCT5"	-0.337	0.032
"CCT7"	-0.325	0.012
"CCT8"	-0.469	0.021
"CD151"	-0.187	0.017
"CD19"	-0.0112	0.046
"CD2"	-0.352	0.042
"CDC40"	-0.34	0.025
"CDC5L"	-0.3	0.022
"CDCA7L"	-0.0206	0.028
"CDK1"	-0.534	0.035
"CDK11B"	-0.404	0.001
"CDRT4"	-0.408	0.017
"CERK"	-0.246	0.027
"CHCHD2"	-0.0482	0.038
"CHD4"	-0.565	0.041
"CHEK1"	-0.0818	0.013
"CLDN3"	-0.165	0.012
"CLEC5A"	-0.636	0.022
"CLIC3"	-0.00629	0.035
"CLTC"	-0.758	0.004
"CMPK1"	-0.237	0.047
"CMTM3"	-0.627	0.016
"CMTM4"	-0.406	0.01
"CMYA5"	-0.0645	0.046
"CNOT3"	-0.114	0.022
"COL25A1"	-0.19	0.034
"COL29A1"	-0.23	0.031
"COPA"	-0.537	0.013
"COPB1"	-1.24	0
"COPS8"	-0.17	0.05
"COPZ1"	-0.732	0.004
"COQ10B"	-0.116	0.041
"COX6B2"	-0.0598	0.037
"COX8C"	-0.0946	0.021
"CPSF3"	-0.106	0.036
"CPXCR1"	-0.185	0.006
"CPXM1"	-0.358	0.038
"CREB1"	-0.123	0.048
"CREBZF"	-0.0254	0.007
"CSE1L"	-0.34	0.014
"CST4"	-0.107	0.039
"CWF19L1"	-0.153	0.038
"CXXC1"	-0.0479	0.024
"CYP1A2"	-0.21	0.036
"CYP26C1"	-0.0444	0.041
"CYP27C1"	-0.21	0.05
"CYP2A13"	-0.13	0.031
"DAXX"	-0.1	0.036
"DCAF16"	-0.054	0.018
"DCTN6"	-0.21	0.022
"DCXR"	-0.0946	0.033
"DDR1"	-0.337	0.025
"DDR2"	-0.236	0.027
"DDX18"	-0.386	0.014
"DDX19A"	-0.0596	0.019
"DDX21"	-0.222	0.032
"DDX23"	-0.23	0.012
"DDX49"	-0.344	0.01
"DDX51"	-0.211	0.017
"DECR1"	-0.0991	0.034
"DEFA3"	-0.0893	0.029
"DENND3"	-0.0521	0.048
"DGKI"	-0.103	0.036
"DHX38"	-0.241	0.013
"DHX9"	-0.436	0.045
"DIP2B"	-0.217	0.041
"DIRAS3"	-0.0761	0.047
"DNAJB2"	-0.232	0.023
"DNAJB6"	-0.352	0.043
"DNAJC19"	-0.208	0.049
"DNAJC21"	-0.242	0.032
"DNM2"	-0.209	0.008
"DOPEY1"	-0.11	0.038
"DPM2"	-0.13	0.024
"DPP3"	-0.347	0.038
"DPP7"	-0.185	0.019
"DPP8"	-0.291	0.048
"DSCR6"	-0.0623	0.039
"DSN1"	-0.112	0.028
"DUSP13"	-0.177	0.007
"DYNC1H1"	-0.192	0.014
"DYNC1I2"	-0.5	0.046
"DYNLT3"	-0.127	0.023
"ECT2"	-0.252	0.007
"EEF2"	-0.511	0.007
"EFNB3"	-0.334	0.037
"EFTUD2"	-0.544	0.001
"EGLN3"	-0.266	0.024
"EIF1AX"	-0.323	0.027
"EIF2AK2"	-0.281	0.038
"EIF2B2"	-0.152	0.02
"EIF2B4"	-0.0291	0.015
"EIF2S2"	-0.532	0.038
"EIF3A"	-0.418	0.022
"EIF3B"	-0.49	0.006
"EIF3C"	-0.631	0.004
"EIF3D"	-0.629	0.049
"EIF4A3"	-0.415	0.001
"EIF4E3"	-0.369	0.025
"EIF4EBP1"	-0.336	0.036
"Eif5"	-0.075	0.043
"EIF5"	-0.075	0.043
"EIF5B"	-0.385	0.011
"EMP1"	-0.168	0.041
"EPB41L4A"	-0.158	0.048
"EPHB4"	-0.151	0.025
"ERBB2"	-0.509	0.034
"ERBB4"	-0.115	0.014
"ERCC6L"	-0.486	0.049
"ERF"	-0.274	0.006
"ERH"	-0.378	0.024
"ESRRB"	-0.0804	0.027
"ETF1"	-0.46	0.001
"EXOSC10"	-0.326	0.005
"EXOSC4"	-0.0673	0.035
"EYA1"	-0.373	0.019
"EYA2"	-0.127	0.026
"FAM126A"	-0.253	0.038
"FAM164A"	-0.2	0.028
"FAM187B"	-0.113	0.034
"FAM76B"	-0.0647	0.05
"FAM8A1"	-0.15	0.034
"FBXO8"	-0.353	0.008
"FBXO9"	-0.571	0.027
"FCRL2"	-0.13	0.036
"FCRL3"	-0.125	0.018
"FERMT2"	-0.217	0.032
"FETUB"	-0.236	0.038
"FGF21"	-0.0996	0.041
"FGF6"	-0.297	0.008
"FKBP3"	-0.212	0.049
"FOSL1"	-0.176	0.027
"FOXD4L4"	-0.205	0.023
"FOXL1"	-0.0215	0.049
"FOXN4"	-0.174	0.046
"FTCD"	-0.0884	0.019
"FTSJ3"	-0.493	0.027
"FUBP1"	-0.149	0.005
"FUT9"	-0.665	0.023
"GABRA2"	-0.19	0.037
"GABRB1"	-0.322	0.02
"GABRG3"	-0.0396	0.012
"GAGE2C"	-0.205	0.047
"GALNTL4"	-0.457	0.047
"GCLC"	-0.202	0.023
"GDPD1"	-0.518	0.027
"GGA3"	-0.099	0.021
"GJA10"	-0.0694	0.027
"GJA8"	-0.0158	0.022
"GLIPR1L2"	-0.307	0.023
"GNAI3"	-0.0519	0.034
"GNB4"	-0.183	0.021
"GNE"	-0.112	0.024
"GPR110"	-0.348	0.037
"GPR144"	-0.00979	0.049
"GPR25"	-0.0137	0.048
"GPR35"	-0.186	0.037
"GPX4"	-0.0926	0.009
"GRB7"	-0.0903	0.016
"GREB1"	-0.336	0.024
"GREM1"	-0.157	0.015
"GRIK1"	-0.0322	0.05
"GRIN2C"	-0.424	0.017
"GRLF1"	-0.149	0.038
"GRM5"	-0.536	0.022
"GSK3B"	-0.489	0.012
"GTF2F1"	-0.0534	0.04
"HBZ"	-0.148	0.029
"HEATR6"	-0.106	0.044
"HEPACAM2"	-0.145	0.049
"HERC2P2"	-0.243	0.034
"HIST1H2BD"	-0.17	0.021
"HIST1H2BM"	-0.391	0.049
"HIST2H2AC"	-0.252	0.047
"HLA-DRB1"	-0.21	0.05
"HLA-DRB3"	-0.369	0.049
"HMGCS1"	-0.0591	0.008
"HNRNPC"	-1.03	0.003
"HNRNPK"	-0.154	0
"HNRNPM"	-0.199	0.004
"HNRNPU"	-0.223	0.027
"HPRT1"	-0.105	0.024
"HSD3B2"	-0.321	0.047
"HSDL2"	-0.325	0.031
"HSPA9"	-0.228	0.018
"HSPE1"	-0.445	0.025
"HSPG2"	-0.276	0.019
"HTR2B"	-0.143	0.031
"HUS1"	-0.138	0.045
"HYAL3"	-0.187	0.015
"IARS"	-0.14	0.038
"IFIT1L"	-0.0664	0.001
"IFT57"	-0.207	0.027
"IGF2BP1"	-0.512	0.017
"IL4I1"	-0.0137	0.035
"INSR"	-0.442	0.005
"INTS10"	-0.106	0.043
"INTS4L1"	-0.161	0.048
"INVS"	-0.214	0.036
"IPO7"	-0.0719	0.03
"IRS4"	-0.764	0.048
"ISCU"	-0.119	0.041
"ISG20"	-0.248	0.021
"ISM2"	-0.115	0.043
"ITGA2"	-0.767	0.015
"ITGA2B"	-0.0772	0.037
"ITGA3"	-0.245	0.047
"ITGAV"	-0.285	0.05
"KARS"	-0.571	0
"KCNC3"	-0.274	0.037
"KCNE1"	-0.28	0.049
"KCNG4"	-0.0294	0.02
"KCNK16"	-0.137	0.036
"KCNN3"	-0.121	0.028
"KCNQ1"	-0.131	0.011
"KCTD12"	-0.318	0.043
"KCTD14"	-0.392	0.018
"KCTD6"	-0.26	0.031
"KDM5B"	-0.113	0.041
"KDM5C"	-0.0961	0.046
"KDM5D"	-0.21	0.031
"KHDRBS2"	-0.33	0.05
"KIF23"	-0.23	0.018
"KIF9"	-0.139	0.011
"KLRC3"	-0.0355	0.041
"KNG1"	-0.114	0.031
"KPNA5"	-0.353	0.049
"KPNB1"	-0.797	0.004
"KRAS"	-0.211	0.025
"KRAS"	-0.135	0.025
"KRR1"	-0.398	0.049
"KRT6B"	-0.124	0.048
"KRT81"	-0.124	0.042
"KRT84"	-0.288	0.05
"KRTAP13-1"	-0.111	0.036
"LCK"	-0.164	0.026
"LCN10"	-0.38	0.007
"LDHC"	-0.418	0.047
"LDLRAP1"	-0.137	0.045
"LIG1"	-0.159	0.025
"LILRA2"	-0.28	0.032
"LPCAT2"	-0.0299	0.032
"LRIT1"	-0.151	0.044
"LSM5"	-0.46	0.027
"LSM6"	-0.324	0.014
"LSM7"	-0.18	0.029
"LY96"	-0.409	0
"LZTFL1"	-0.18	0.036
"MAD2L1"	-0.287	0.025
"MAGEH1"	-0.0394	0.05
"MAML1"	-0.619	0.015
"MAP2K5"	-0.0175	0.019
"MAP3K5"	-0.361	0.037
"MAP3K6"	-0.184	0.03
"MAP4K2"	-0.186	0.02
"MAPKAPK5"	-0.208	0.038
"MAS1L"	-0.181	0.005
"MB"	-0.273	0.037
"MBL2"	-0.102	0.017
"MBP"	-0.039	0.046
"MCEE"	-0.236	0.008
"MCM2"	-0.351	0.017
"MDM2"	-0.152	0.03
"MDN1"	-0.239	0.032
"ME2"	-0.264	0.044
"MECR"	-0.169	0.025
"MELK"	-0.243	0.014
"METTL1"	-0.113	0.012
"MFAP1"	-0.232	0.035
"MFNG"	-0.157	0.015
"MLNR"	-0.144	0.012
"MMP27"	-0.177	0.028
"MPL"	-0.254	0.018
"MR1"	-0.082	0.022
"MRGPRX2"	-0.0844	0.037
"MRPS35"	-0.103	0.029
"MS4A13"	-0.433	0.005
"MTNR1A"	-0.0678	0.026
"MUC2"	-0.187	0.049
"MYBPH"	-0.282	0.035
"MYEOV"	-0.314	0.035
"MYRIP"	-0.503	0.041
"NAA38"	-0.508	0.034
"NACA"	-0.56	0.012
"NAPA"	-0.299	0.037
"NAPB"	-0.227	0.037
"NAT8B"	-0.207	0.022
"NCBP1"	-0.243	0.029
"NCEH1"	-0.129	0.038
"NCOR2"	-0.219	0.009
"NCRNA00188"	-0.0747	0.05
"NDN"	-0.0289	0.032
"NDUFB10"	-0.217	0.01
"NEDD8"	-0.464	0.02
"NEK10"	-0.571	0.003
"NHEJ1"	-0.0941	0.048
"NHP2L1"	-0.241	0.002
"NOC4L"	-0.133	0.016
"NOP16"	-0.057	0.019
"NPAS4"	-0.285	0.049
"NPFFR1"	-0.0322	0.021
"NPPA"	-0.258	0.036
"NPTN"	-0.0872	0.036
"NRP1"	-0.237	0.013
"NT5C2"	-0.235	0.015
"NTRK3"	-0.293	0.032
"NTSR1"	-0.39	0.035
"NUDT21"	-0.303	0.008
"NUDT3"	-0.0852	0.024
"NUDT4"	-0.469	0.007
"NUF2"	-0.237	0
"NUP205"	-0.277	0.003
"NUP88"	-0.335	0.019
"NUP93"	-0.4	0.007
"NUPL1"	-0.516	0.005
"NUS1"	-0.24	0.024
"NXF1"	-0.409	0.007
"OAT"	-0.0303	0.042
"OLAH"	-0.22	0.028
"OR10H"	-0.0547	0.05
"OR10X1"	-0.0932	0.038
"OR51E1"	-0.141	0.047
"OR51T1"	-0.611	0.044
"OSCAR"	-0.0598	0.011
"PABPN1"	-0.58	0.013
"PAOX"	-0.0088	0.025
"PAPOLA"	-0.117	0.014
"PARN"	-0.229	0.015
"PCBP2"	-0.466	0.036
"PCCA"	-0.127	0.032
"PCCB"	-0.167	0.044
"PDILT"	-0.098	0.042
"PDLIM5"	-0.0785	0.018
"PER3"	-0.0926	0.046
"PFAS"	-0.0924	0.011
"PFKFB4"	-0.104	0.032
"PGLYRP4"	-0.159	0.046
"PHB"	-0.514	0.038
"PHB2"	-0.601	0.025
"PHF20L1"	-0.0784	0.014
"PHF5A"	-0.288	0.032
"PIK3C2G"	-0.195	0.038
"PLA2G4D"	-0.144	0.05
"PLK1"	-0.393	0.033
"PLRG1"	-0.313	0.004
"PNO1"	-0.268	0.029
"POLD2"	-0.0839	0.036
"POLE"	-0.293	0.038
"POLR2D"	-0.715	0.003
"POLR2I"	-0.542	0.004
"POP7"	-0.086	0.05
"PPP1R15A"	-0.419	0.008
"PPWD1"	-0.285	0.015
"PRDM2"	-0.306	0.031
"PRKAB2"	-0.282	0.044
"PRKAG1"	-0.552	0.007
"PRKDC"	-0.0656	0.05
"PRLR"	-0.0493	0.046
"PRPF18"	-0.163	0.009
"PRPF19"	-0.511	0.039
"PRPF31"	-0.498	0
"PRPF38A"	-0.698	0
"PRPF8"	-0.424	0.012
"PRSS21"	-0.12	0.032
"PRSS27"	-0.217	0.029
"PRUNE"	-0.34	0.036
"PSMA1"	-1.15	0
"PSMA2"	-0.125	0.049
"PSMA3"	-0.925	0
"PSMA4"	-0.232	0.031
"PSMA6"	-0.509	0.02
"PSMA7"	-0.0821	0.005
"PSMB1"	-0.0952	0.011
"PSMB2"	-0.69	0
"PSMB3"	-0.411	0
"PSMB4"	-0.377	0.008
"PSMB6"	-0.123	0.025
"PSMB7"	-0.107	0.05
"PSMC1"	-0.23	0.029
"PSMC2"	-0.361	0.001
"PSMC3"	-0.282	0.023
"PSMC5"	-0.452	0.005
"PSMC6"	-0.184	0.032
"PSMD1"	-0.986	0
"PSMD11"	-0.368	0.004
"PSMD12"	-0.348	0.011
"PSMD2"	-0.0358	0.021
"PSMD3"	-0.444	0.011
"PSMD6"	-0.0612	0.003
"PSMD7"	-0.478	0.014
"PSMD8"	-0.376	0.011
"PTCD3"	-0.144	0.031
"PTPLAD1"	-0.132	0.048
"PTPN22"	-0.38	0.016
"PTPN23"	-0.056	0.023
"PTPN7"	-0.252	0.029
"PTPRZ1"	-0.17	0.039
"PUS7L"	-0.208	0.041
"PVALB"	-0.0424	0.031
"RAB27B"	-0.163	0.006
"RABL2A"	-0.176	0.008
"RAD51"	-0.414	0.023
"RAF1"	-0.607	0.029
"RAN"	-0.895	0
"RANGRF"	-0.0573	0.014
"RARS"	-0.404	0.013
"RASD1"	-0.125	0.022
"RBM10"	-0.593	0.017
"RBM17"	-0.57	0.039
"RBM9"	-0.159	0.043
"RBMX"	-0.346	0.05
"RBMXL1"	-0.4	0.034
"RBPJ"	-0.441	0.013
"RERG"	-0.00133	0.042
"RFTN1"	-0.0973	0.031
"RGS18"	-0.339	0.036
"RILPL2"	-0.716	0.014
"RINT1"	-0.269	0.024
"RIPK3"	-0.185	0.007
"RNF113B"	-0.107	0.027
"RNF141"	-0.0416	0.038
"RNF175"	-0.22	0.021
"RPA1"	-0.204	0.038
"RPA2"	-0.198	0.006
"RPL10A"	-0.753	0.003
"RPL11"	-1.07	0.005
"RPL12"	-0.352	0.013
"RPL13"	-0.607	0.006
"RPL13A"	-0.16	0.035
"RPL14"	-0.235	0.025
"RPL17"	-0.4	0.018
"RPL18"	-0.639	0.02
"RPL18A"	-0.102	0.015
"RPL19"	-0.681	0.008
"RPL21"	-0.22	0.024
"RPL23"	-0.942	0.014
"RPL23A"	-0.828	0.003
"RPL27"	-0.64	0.011
"RPL3"	-0.213	0.022
"RPL30"	-0.0535	0.005
"RPL31"	-0.829	0.015
"RPL32"	-0.796	0.005
"RPL34"	-0.56	0.023
"RPL35A"	-0.316	0.005
"RPL36"	-0.717	0.005
"RPL37"	-0.368	0.008
"RPL37A"	-0.417	0.011
"RPL38"	-0.428	0.017
"RPL4"	-0.713	0.005
"RPL5"	-0.651	0.005
"RPL6"	-0.523	0.026
"RPL7"	-0.527	0.005
"RPL7A"	-0.605	0.018
"RPL9"	-1.13	0.004
"RPLP0"	-0.535	0.008
"RPLP1"	-0.29	0.011
"RPLP2"	-0.287	0.029
"RPRD1A"	-0.379	0.025
"RPS10"	-0.282	0.034
"RPS11"	-0.736	0.011
"RPS13"	-0.909	0.005
"RPS14"	-0.679	0.005
"RPS15"	-0.107	0.03
"RPS15A"	-0.833	0.015
"RPS17"	-0.676	0.017
"RPS18"	-0.404	0.011
"RPS19"	-0.709	0
"RPS20"	-0.225	0.03
"RPS26"	-0.89	0.022
"RPS27"	-0.194	0.028
"RPS27A"	-0.451	0.011
"RPS28"	-0.0272	0.035
"RPS29"	-0.557	0.013
"RPS2P45"	-0.062	0.024
"RPS3"	-0.45	0.017
"RPS4X"	-0.206	0.023
"RPS6"	-0.263	0.015
"RPS7"	-0.627	0.003
"RPS8"	-0.707	0.005
"RPS9"	-0.407	0.035
"RPSA"	-0.235	0.011
"RPSAP58"	-0.282	0.014
"RRM1"	-0.27	0.005
"RSBN1L"	-0.00543	0.017
"RTF1"	-0.189	0.049
"RUVBL2"	-0.117	0.007
"SAP18"	-0.0977	0.026
"SARNP"	-0.209	0.004
"SCRG1"	-0.412	0.016
"SDAD1"	-0.198	0.041
"SERINC3"	-0.188	0.025
"SERPINA12"	-0.22	0.036
"SERPINB11"	-0.265	0.034
"SERPINB13"	-0.0323	0.04
"SERPINB2"	-0.437	0.032
"SERPINF1"	-0.237	0.037
"SETD2"	-0.0619	0.018
"SF3A1"	-0.218	0
"SF3A2"	-0.0704	0.017
"SF3B1"	-0.292	0.01
"SF3B2"	-0.746	0
"SF3B3"	-0.352	0
"SF3B5"	-0.66	0.004
"SFPQ"	-0.215	0.025
"SFRS1"	-0.316	0.003
"SFTPB"	-0.136	0.016
"SGCD"	-0.253	0.044
"SGOL1"	-0.194	0.033
"SH2D2A"	-0.254	0.047
"SH3RF1"	-0.415	0.023
"SHC3"	-0.352	0.035
"SHFM1"	-0.573	0.043
"SIAH1L"	-0.202	0.05
"SIX5"	-0.223	0.025
"SKIV2L2"	-0.517	0.04
"SLAMF9"	-0.0669	0.046
"SLC12A1"	-0.184	0.023
"SLC12A2"	-0.0896	0.02
"SLC1A7"	-0.0613	0.034
"SLC22A6"	-0.141	0.03
"SLC25A20"	-0.0573	0.015
"SLC2A10"	-0.201	0.015
"SLC39A8"	-0.152	0.037
"SMAD1"	-0.0784	0.018
"SMARCC1"	-0.135	0.047
"SMC3"	-0.235	0.014
"SMG1"	-0.204	0.004
"SNAPC1"	-0.106	0.049
"SNRNP200"	-0.681	0.007
"SNRNP35"	-0.155	0.031
"SNRPD1"	-0.781	0.002
"SNRPD2"	-0.893	0
"SNRPD3"	-0.105	0.039
"SNRPE"	-0.698	0.013
"SNRPG"	-0.682	0.012
"SNRPN"	-0.126	0.021
"SPAG7"	-0.375	0.035
"SPATS1"	-0.236	0.05
"SPDYA"	-0.138	0.024
"SPRYD5"	-0.122	0.023
"SRBD1"	-0.158	0.043
"SRCAP"	-0.186	0.018
"SRRM2"	-0.335	0.041
"SSX4"	-0.349	0.031
"STK3"	-0.13	0.037
"STK32A"	-0.187	0.045
"STRBP"	-0.261	0.013
"SULT1B1"	-0.274	0.047
"SUPT5H"	-0.238	0.021
"SUPT6H"	-0.188	0.018
"SYF2"	-0.39	0.04
"SYT11"	-0.13	0.015
"SYT7"	-0.0483	0.007
"TAAR8"	-0.169	0.021
"TAF4B"	-0.164	0.031
"TAOK3"	-0.155	0.042
"TAS2R45"	-0.2	0.049
"TBCD"	-0.301	0.035
"TCEB2"	-0.183	0.03
"TCP1"	-0.247	0.033
"TCP11L2"	-0.388	0.023
"TDRD6"	-0.0256	0.026
"TFCP2L1"	-0.113	0.041
"TGFB1"	-0.19	0.015
"TGFBR2"	-0.246	0.017
"THBS1"	-0.672	0.008
"THOC4"	-0.632	0.001
"THOC6"	-0.327	0.014
"THUMPD1"	-0.0361	0.045
"TIE1"	-0.366	0.023
"TIGD6"	-0.263	0.019
"TIMELESS"	-0.178	0.003
"TIMP2"	-0.192	0.049
"TJP2"	-0.247	0.041
"TLX3"	-0.00293	0.015
"TM7SF2"	-0.812	0.014
"TMED2"	-0.315	0.037
"TMED3"	-0.0239	0.05
"TMED6"	-0.271	0.036
"TMEM126B"	-0.156	0.028
"TMEM5"	-0.744	0.017
"TMOD3"	-0.273	0.047
"TMTC4"	-0.222	0.012
"TNFRSF12A"	-0.092	0.049
"TNIP2"	-0.169	0.035
"TOMM5"	-0.191	0.042
"TOPBP1"	-0.184	0.03
"TPH2"	-0.169	0.006
"TRAPPC2"	-0.118	0.042
"TRIM39"	-0.111	0.025
"TRIP13"	-0.14	0.014
"TRPM1"	-0.19	0.049
"TRPV6"	-0.0542	0.025
"TSG101"	-0.136	0.004
"TTC23"	-0.228	0.035
"TTC26"	-0.5	0.021
"TUBA1B"	-0.913	0
"TUBA1C"	-0.65	0
"TUBB"	-0.32	0.007
"TUBGCP2"	-0.36	0.037
"TUBGCP4"	-0.333	0.038
"TUSC3"	-0.553	0.038
"TYMS"	-0.148	0.002
"U2AF1"	-0.865	0.036
"U2AF2"	-0.401	0.02
"UBB"	-0.188	0.007
"UBE2Q2P1"	-0.351	0.025
"UBQLN4"	-0.0254	0.038
"UBR1"	-0.182	0.025
"UHRF1BP1"	-0.00772	0.033
"UPRT"	-0.0627	0.043
"URGCP"	-0.362	0.035
"USP31"	-0.144	0.033
"USP39"	-0.366	0.031
"USPL1"	-0.111	0.043
"UTP20"	-0.209	0.013
"VCP"	-0.435	0.04
"VPS41"	-0.394	0.029
"VWCE"	-0.014	0.041
"WAC"	-0.11	0.03
"WBP11"	-0.361	0.017
"WDR49"	-0.0461	0.018
"WDR61"	-0.148	0.018
"WDR86"	-0.193	0.023
"WHSC2"	-0.132	0.035
"WIPI1"	-0.117	0.02
"XAB2"	-0.171	0.007
"XCL2"	-0.121	0.021
"XIAP"	-0.933	0.016
"XPO1"	-0.105	0.043
"XRCC5"	-0.0742	0.03
"YARS2"	-0.317	0.049
"YY1AP1"	-0.129	0.035
"ZAN"	-0.03	0.008
"ZC3H13"	-0.109	0.014
"ZC3H15"	-0.22	0.021
"ZFR"	-0.333	0.045
"ZFX"	-0.253	0.05
"ZG16"	-0.253	0.02
"ZNF114"	-0.11	0.031
"ZNF193"	-0.212	0.021
"ZNF207"	-0.28	0.036
"ZNF225"	-0.154	0.039
"ZNF296"	-0.00373	0.021
"ZNF326"	-0.0937	0.035
"ZNF417"	-0.126	0.036
"ZNF442"	-0.263	0.007
"ZNF471"	-0.122	0.041
"ZNF500"	-0.0889	0.031
"ZNF518A"	-0.0752	0.035
"ZNF57"	-0.0816	0.018
"ZNF671"	-0.132	0.018
"ZNF687"	-0.0294	0.038
"ZNFX1"	-0.176	0.045
"ZNRF2"	-0.424	0.027
"ZYG11A"	-0.0641	0.01
