"Gene name"	"score"	"pval"
"ABCA3"	-0.211	0.024
"ABP1"	-0.181	0.038
"ACAT1"	-0.0993	0.019
"ACAT2"	-0.119	0.004
"ADAM18"	-0.219	0.011
"ADAM33"	-0.322	0.024
"ADAMTS3"	-0.0165	0.045
"ADARB2"	-0.112	0.013
"ADCK4"	-0.164	0.02
"ADCY1"	-0.152	0.011
"ADH5"	-0.0478	0.028
"AIDA"	-0.163	0.049
"AJAP1"	-0.161	0.025
"AKAP8L"	-0.0809	0.022
"AKT3"	-0.214	0.024
"ALDH18A1"	-0.078	0.039
"ALG10B"	-0.202	0.033
"ALKBH3"	-0.0553	0.029
"ANAPC4"	-0.428	0.004
"ANKRA2"	-0.287	0.037
"ANTXR1"	-0.24	0.034
"AP1AR"	-0.15	0.045
"APOBEC3F"	-0.128	0.027
"APOL2"	-0.379	0.007
"APOL4"	-0.142	0.04
"APPL1"	-0.0291	0.024
"AQR"	-0.87	0
"ARCN1"	-0.677	0.001
"ARHGAP10"	-0.164	0.013
"ARHGEF4"	-0.15	0.024
"ARPC3"	-0.337	0.037
"ASAP1"	-0.178	0.012
"ASMT"	-0.153	0.037
"ATIC"	-0.105	0.043
"ATOH8"	-0.166	0.04
"ATP11C"	-0.182	0.024
"ATP1A1"	-0.23	0.045
"ATP2A2"	-0.347	0.035
"ATP2A3"	-0.196	0.024
"ATP5H"	-0.379	0.003
"ATP6V0A1"	-0.297	0.015
"ATP6V0D1"	-0.291	0.022
"ATP9B"	-0.0653	0.035
"AURKA"	-0.155	0.021
"AURKB"	-0.352	0.004
"B2M"	-0.271	0.029
"B4GALT6"	-0.328	0.002
"BAP1"	-0.0753	0.026
"BAZ1A"	-0.191	0.028
"BCAS2"	-0.245	0.018
"BMP2K"	-0.11	0.022
"BMPR1A"	-0.308	0.028
"BTN1A1"	-0.146	0.028
"BTNL9"	-0.218	0.011
"BUB1B"	-0.699	0.044
"BYSL"	-0.259	0.022
"C10orf72"	-0.0765	0.003
"C11orf40"	-0.12	0.042
"C12orf40"	-0.226	0.038
"C14orf148"	-0.2	0
"C14orf2"	-0.326	0
"C16orf62"	-0.285	0.046
"C16orf72"	-0.196	0.013
"C1QB"	-0.231	0.011
"C1QBP"	-0.274	0.015
"C22orf27"	-0.198	0.002
"C22orf29"	-0.136	0.033
