"Gene name"	"score"	"pval"
"AADAT"	-0.0212	0.036
"AASS"	-0.19	0.034
"ABCC13"	-0.0283	0.016
"ABCE1"	-0.343	0.046
"ABHD10"	-0.0937	0.044
"ABHD12"	-0.223	0.028
"ABHD5"	-0.0674	0.005
"ACAT2"	-0.178	0.041
"ACCS"	-0.0885	0.024
"ACOT9"	-0.188	0.041
"ADA"	-0.0529	0.041
"ADAM18"	-0.236	0.002
"ADAM32"	-0.24	0.028
"ADI1"	-0.247	0.042
"ADIPOR1"	-0.224	0.026
"ADRA1D"	-0.065	0.044
"AKT3"	-0.119	0.01
"ALAD"	-0.0963	0.009
"ALDH7A1"	-0.0199	0.027
"ALG10B"	-0.29	0.04
"ALOX12B"	-0.207	0.011
"AMPD3"	-0.189	0.004
"AMPH"	-0.0329	0.003
"ANAPC2"	-0.105	0.041
"ANAPC4"	-0.39	0.001
"ANAPC5"	-0.151	0.023
"ANKRA2"	-0.176	0.019
"ANP32B"	-0.0677	0.027
"AP1AR"	-0.234	0.034
"AP3D1"	-0.0453	0.013
"APOC3"	-0.0911	0.017
"APOL4"	-0.146	0.027
"APOL6"	-0.0469	0.03
"APPL1"	-0.15	0.041
"AQR"	-0.478	0.003
"ARCN1"	-0.251	0.001
"ARG1"	-0.2	0.039
"ARHGAP29"	-0.147	0.048
"ARHGEF4"	-0.281	0.013
"ARL1"	-0.209	0.024
"ARL9"	-0.109	0.037
"ARSJ"	-0.117	0.027
"AS3MT"	-0.306	0.034
"ATAD3B"	-0.135	0.044
"ATOH8"	-0.14	0.044
"ATP11C"	-0.234	0.031
"ATP6V0D1"	-0.281	0.047
"ATXN10"	-0.221	0.001
"AURKB"	-0.4	0.003
"AZU1"	-0.181	0.021
"B2M"	-0.12	0.036
"B3GALNT2"	-0.364	0.016
"B3GALT4"	-0.115	0.038
"B3GNT7"	-0.0383	0.013
"BAT4"	-0.288	0.003
"BCCIP"	-0.0633	0.034
"BCMO1"	-0.214	0.028
"BMPR1A"	-0.172	0.043
"BTLA"	-0.111	0.025
"BTNL9"	-0.306	0.018
"C17orf46"	-0.191	0.041
"C19orf18"	-0.207	0.047
"C21orf45"	-0.207	0
"C22orf27"	-0.39	0.004
"C22orf29"	-0.304	0.005
"C3orf39"	-0.219	0.012
"C6orf167"	-0.0603	0.021
"CA2"	-0.221	0.044
"CACNA1A"	-0.247	0.045
"CACNA1S"	-0.127	0.019
"CACNA2D3"	-0.168	0
"CALB2"	-0.105	0.044
"CALCRL"	-0.329	0.001
"CAMK1D"	-0.0345	0.007
"CAPN2"	-0.235	0
"CAPZA2"	-0.133	0.041
"CARM1"	-0.287	0.049
"CARS2"	-0.214	0.024
"CCL25"	-0.295	0.018
"CCNB2"	-0.26	0.017
"CCNB3"	-0.427	0.001
"CCNF"	-0.129	0.04
"CCNL1"	-0.0723	0.017
"CCNT1"	-0.124	0.021
"CCT3"	-0.394	0.037
"CD163"	-0.217	0.009
"CD1A"	-0.167	0.019
"CDA"	-0.147	0.002
"CDC23"	-0.225	0.011
"CDC37"	-0.0674	0.04
"CDC40"	-0.136	0.03
"CDC5L"	-0.33	0.015
"CDCA5"	-0.117	0.011
"CDH8"	-0.128	0.016
"CDK11B"	-0.388	0.003
"CDK12"	-0.0745	0.035
"CDKN2D"	-0.147	0.036
"CDRT4"	-0.336	0.007
"CEND1"	-0.338	0.004
"CENPC1"	-0.119	0.023
"CENPE"	-0.165	0.046
"CEP192"	-0.151	0.03
"CHD4"	-0.2	0
"CHPF2"	-0.165	0.007
"CHRM1"	-0.281	0.041
"CIRH1A"	-0.256	0.03
"CLDN6"	-0.215	0.01
"CLEC5A"	-0.198	0.028
"CLPTM1"	-0.105	0.025
"CLUL1"	-0.183	0.037
"CMTM3"	-0.292	0.02
"CNBP"	-0.172	0.041
"COCH"	-0.0909	0.001
"COG4"	-0.168	0.041
"COL24A1"	-0.156	0.01
"COL8A1"	-0.153	0.016
"COL9A2"	-0.14	0.034
"COPB1"	-0.397	0.043
"COPG2"	-0.186	0.041
"COPS4"	-0.226	0.05
"COPZ1"	-0.0284	0.01
"COPZ2"	-0.14	0.021
"CPVL"	-0.118	0.021
"CRADD"	-0.149	0.024
"CRYBA1"	-0.217	0.036
"CSE1L"	-0.311	0.001
"CSTF2T"	-0.18	0.029
"CTSA"	-0.224	0.019
"CTSG"	-0.109	0.021
"CUL4B"	-0.073	0.036
"CWC15"	-0.13	0.033
"CWC22"	-0.12	0.012
"CXADR"	-0.198	0.009
"CXCR2"	-0.225	0.029
"CYorf15A"	-0.223	0.028
"CYorf15B"	-0.167	0.021
"DACT3"	-0.0314	0.034
"DAPK1"	-0.164	0.001
"DDX18"	-0.224	0.001
"DDX21"	-0.22	0.001
"DDX23"	-0.178	0.022
"DDX4"	-0.236	0.046
"DDX46"	-0.129	0.036
"DDX49"	-0.421	0.009
"DDX51"	-0.202	0
"DDX54"	-0.292	0.009
"DDX56"	-0.207	0.046
"DGKE"	-0.09	0.037
"DGKI"	-0.141	0.041
"DGKZ"	-0.261	0.034
"DHX36"	-0.202	0.033
"DHX8"	-0.0872	0.009
"DHX9"	-0.172	0.016
"DKK3"	-0.171	0.032
"DLC1"	-0.351	0.033
"DLGAP5"	-0.148	0.037
"DMC1"	-0.0883	0.041
"DMPK"	-0.103	0.029
"DNAI1"	-0.183	0.02
"DNAJB6"	-0.188	0.013
"DNAJC21"	-0.141	0.025
"DNM2"	-0.278	0.034
"DOLPP1"	-0.113	0.023
"DONSON"	-0.223	0.029
"DOPEY1"	-0.162	0.001
"DPRX"	-0.153	0.031
"DRD2"	-0.204	0.037
"DSC2"	-0.167	0.009
"DTWD1"	-0.132	0.028
"DULLARD"	-0.164	0.034
"DUSP13"	-0.0942	0.024
"DUSP16"	-0.301	0.03
"DUT"	-0.163	0.04
"DYNLT3"	-0.188	0.023
"EEF2"	-0.254	0.001
"EFNB3"	-0.175	0.013
"EFTUD2"	-0.268	0.004
"EGFR"	-0.0986	0.043
"EHMT1"	-0.0344	0.013
"EIF2AK2"	-0.173	0.009
"EIF3A"	-0.406	0.025
"EIF3B"	-0.564	0.037
"EIF3C"	-0.482	0.046
"EIF4A3"	-0.311	0
"EIF4E3"	-0.174	0.007
"EIF5B"	-0.443	0
"EIF6"	-0.317	0.003
"EPB41L4A"	-0.14	0.023
"EPS8"	-0.242	0.019
"ERBB3"	-0.228	0.047
"ERBB4"	-0.238	0.018
"ERO1L"	-0.106	0.033
"ESCO2"	-0.158	0.039
"ESPN"	-0.213	0.047
"ETF1"	-0.0698	0.029
"ETS2"	-0.264	0.019
"EXO1"	-0.0743	0.043
"EXOC1"	-0.124	0.035
"EXOSC10"	-0.214	0.026
"EYA1"	-0.132	0.045
"FABP3"	-0.198	0.041
"FAM116A"	-0.0455	0.03
"FAM118B"	-0.167	0.011
"FAM126A"	-0.337	0.03
"FAM134C"	-0.296	0.041
"FAM136A"	-0.155	0.043
"FAM13A"	-0.0785	0.027
"FAM164C"	-0.348	0.009
"FAM179B"	-0.139	0.03
"FAM188A"	-0.144	0.022
"FAM55A"	-0.157	0.002
"FANCD2"	-0.0542	0.002
"FBXO22"	-0.237	0.032
"FBXO34"	-0.039	0.04
"FBXO6"	-0.291	0.043
"FGA"	-0.153	0.047
"FGF6"	-0.322	0.024
"FHIT"	-0.0773	0.014
"FIG4"	-0.129	0.034
"FLT4"	-0.0817	0.044
"FNDC7"	-0.47	0.008
"FOXD4L4"	-0.187	0.024
"FPGT"	-0.106	0.046
"FRG1"	-0.255	0.033
"FSCB"	-0.243	0.019
"FTSJ3"	-0.456	0
"FUT8"	-0.0147	0.009
"FXN"	-0.151	0.016
"FXR2"	-0.248	0.011
"FYN"	-0.166	0.007
"FZD3"	-0.115	0.009
"G2E3"	-0.109	0.039
"G6PC"	-0.0542	0.001
"GABBR2"	-0.208	0.043
"GABRA1"	-0.134	0.009
"GABRG3"	-0.213	0.021
"GAGE2C"	-0.142	0.035
"GALNT6"	-0.0481	0.037
"GAMTP1"	-0.107	0.029
"GBP4"	-0.0166	0.045
"GCKR"	-0.0393	0.024
"GDF9"	-0.197	0.022
"GEMIN5"	-0.0359	0.047
"GGA3"	-0.105	0.037
"GINS2"	-0.172	0.019
"GIT2"	-0.179	0.011
"GLIPR1L2"	-0.313	0.012
"GLT25D2"	-0.249	0.036
"GMDS"	-0.167	0.027
"GNAI1"	-0.198	0.041
"GNE"	-0.227	0.043
"GNL3"	-0.298	0.028
"GPC6"	-0.214	0.044
"GPM6A"	-0.0744	0.05
"GPN3"	-0.0441	0.035
"GPR110"	-0.22	0.006
"GPR112"	-0.234	0.002
"GPR116"	-0.132	0.015
"GPR132"	-0.164	0.033
"GPR144"	-0.251	0.022
"GPR15"	-0.134	0.037
"GPR171"	-0.139	0.041
"GPR174"	-0.0813	0.028
"GPR183"	-0.166	0.023
"GPR22"	-0.048	0.045
"GPR35"	-0.233	0.002
"GPR44"	-0.166	0.024
"GPRC5B"	-0.176	0.039
"GPS1"	-0.171	0.011
"GRASP"	-0.206	0.047
"GRB7"	-0.281	0.049
"GREM1"	-0.196	0.021
"GRIK1"	-0.165	0.049
"GRIK3"	-0.131	0.046
"GRIN1"	-0.285	0.028
"GRM3"	-0.0817	0.034
"GRM4"	-0.123	0.038
"GSPT1"	-0.0376	0.004
"GSTA5"	-0.219	0.028
"GTF3C4"	-0.162	0.027
"GYLTL1B"	-0.159	0.05
"H2AFV"	-0.114	0.028
"HERC2P3"	-0.0681	0.03
"HHLA1"	-0.339	0.035
"HIST1H2BD"	-0.149	0.046
"HIST1H2BF"	-0.141	0.037
"HIST1H2BM"	-0.168	0.046
"HLA-DQB2"	-0.123	0.041
"HLA-DRB3"	-0.342	0.025
"HLA-DRB4"	-0.196	0.025
"HNRNPA1"	-0.0967	0.039
"HNRNPC"	-0.522	0
"HNRNPM"	-0.134	0.034
"HNRNPU"	-0.274	0.007
"HP"	-0.233	0.041
"HPD"	-0.2	0.049
"HS2ST1"	-0.126	0.024
"HSDL2"	-0.281	0.004
"HSPA9"	-0.162	0.004
"HSPG2"	-0.304	0.028
"HYAL2"	-0.125	0.017
"HYAL3"	-0.126	0.05
"ID1"	-0.218	0.048
"IFNA1"	-0.091	0.047
"IGF2BP1"	-0.236	0.046
"IGF2BP3"	-0.187	0.025
"IGFBP2"	-0.288	0.037
"IGSF10"	-0.14	0.03
"IGSF8"	-0.201	0.034
"IL28A"	-0.124	0.034
"INPP5B"	-0.061	0.003
"INSR"	-0.218	0.04
"INTS3"	-0.238	0.002
"INTS4L1"	-0.16	0.001
"IRS1"	-0.139	0.033
"IRS4"	-0.294	0.024
"ISCU"	-0.314	0.041
"ISG20"	-0.425	0.009
"ISY1"	-0.22	0.041
"ITGA11"	-0.205	0.003
"ITGA9"	-0.0345	0.041
"ITGB6"	-0.0435	0.047
"JUB"	-0.116	0.046
"KARS"	-0.435	0.002
"KCNE1"	-0.211	0.01
"KCNE3"	-0.159	0.041
"KCNG3"	-0.0493	0.014
"KCNG4"	-0.0482	0.043
"KCNH2"	-0.161	0.034
"KCNH7"	-0.17	0.024
"KCNK2"	-0.213	0.013
"KCNN3"	-0.134	0.003
"KHDRBS1"	-0.11	0.041
"KHDRBS2"	-0.178	0
"KIAA0101"	-0.244	0.047
"KIAA0319L"	-0.0905	0.027
"KIF15"	-0.195	0.015
"KIF20B"	-0.074	0.032
"KIF3A"	-0.167	0.027
"KIR3DL2"	-0.2	0.025
"KIRREL"	-0.186	0.046
"KLF3"	-0.085	0.029
"KLHL14"	-0.301	0.032
"KLRD1"	-0.0206	0.034
"KPNB1"	-0.539	0.001
"KRAS"	-0.127	0.034
"KRAS"	-0.127	0.016
"KRAS"	-0.173	0.034
"KRAS"	-0.173	0.016
"KRCC1"	-0.214	0.048
"KRT20"	-0.186	0.027
"KRT24"	-0.231	0.044
"KRT36"	-0.158	0.049
"KRT7"	-0.199	0.01
"KRTAP15-1"	-0.271	0.017
"KTN1"	-0.0824	0.04
"LAIR2"	-0.0439	0.022
"LANCL1"	-0.125	0.016
"LARS"	-0.0369	0.021
"LAS1L"	-0.0505	0.044
"LASS6"	-0.118	0.022
"LCNL1"	-0.245	0.013
"LCORL"	-0.242	0.043
"LDHC"	-0.186	0.033
"LEPR"	-0.148	0.027
"LEPREL2"	-0.18	0.01
"LGALS12"	-0.253	0.011
"LILRB2"	-0.163	0.007
"LIPE"	-0.128	0.016
"LMLN"	-0.286	0.022
"LMNB2"	-0.0319	0.05
"LPAR4"	-0.193	0.001
"LPO"	-0.116	0.024
"LRRC50"	-0.112	0.039
"LRRC8D"	-0.0733	0.03
"LRRFIP1"	-0.0257	0.044
"LUZP1"	-0.146	0.028
