"Gene name"	"score"	"pval"
"ABCC2"	-0.208	0.04
"ABCC4"	-0.278	0.008
"ABCE1"	-0.271	0.05
"ACAT1"	-0.175	0.03
"ACBD4"	-0.161	0.003
"ACCN5"	-0.13	0.011
"ACSM2B"	-0.188	0.019
"ADAM21"	-0.202	0.047
"ADCK4"	-0.168	0.048
"ADCY3"	-0.163	0.032
"ADCYAP1"	-0.379	0.025
"ADIPOR1"	-0.155	0.019
"AIDA"	-0.167	0.038
"ALDH18A1"	-0.135	0.039
"ALOX12B"	-0.368	0.028
"ANAPC4"	-0.263	0.014
"ANGEL1"	-0.122	0.029
"AP4E1"	-0.0828	0.046
"APLP2"	-0.104	0.011
"APOBEC3B"	-0.257	0.039
"APOBEC3F"	-0.118	0.028
"AQP5"	-0.113	0.031
"AQP9"	-0.207	0.033
"AQR"	-0.94	0
"ARCN1"	-0.688	0.004
"ARHGAP10"	-0.109	0.033
"ARHGAP29"	-0.204	0.038
"ARHGAP4"	-0.0926	0.007
"ARL1"	-0.312	0.028
"ARL5B"	-0.125	0.027
"ARMCX2"	-0.118	0.042
"ASAH2"	-0.131	0.048
"ASTL"	-0.0792	0.047
"ATP1A1"	-0.226	0.004
"ATP2C2"	-0.151	0.043
"ATP6V0D1"	-0.158	0.027
"ATP6V1G3"	-0.112	0.049
"ATXN7"	-0.104	0.023
"AURKB"	-0.273	0.004
"AZIN1"	-0.166	0.038
"BCR"	-0.196	0.005
"BPNT1"	-0.111	0.049
"BRD4"	-0.218	0.035
"BST2"	-0.0621	0.013
"BTNL9"	-0.155	0.037
"BTRC"	-0.255	0.019
"BUB1B"	-0.468	0.037
"BYSL"	-0.197	0.039
"C10orf113"	-0.112	0.019
"C10orf2"	-0.19	0.036
"C11orf16"	-0.0324	0.038
"C11orf64"	-0.37	0.019
"C11orf75"	-0.059	0.046
"C12orf66"	-0.336	0.021
"C14orf2"	-0.348	0.001
"C16orf62"	-0.256	0.024
"C16orf72"	-0.304	0.032
"C18orf34"	-0.161	0.024
"C1orf105"	-0.0238	0.045
"C1orf141"	-0.107	0.017
"C22orf27"	-0.48	0.022
"C22orf29"	-0.143	0.035
"C2orf81"	-0.106	0.021
"C3orf1"	-0.169	0.019
"C6orf174"	-0.413	0.045
"C8orf37"	-0.119	0.043
"C9orf114"	-0.0674	0.021
"C9orf24"	-0.123	0.036
"C9orf4"	-0.101	0.024
"C9orf93"	-0.177	0.043
"C9orf98"	-0.0906	0.014
"CAD"	-0.313	0.002
"CALN1"	-0.154	0.049
"CAPN2"	-0.184	0.015
"CAPN3"	-0.164	0.036
"CAV3"	-0.0781	0.028
"CC2D1A"	-0.141	0.024
"CCDC92"	-0.0635	0.035
"CCDC93"	-0.272	0.024
"CCHCR1"	-0.108	0.019
"CCNA1"	-0.162	0.036
"CCNB3"	-0.427	0.007
"CCR6"	-0.261	0.048
"CCR8"	-0.124	0.015
"CCT3"	-0.725	0.004
"CCT7"	-0.292	0.043
"CCT8"	-0.603	0.012
"CD163"	-0.189	0.006
"CD38"	-0.148	0.021
"CD79B"	-0.206	0.017
"CD83"	-0.111	0.026
"CDC40"	-0.414	0
"CDK1"	-0.613	0.013
"CDK11B"	-0.448	0.003
"CDK12"	-0.254	0.028
"CDK13"	-0.0818	0.031
"CDK17"	-0.289	0.036
"CDK18"	-0.162	0.038
"CDK4"	-0.218	0.007
"CDK8"	-0.0999	0.015
"CDR2"	-0.295	0.002
"CEACAM4"	-0.121	0.018
"CEP192"	-0.374	0.023
"CERK"	-0.315	0.014
"CHCHD2"	-0.111	0.035
"CHD4"	-0.4	0.014
"CHEK1"	-0.284	0.007
"CHERP"	-0.242	0.015
"CHMP2A"	-0.128	0.001
"CHRM1"	-0.185	0.043
"CHRNA6"	-0.0907	0.014
"CIRBP"	-0.167	0.035
"CLEC4C"	-0.201	0.043
"CLEC5A"	-0.147	0.005
"CLINT1"	-0.153	0.042
"CLTC"	-0.249	0
"CLU"	-0.0903	0.043
"CLUL1"	-0.351	0.012
"CNPY4"	-0.339	0.011
"CNTD1"	-0.0974	0.031
"CNTLN"	-0.144	0.044
"CNTN1"	-0.0802	0.045
"COL14A1"	-0.073	0.03
"COL27A1"	-0.0581	0.018
"COPB1"	-0.879	0.006
"CORO2A"	-0.19	0.04
"COX5B"	-0.21	0.017
"CPEB2"	-0.134	0.038
"CPPED1"	-0.215	0.038
"CPSF1"	-0.502	0.035
"CPSF3"	-0.206	0.04
"CPT1C"	-0.229	0.019
"CRYGB"	-0.108	0.004
"CSAG2"	-0.257	0.049
"CSE1L"	-0.346	0.004
"CSNK1E"	-0.175	0.038
"CSNK1E"	-0.289	0.038
"CTDSP2"	-0.0906	0.019
"CUL4B"	-0.125	0.04
"CUL7"	-0.48	0.05
"CWC22"	-0.271	0.015
"CYB5D2"	-0.117	0.041
"CYP11B2"	-0.275	0.008
"CYP1A1"	-0.19	0.019
"CYP46A1"	-0.261	0.011
"DDAH1"	-0.132	0.025
"DDR1"	-0.288	0.003
"DDR2"	-0.198	0.021
"DDX18"	-0.442	0.045
"DDX21"	-0.333	0.033
"DDX41"	-0.29	0.026
"DDX46"	-0.319	0.019
"DDX49"	-0.357	0.037
"DDX56"	-0.163	0.02
"DGKE"	-0.163	0.049
"DHX9"	-0.219	0.004
"DKK3"	-0.328	0.033
"DMKN"	-0.291	0.043
"DNA2"	-0.0948	0.045
"DNAH5"	-0.136	0.03
"DNAJC21"	-0.204	0.038
"DNASE1L3"	-0.232	0.038
"DNM2"	-0.142	0.031
"DNTTIP2"	-0.391	0.028
"DOPEY1"	-0.382	0.024
"DPM2"	-0.119	0.009
"DTYMK"	-0.318	0.015
"DUSP7"	-0.209	0.033
"ECM1"	-0.168	0.044
"EEF1DP3"	-0.092	0.041
"EEF2"	-0.356	0.033
"EFNB3"	-0.171	0.01
"EFTUD2"	-0.684	0.006
"EIF1AX"	-0.49	0.028
"EIF2B2"	-0.129	0.04
"EIF2S2"	-0.628	0.001
"EIF3A"	-0.625	0
"EIF3B"	-0.638	0.002
"EIF3C"	-0.423	0.03
"EIF3D"	-0.383	0.028
"EIF3E"	-0.148	0
"EIF3FP3"	-0.326	0.018
"EIF3G"	-0.427	0.036
"EIF3H"	-0.156	0.026
"EIF3I"	-0.414	0.043
"EIF4A3"	-0.327	0
"EIF4E3"	-0.301	0.021
"EIF4EBP1"	-0.274	0.045
"EIF4G2"	-0.186	0.043
"EIF5B"	-0.627	0.001
"ELP3"	-0.19	0.021
"ENOPH1"	-0.254	0.037
"ENY2"	-0.178	0.018
"ERBB2"	-0.0997	0
"ERBB2IP"	-0.216	0.007
"ERBB3"	-0.156	0.045
"ERCC1"	-0.139	0.049
"ERCC6L"	-0.384	0.01
"ERF"	-0.159	0.008
"ERH"	-0.335	0.02
"ERMAP"	-0.148	0.029
"ESPN"	-0.275	0.018
"ETF1"	-0.17	0.031
"ETHE1"	-0.102	0.001
"ETS2"	-0.208	0.039
"EVX1"	-0.217	0.033
"EWSR1"	-0.105	0.016
"EXOC1"	-0.182	0.021
"EXOSC10"	-0.288	0.007
"FABP3"	-0.104	0.041
"FAM113B"	-0.122	0.039
"FAM118B"	-0.0958	0.04
"FAM126A"	-0.387	0.041
"FAM164A"	-0.169	0.044
"FAM164C"	-0.358	0.01
"FAM186B"	-0.139	0.011
"FAM5C"	-0.16	0.028
"FANCL"	-0.127	0.036
"FASTK"	-0.185	0.012
"FBXL7"	-0.261	0.021
"FBXO4"	-0.131	0.038
"FBXO8"	-0.244	0.015
