"Gene name"	"score"	"pval"
"ABCA3"	-0.104	0.046
"ACOT12"	-0.182	0.05
"ACOT9"	-0.128	0.034
"ACSM2B"	-0.134	0.032
"ACTG2"	-0.106	0.04
"ADAM32"	-0.114	0.01
"ADAMTS13"	-0.155	0.038
"ADRBK2"	-0.155	0.04
"AGER"	-0.0947	0.041
"ALDOA"	-0.0859	0.046
"ALG10B"	-0.161	0.045
"ALMS1"	-0.472	0.047
"ANAPC11"	-0.0785	0.047
"ANAPC4"	-0.206	0.014
"ANKFY1"	-0.179	0.024
"ANKRA2"	-0.0856	0.03
"ANKRD11"	-0.151	0.042
"ANKRD44"	-0.131	0.031
"AP1AR"	-0.118	0.024
"AP2M1"	-0.252	0.024
"APOBEC3B"	-0.147	0.046
"APOBEC3F"	-0.142	0.024
"AQR"	-0.884	0
"ARCN1"	-0.395	0.002
"ARHGAP5"	-0.314	0.046
"ARVCF"	-0.0803	0.049
"ASB10"	-0.2	0.026
"ATIC"	-0.0605	0.035
"ATMIN"	-0.0823	0.049
"ATP13A1"	-0.0951	0.05
"ATP6V0C"	-0.254	0.006
"ATP6V0D1"	-0.445	0.018
"AURKB"	-0.275	0.006
"AZIN1"	-0.307	0.036
"B3GALT6"	-0.153	0.044
"BBS9"	-0.0197	0.05
"BCAS2"	-0.027	0.015
"BCR"	-0.0301	0.023
"BDKRB1"	-0.214	0.041
"BEND6"	-0.222	0.015
"BIRC2"	-0.128	0.048
"BIRC5"	-0.144	0.029
"BMPR1A"	-0.184	0.033
"BRIX1"	-0.233	0.018
"BRUNOL4"	-0.115	0.039
"BUD31"	-0.131	0.008
"BYSL"	-0.188	0.048
"C10orf113"	-0.0578	0.021
"C10orf72"	-0.0415	0.018
"C11orf64"	-0.211	0.021
"C12orf66"	-0.262	0.017
"C14orf2"	-0.261	0.013
"C16orf71"	-0.0945	0.049
"C19orf10"	-0.16	0.031
"C1GALT1C1"	-0.255	0.015
"C21orf33"	-0.118	0.041
"C22orf29"	-0.0406	0.031
"C2orf50"	-0.14	0.038
"C2orf81"	-0.0522	0.024
"C5orf22"	-0.0681	0.037
"C7orf46"	-0.174	0.038
"C9orf114"	-0.0513	0.035
"C9orf45"	-0.135	0.018
"CA7"	-0.0893	0.049
"CACNA2D3"	-0.212	0.028
"CALHM3"	-0.0428	0.034
"CAPN5"	-0.0925	0.018
"CARM1"	-0.0626	0.049
"CARS2"	-0.256	0.04
"CASP8"	-0.0465	0.044
"CCDC55"	-0.178	0.043
"CCDC57"	-0.0442	0.038
"CCNB2"	-0.271	0.039
"CCNB3"	-0.479	0.002
"CCNG1"	-0.143	0.007
"CCT3"	-0.421	0.001
"CCT4"	-0.127	0.038
"CCT5"	-0.112	0.026
"CCT6A"	-0.305	0.029
"CCT7"	-0.192	0.005
"CCT8"	-0.533	0.005
"CD36"	-0.158	0.039
"CD52"	-0.0843	0.048
"CD84"	-0.0813	0.033
"CDA"	-0.219	0.003
"CDC27"	-0.209	0.021
"CDC40"	-0.342	0.001
"CDC5L"	-0.364	0.043
"CDCA5"	-0.172	0.027
"CDCA7L"	-0.139	0.024
"CDK1"	-0.22	0.02
"CDK11B"	-0.343	0.001
"CDKL3"	-0.0845	0.03
"CDR2"	-0.271	0.037
"CDT1"	-0.0975	0.019
"CENPO"	-0.13	0
"CHAF1B"	-0.17	0.028
"CHD2"	-0.0851	0.036
"CHEK1"	-0.259	0.005
"CHPF2"	-0.265	0.019
"CHRM1"	-0.201	0.007
"CIC"	-0.0741	0.047
"CLDN6"	-0.143	0.009
"CLEC2D"	-0.238	0.041
"CLEC5A"	-0.0595	0.005
"CLIP4"	-0.103	0.049
"CLK1"	-0.151	0.05
"CLTC"	-0.336	0.011
"CLUL1"	-0.312	0.023
"CMPK1"	-0.122	0.039
"CMTM3"	-0.0811	0.015
"CNNM3"	-0.0413	0.039
"CNPY4"	-0.301	0.005
"COASY"	-0.0603	0.027
"COG4"	-0.107	0.018
"COL10A1"	-0.149	0.046
"COL8A1"	-0.0903	0.04
"COMMD2"	-0.103	0.042
"COPA"	-0.416	0.009
"COPB1"	-0.724	0.002
"COPB2"	-0.242	0.036
"COPS2"	-0.193	0.013
"COPZ1"	-0.522	0.005
"CPSF1"	-0.385	0.045
"CPSF3"	-0.134	0.007
"CRYL1"	-0.0956	0.04
"CS"	-0.128	0.028
"CSE1L"	-0.206	0.036
"CTDP1"	-0.0857	0.042
"CTR9"	-0.128	0.039
"CUX2"	-0.074	0.049
"CWC15"	-0.281	0.046
"CWF19L1"	-0.531	0.04
"CXADR"	-0.0943	0.047
"CXorf15"	-0.126	0.046
"CXXC1"	-0.0913	0.035
"CYB5R3"	-0.0617	0.006
"CYorf15A"	-0.0711	0.004
"CYP1A1"	-0.109	0.038
"CYP21A2"	-0.141	0.046
"CYP26C1"	-0.0636	0.049
"CYP2A13"	-0.0917	0.019
"DAPK1"	-0.432	0.019
"DAPK3"	-0.0112	0.046
"DCPS"	-0.0489	0.046
"DCXR"	-0.122	0.033
"DDR1"	-0.138	0.018
"DDX17"	-0.109	0.032
"DDX18"	-0.22	0.047
"DDX46"	-0.347	0.023
"DDX5"	-0.0758	0.03
"DDX54"	-0.171	0.023
"DHX36"	-0.101	0.037
"DHX38"	-0.037	0.006
"DHX8"	-0.0834	0.005
"DKC1"	-0.16	0.047
"DKK3"	-0.131	0.029
