"Gene name"	"score"	"pval"
"ABCC6"	-0.251	0.014
"ABCE1"	-0.524	0.008
"ACAA1"	-0.0396	0.017
"ACAT2"	-0.127	0.003
"ACBD5"	-0.181	0.022
"ACTR1A"	-0.285	0.047
"ADAM18"	-0.154	0.043
"ADC"	-0.124	0.012
"ADCY5"	-0.0557	0
"AES"	-0.105	0.035
"AFAP1L1"	-0.0846	0.008
"AGL"	-0.166	0.025
"AHR"	-0.0769	0.018
"AIDA"	-0.207	0.049
"AKAP8"	-0.0947	0.024
"ALG10B"	-0.295	0.008
"ALK"	-0.206	0.031
"ALOX5"	-0.124	0.031
"ALOX5AP"	-0.238	0.037
"ALOXE3"	-0.0777	0.046
"ANAPC4"	-0.511	0.005
"ANAPC5"	-0.215	0.046
"ANG"	-0.305	0.04
"ANKRA2"	-0.257	0.039
"AP1AR"	-0.396	0.003
"APOBEC3B"	-0.23	0.04
"APOBEC3F"	-0.233	0.024
"APOL1"	-0.146	0.036
"AQR"	-0.645	0.027
"ARCN1"	-0.549	0.002
"ARHGAP29"	-0.165	0.034
"ARHGAP5"	-0.122	0.039
"ARHGEF2"	-0.199	0.025
"ARIH1"	-0.163	0.047
"ARL1"	-0.302	0.018
"ARL17A"	-0.149	0.027
"ARL6IP5"	-0.111	0.035
"ARL9"	-0.108	0.045
"ARMC1"	-0.175	0.04
"AS3MT"	-0.271	0.03
"ASS1"	-0.148	0.015
"ATOH7"	-0.026	0.035
"ATP1A2"	-0.161	0.048
"ATP5G3"	-0.258	0.03
"ATP6AP2"	-0.202	0.049
"ATP6V0D1"	-0.304	0.009
"ATXN10"	-0.281	0.009
"B3GALT6"	-0.0193	0.002
"B3GAT3"	-0.203	0.049
"B4GALT5"	-0.0231	0.002
"BAG5"	-0.179	0.01
"BANF1"	-0.293	0.027
"BAT4"	-0.158	0.048
"BDKRB1"	-0.243	0.009
"BRP44L"	-0.0381	0.046
"BST2"	-0.192	0.001
"BUB1B"	-0.294	0
"BZRAP1"	-0.182	0.006
"C11orf60"	-0.12	0.027
"C12orf44"	-0.147	0.027
"C12orf64"	-0.103	0.049
"C12orf69"	-0.206	0.043
"C14orf1"	-0.0664	0.024
"C14orf2"	-0.442	0.029
"C14orf39"	-0.0216	0.041
"C15orf51"	-0.25	0.007
"C16orf62"	-0.242	0.033
"C16orf75"	-0.121	0.038
"C16orf87"	-0.195	0.015
"C17orf63"	-0.0854	0.032
"C19orf10"	-0.22	0.013
"C19orf41"	-0.0826	0.033
"C21orf66"	-0.136	0.027
"C22orf27"	-0.414	0.037
"C2orf79"	-0.199	0.043
"C2orf85"	-0.223	0.002
"C3orf24"	-0.191	0.001
"C3orf39"	-0.348	0.013
"C4orf33"	-0.137	0.034
"C5orf36"	-0.222	0.041
"C5orf56"	-0.0929	0.033
"C6"	-0.0744	0.043
"C6orf136"	-0.151	0.022
"C6orf207"	-0.0519	0.005
"C8orf46"	-0.195	0.008
"C9orf103"	-0.0995	0.001
"C9orf125"	-0.172	0.013
"C9orf30"	-0.363	0.011
"CA12"	-0.0769	0.039
"CA7"	-0.316	0.024
"CACNA2D3"	-0.1	0.024
"CACNB3"	-0.101	0.015
"CALHM1"	-0.0705	0.017
"CALHM3"	-0.192	0.032
"CAMK1D"	-0.126	0.001
"CAPN2"	-0.163	0.027
"CASP8AP2"	-0.15	0.01
"CAV3"	-0.166	0.045
"CCDC155"	-0.00476	0.027
"CCDC27"	-0.0221	0.03
"CCNB3"	-0.576	0.033
"CCNK"	-0.0284	0.03
"CCR8"	-0.251	0.026
"CCRN4L"	-0.198	0.022
"CCT3"	-0.433	0.002
"CCT8"	-0.373	0.036
"CD300C"	-0.273	0.031
"CD59"	-0.135	0.032
"CDC23"	-0.354	0.002
"CDC40"	-0.503	0.001
"CDC5L"	-0.414	0.001
"CDK1"	-0.4	0.009
"CDK11B"	-0.52	0.023
"CDR2"	-0.194	0.048
"CEND1"	-0.317	0.03
"CES4"	-0.122	0.003
"CFLAR"	-0.155	0.035
"CHEK1"	-0.239	0.022
"CHPF2"	-0.0391	0.042
"CHRM1"	-0.406	0.027
"CHST10"	-0.0328	0.032
"CHST5"	-0.144	0.034
"CIT"	-0.252	0.04
"CLEC6A"	-0.0971	0.041
"CLINT1"	-0.176	0.015
"CNTLN"	-0.0732	0.014
"COCH"	-0.308	0.002
"COL25A1"	-0.316	0.041
"COL8A1"	-0.203	0.04
"COMMD2"	-0.196	0.037
"COPA"	-0.381	0.04
"COPB1"	-0.523	0.002
"COPG2"	-0.339	0.031
"COPS2"	-0.436	0
"COPS4"	-0.404	0.004
"COPS6"	-0.374	0.011
"COPS8"	-0.211	0.033
"CORO2A"	-0.242	0.01
"CORT"	-0.0179	0.03
"COX10"	-0.0681	0.046
"COX11"	-0.096	0.041
"CPPED1"	-0.23	0.024
"CREBBP"	-0.209	0.044
"CRYBB3"	-0.0931	0.027
"CSE1L"	-0.393	0.013
"CUL4A"	-0.142	0.028
"CUX2"	-0.285	0.008
"CWC15"	-0.317	0.024
"CWC27"	-0.308	0.001
"CYLD"	-0.0903	0.024
"CYorf15A"	-0.232	0.045
"CYP1A2"	-0.184	0.036
"CYP2B6"	-0.168	0.015
"CYP2F1"	-0.116	0.046
"DACH2"	-0.0376	0.041
"DAPK1"	-0.297	0.05
"DBF4"	-0.319	0.002
"DCAF17"	-0.0651	0.041
"DDHD2"	-0.0985	0.012
"DDR1"	-0.331	0.001
"DDR2"	-0.204	0.022
"DDX18"	-0.503	0.004
"DDX23"	-0.33	0.042
"DDX41"	-0.368	0.014
"DDX49"	-0.397	0.017
"DDX51"	-0.313	0.014
"DDX54"	-0.315	0.008
"DHX37"	-0.0558	0.032
"DHX38"	-0.0805	0.049
"DIS3"	-0.116	0.004
"DNAJA1"	-0.171	0.048
"DNAJC17"	-0.136	0.03
"DNASE1L3"	-0.18	0.019
"DNASE2B"	-0.25	0.037
"DOPEY1"	-0.276	0.001
"DPP3"	-0.229	0.014
"DPY19L4"	-0.21	0.022
"DRD2"	-0.134	0.003
"DUSP16"	-0.156	0.005
"DVL3"	-0.0107	0.028
"DYNC1H1"	-0.337	0.009
"DYNC1I2"	-0.405	0.002
"ECM1"	-0.223	0.045
"ECT2"	-0.469	0.014
"EEF2"	-0.473	0.003
"EFNA2"	-0.182	0.041
"EFTUD2"	-0.366	0
"EIF1AX"	-0.261	0.004
"EIF2S2"	-0.338	0.013
"EIF3A"	-0.453	0.017
"EIF3B"	-0.483	0.002
"EIF3C"	-0.555	0.012
"EIF3D"	-0.439	0.015
"EIF3I"	-0.41	0.047
"EIF4A3"	-0.349	0.003
"EIF4E"	-0.219	0.047
"EIF4E3"	-0.427	0.007
"EIF4G3"	-0.113	0.034
"EIF5B"	-0.503	0.002
"EIF6"	-0.395	0.044
"ELAVL1"	-0.189	0.049
"ENOPH1"	-0.117	0.015
"ENPP6"	-0.0892	0.044
"EP400NL"	-0.183	0.003
"EPC2"	-0.176	0.007
"EPRS"	-0.156	0.031
"EPS8"	-0.467	0.002
"EPX"	-0.0937	0.035
"ERBB2"	-0.141	0.013
"ERCC6L"	-0.334	0.011
"ERH"	-0.355	0.024
"ERMAP"	-0.27	0.024
"ERO1L"	-0.0701	0.037
"ESPL1"	-0.181	0.004
"ESPN"	-0.368	0.002
"ETF1"	-0.207	0.029
"ETHE1"	-0.0671	0.03
"ETV1"	-0.0825	0.008
"ETV3"	-0.111	0.024
"ETV5"	-0.0657	0.015
"EVX1"	-0.254	0
"EXD3"	-0.152	0.03
"EXOSC2"	-0.23	0.044
"EXOSC3"	-0.203	0.019
"EXOSC9"	-0.227	0.043
"EYA2"	-0.11	0.027
"F2RL1"	-0.011	0.049
"FA2H"	-0.0696	0.02
"FAM126A"	-0.348	0.002
"FAM134C"	-0.121	0.009
"FAM161B"	-0.0802	0.026
"FAM164A"	-0.143	0.008
"FAM181A"	-0.166	0.036
"FAM24B"	-0.29	0.022
"FAM50B"	-0.216	0.004
"FAT1"	-0.151	0.004
"FATE1"	-0.213	0.034
"FBXO22"	-0.281	0.041
"FBXO8"	-0.177	0.034
"FETUB"	-0.0618	0.037
"FEV"	-0.121	0.035
"FGFR3"	-0.0872	0.043
"FGG"	-0.178	0.022
"FHL2"	-0.215	0.029
"FIP1L1"	-0.228	0.033
"FKBP10"	-0.218	0.013
"FNDC5"	-0.196	0.027
"FOS"	-0.235	0.028
"FOXB2"	-0.0765	0.037
"FOXF1"	-0.209	0.036
"FPR1"	-0.13	0.009
"FRMD4A"	-0.231	0.003
"FTCD"	-0.0921	0.002
"FTSJ3"	-0.491	0.011
"FUT2"	-0.141	0.035
"FZD6"	-0.000615	0.018
"GADD45B"	-0.13	0.012
"GALR1"	-0.323	0.045
"GATAD1"	-0.105	0.034
"GINS1"	-0.18	0.033
"GK5"	-0.244	0.001
"GLCE"	-0.0402	0.034
"GLYR1"	-0.0641	0.049
"GMEB2"	-0.0524	0.015
"GNAS"	-0.106	0.034
"GNG12"	-0.16	0.022
"GNL3"	-0.118	0
"GPAM"	-0.125	0.029
"GPR112"	-0.217	0.001
"GPR116"	-0.188	0.017
"GPR31"	-0.0854	0.047
"GPR44"	-0.209	0.024
"GPX4"	-0.151	0.008
"GREM1"	-0.24	0.003
"GRHL3"	-0.136	0.008
"GRHPR"	-0.0497	0.046
"GRLF1"	-0.209	0.024
"HEBP1"	-0.0995	0.019
"HIATL2"	-0.313	0.009
"HINT3"	-0.183	0.027
"HIPK3"	-0.176	0.04
"HIST2H2AC"	-0.13	0.045
"HKDC1"	-0.249	0.01
"HLA-DOB"	-0.0942	0.041
"HNRNPC"	-0.614	0.003
"HNRNPM"	-0.548	0.049
"HNRNPU"	-0.475	0.009
"HPS5"	-0.221	0.037
"HSD11B2"	-0.0633	0.01
"HSDL2"	-0.311	0.021
"HSFY2"	-0.214	0.048
"HSPA9"	-0.263	0.028
"HSPE1"	-0.198	0.029
"HSPG2"	-0.233	0.003
"HTR2B"	-0.339	0.047
"HTRA1"	-0.195	0.02
"IFI16"	-0.212	0.047
"IGFBP2"	-0.241	0.04
"IGSF10"	-0.274	0.023
"INSR"	-0.433	0.004
"INTS4"	-0.287	0.018
"INTS4L1"	-0.397	0.011
"INTS9"	-0.231	0.016
"ITGA10"	-0.102	0.026
"ITGA2"	-0.336	0.015
"ITM2C"	-0.203	0.043
"IVL"	-0.346	0.049
"JMJD6"	-0.108	0.01
"JMJD7-PLA2G4B"	-0.107	0.026
"KARS"	-0.465	0.016
"KCNC3"	-0.217	0.024
"KCTD1"	-0.101	0.027
"KCTD12"	-0.289	0.045
"KCTD8"	-0.033	0.001
"KDM5D"	-0.256	0.023
"KIAA0101"	-0.257	0.008
"KIAA1267"	-0.309	0.049
"KIF20B"	-0.171	0.049
"KIF22"	-0.257	0.009
"KLHL1"	-0.0243	0.009
"KLK10"	-0.0378	0.023
"KPNA5"	-0.241	0.002
"KPNA6"	-0.0649	0.015
"KPNB1"	-0.462	0.001
"KRAS"	-0.282	0.046
"KRAS"	-0.278	0.046
"KRT8P11"	-0.184	0.023
"KRTAP13-2"	-0.0814	0.01
"KTN1"	-0.112	0.002
"L3MBTL3"	-0.107	0.01
"LAPTM5"	-0.144	0.036
"LARP1B"	-0.189	0.009
"LARS"	-0.136	0.004
"LDHC"	-0.287	0.003
"LPAR4"	-0.15	0.013
"LPXN"	-0.14	0.048
"LRP5"	-0.25	0.024
"LRRC37A"	-0.0899	0.044
"LUC7L3"	-0.102	0.018
"LY96"	-0.14	0.009
"LYRM1"	-0.124	0.023
"MAP3K5"	-0.0154	0.03
"MAPKAP1"	-0.176	0.005
"MAPKBP1"	-0.208	0.037
"MARK1"	-0.336	0.003
"MARVELD2"	-0.263	0.011
"MCM2"	-0.301	0.032
"MCM5"	-0.335	0.037
"MDM2"	-0.263	0.036
"MDN1"	-0.325	0.012
"MED12"	-0.0352	0.042
"MED14"	-0.194	0.004
"MED19"	-0.207	0.025
"MED30"	-0.312	0.013
"MEPE"	-0.00999	0.025
"MFAP2"	-0.339	0
"MFSD1"	-0.124	0.028
"MFSD8"	-0.239	0.035
"MICAL1"	-0.0437	0.04
"MKI67IP"	-0.287	0.029
"MKX"	-0.0672	0.046
"MLNR"	-0.188	0.041
"MMP16"	-0.191	0.035
"MMP23B"	-0.249	0.041
"MN1"	-0.0825	0.001
"MOBKL2A"	-0.139	0.027
"MOGAT1"	-0.169	0.037
"MOGS"	-0.183	0.046
"MRPL37"	-0.276	0.016
"MRPS36"	-0.196	0.049
"MS4A13"	-0.329	0.004
"MST1"	-0.107	0.03
"MTMR8"	-0.165	0.01
"MTSS1"	-0.142	0.027
"MTUS2"	-0.156	0.004
"MYO18A"	-0.116	0.031
"MYO3B"	-0.294	0.031
"MYRIP"	-0.232	0.014
"NAB1"	-0.125	0.013
"NACA"	-0.426	0.013
"NAPA"	-0.205	0.029
"NARFL"	-0.175	0.037
"NCEH1"	-0.0867	0.044
"NCOR2"	-0.3	0.002
"NCSTN"	-0.0509	0.031
"NEDD8"	-0.403	0.017
"NHEJ1"	-0.202	0.013
"NHP2L1"	-0.396	0.003
"NID2"	-0.237	0.004
"NLN"	-0.261	0.001
"NLRP1"	-0.0139	0.014
"NMT1"	-0.218	0.01
"NOC4L"	-0.407	0.002
"NOL3"	-0.121	0.041
"NR1I2"	-0.0319	0.003
"NT5C1B"	-0.198	0.04
"NT5C3L"	-0.212	0.026
"NUDT21"	-0.396	0.001
"NUDT4"	-0.296	0.05
"NUF2"	-0.402	0.009
"NUP133"	-0.318	0.02
"NUP205"	-0.505	0.009
"NUP214"	-0.178	0.02
"NUP43"	-0.251	0.042
"NUP54"	-0.288	0.039
"NUP88"	-0.267	0.021
"NUP93"	-0.403	0.01
"NUP98"	-0.12	0.03
"NUS1"	-0.162	0.002
"NXF1"	-0.285	0.017
"OGDH"	-0.0402	0.017
"OSBPL1A"	-0.151	0.033
"OVOL2"	-0.261	0.013
"P2RX4"	-0.0901	0.011
"PABPN1"	-0.46	0.048
"PAF1"	-0.328	0.041
"PAQR5"	-0.352	0.044
"PARG"	-0.487	0.002
"PBX3"	-0.281	0.04
"PCBP2"	-0.3	0.029
"PCYT2"	-0.266	0.013
"PDE1B"	-0.179	0.015
"PEX6"	-0.114	0.047
"PFKFB2"	-0.08	0.031
"PGA5"	-0.249	0.031
"PHF16"	-0.297	0.035
"PHF21A"	-0.125	0.044
"PHF3"	-0.195	0.017
"PHF5A"	-0.316	0.018
"PHTF2"	-0.0898	0.033
"PIK3C2G"	-0.338	0.04
"PITPNM2"	-0.283	0.049
"PITRM1"	-0.27	0.034
"PJA2"	-0.242	0.015
"PKNOX1"	-0.164	0.025
"PLAGL1"	-0.277	0.014
"PLEKHH1"	-0.216	0.018
"PLK1"	-0.252	0.027
"PLRG1"	-0.412	0.012
"PLSCR2"	-0.0782	0.027
"PMF1"	-0.179	0.048
"PODN"	-0.0795	0.003
"POLR2A"	-0.153	0.003
"POLR2D"	-0.5	0.001
"POLR2F"	-0.173	0.023
"POPDC3"	-0.513	0.002
"PPM1K"	-0.0343	0.02
"PPP1R7"	-0.346	0.003
"PRDM16"	-0.312	0.025
"PRELID1"	-0.145	0.002
"PRKAA1"	-0.398	0.03
"PRKAG1"	-0.321	0.048
"PRPF18"	-0.235	0
"PRPF19"	-0.492	0
"PRPF3"	-0.498	0.003
"PRPF31"	-0.58	0
"PRPF38A"	-0.407	0.009
"PRPF8"	-0.411	0.003
"PRSS16"	-0.0948	0.002
"PRUNE"	-0.232	0.03
"PSMA1"	-0.489	0.002
"PSMA3"	-0.538	0.04
"PSMA6"	-0.326	0.002
"PSMB2"	-0.594	0
"PSMB3"	-0.273	0.048
"PSMB4"	-0.324	0.013
"PSMB7"	-0.196	0.04
"PSMC1"	-0.195	0.007
"PSMC2"	-0.471	0.002
"PSMC3"	-0.393	0.009
"PSMD1"	-0.514	0.002
"PSMD12"	-0.441	0.026
"PSMD6"	-0.424	0.031
"PSMD8"	-0.296	0.004
"PTMS"	-0.15	0.048
"PTOV1"	-0.187	0.021
"PTPDC1"	-0.162	0.024
"PTPLAD2"	-0.106	0.039
"PTPN23"	-0.245	0.017
"PUM2"	-0.14	0.001
"PVRL3"	-0.193	0.016
"PXK"	-0.128	0.043
"QTRT1"	-0.0956	0.041
"RAB39B"	-0.156	0.049
"RAB3IP"	-0.202	0.029
"RAN"	-0.521	0
"RANGAP1"	-0.202	0.031
