"Gene name"	"score"	"pval"
"ABCC9"	-0.764	0.003
"ACAT2"	-1.14	0.027
"ACTRT2"	-0.872	0.009
"ACVR1"	-0.675	0.001
"ADI1"	-0.771	0.016
"ADRA1A"	-0.383	0.026
"AKR1C4"	-0.538	0.046
"ALAD"	-0.369	0.007
"ALG10B"	-1.1	0.003
"ALG8"	-0.238	0.046
"ALKBH3"	-0.232	0.016
"ALOX12B"	-0.4	0.017
"ALOXE3"	-1.05	0.016
"AMPH"	-0.876	0.015
"AP1AR"	-1.2	0.049
"AP3S2"	-0.71	0.023
"APBB1"	-0.702	0.037
"APLP2"	-1.22	0.019
"APOBEC3G"	-0.681	0.018
"AQR"	-1.81	0.001
"ARCN1"	-2.19	0.001
"ARF4"	-0.913	0
"ARFIP1"	-0.682	0.013
"ARHGAP18"	-0.848	0.037
"ARHGAP27"	-1.28	0.033
"ARHGAP29"	-1.46	0.04
"ARHGEF2"	-0.633	0
"ARL1"	-0.96	0.036
"ARL5B"	-0.942	0.028
"ARMC1"	-0.418	0.031
"ARNTL2"	-0.413	0.03
"ASB16"	-1.08	0.046
"ASNA1"	-0.703	0.037
"ATP11A"	-0.891	0.001
"ATP4A"	-0.576	0.04
"ATP5E"	-0.439	0.046
"ATP5H"	-0.402	0.025
"ATP5I"	-0.261	0.003
"ATXN10"	-0.903	0.008
"ATXN7L1"	-0.94	0.027
"AURKA"	-0.821	0.014
"AURKB"	-1.15	0.014
"B3GALNT2"	-0.874	0.046
"B3GALT6"	-1.63	0.013
"B3GNT3"	-0.401	0.049
"BAG5"	-0.414	0.009
"BAT1"	-1.06	0.027
"BATF"	-0.907	0.01
"BCCIP"	-0.632	0.046
"BCL2"	-1.13	0.036
"BDKRB1"	-1.43	0.042
"BDKRB2"	-0.917	0.046
"BICD2"	-1.4	0.043
"BMPR2"	-0.282	0.01
"BRAF"	-0.487	0.033
"BUD31"	-1.36	0.007
"C12orf66"	-1.49	0.043
"C14orf156"	-1.1	0.042
"C16orf75"	-0.17	0.025
"C19orf2"	-1.45	0.004
"C19orf21"	-0.689	0.037
"C1R"	-0.815	0.035
"C20orf95"	-1.4	0.006
"C9orf125"	-1.17	0.032
"C9orf53"	-1.09	0.027
"CA7"	-1.22	0.032
"CACNA1I"	-0.412	0.046
"CALB2"	-0.842	0.023
"CALCRL"	-0.841	0.017
"CAMK2G"	-1.06	0.034
"CAMP"	-0.883	0.012
"CAPN2"	-1.25	0.013
"CARM1"	-0.406	0.018
"CBR4"	-0.91	0.014
"CCL21"	-0.694	0.042
"CCL28"	-0.53	0.036
"CCNB3"	-1.59	0.019
"CCND3"	-0.89	0.021
"CCNG1"	-1.72	0.039
"CCNK"	-0.881	0.023
"CCR6"	-0.694	0.001
"CCT3"	-1.88	0.011
"CCT6A"	-0.887	0.007
"CD151"	-0.708	0.048
"CD200"	-1.16	0.026
"CD300E"	-0.795	0.012
"CDC23"	-0.906	0.032
"CDC40"	-1.39	0.015
"CDC5L"	-1.49	0.044
"CDK11B"	-1.56	0.003
"CDKL2"	-0.892	0.025
"CDNF"	-0.256	0.048
"CDSN"	-0.951	0.049
"CEBPG"	-1.27	0.036
"CEND1"	-1.3	0.015
"CENPO"	-1.56	0.003
"CHD4"	-1.12	0.022
"CHD8"	-1.05	0.027
"CHMP2A"	-1.14	0.032
"CHRNE"	-0.98	0.043
"CLECL1"	-0.426	0.021
"CLTC"	-1.52	0.001
"CMKLR1"	-0.669	0.032
"CMTM3"	-0.862	0.025
"CMYA5"	-0.93	0.003
"CNTLN"	-0.982	0.012
"COCH"	-1.1	0.008
"COL12A1"	-0.16	0.031
"COL4A3BP"	-0.323	0.046
"COL9A2"	-0.263	0.016
"COL9A3"	-0.817	0.045
"COPA"	-1.71	0.015
"COPB1"	-1.69	0.001
"COPS8"	-1.22	0.022
"CORT"	-0.772	0.023
"COX7A2P2"	-0.81	0.027
"CPXCR1"	-1.02	0.049
"CRTAM"	-1.43	0.016
"CSAG2"	-0.861	0.018
"CSDC2"	-1.02	0.003
"CTSG"	-1.08	0.042
"CUL4A"	-0.806	0.023
"CUL7"	-0.465	0.009
"CUX2"	-0.695	0.038
"CWF19L1"	-1.04	0.026
"CXCL12"	-1.39	0.032
"CXCR2"	-0.467	0.007
"CYBASC3"	-0.885	0.006
"CYBB"	-1.03	0.041
"CYP1A2"	-1.63	0.004
"CYP21A2"	-0.601	0.001
"CYP2D7P1"	-0.552	0.024
"CYP2R1"	-0.313	0.041
"DAO"	-0.444	0.017
"DAPK1"	-1.31	0.009
"DBNL"	-0.819	0.016
"DCTN2"	-0.815	0.008
"DCXR"	-1.24	0.021
"DDB2"	-0.866	0.01
"DDR2"	-1.22	0.034
"DDX1"	-0.726	0.044
"DDX18"	-1.79	0.006
"DDX21"	-0.787	0.048
"DDX46"	-1.59	0.049
"DDX49"	-1.37	0.039
"DDX51"	-0.769	0.023
"DDX54"	-1.28	0.034
"DDX59"	-0.559	0.034
"DEFA5"	-0.744	0.007
"DEFB126"	-0.571	0.049
"DGCR6L"	-0.958	0.028
"DGUOK"	-1.05	0.019
"DHCR7"	-0.987	0.027
"DHRS11"	-1.06	0.005
"DHX30"	-1.27	0.045
"DIABLO"	-1.45	0.009
"DKK3"	-1.02	0.034
"DLG4"	-0.94	0.01
"DLG5"	-1.26	0.031
"DMPK"	-0.842	0.05
"DNAJB2"	-1.29	0.036
"DNAJB6"	-0.844	0.022
"DNAJC4"	-1.14	0.007
"DNASE1L3"	-0.877	0.001
"DNM2"	-1.21	0.018
"DNTTIP2"	-1.65	0.042
"DONSON"	-1.24	0.049
"DPY19L4"	-0.803	0.041
"DUPD1"	-1.46	0.02
"DUX2"	-1.4	0.041
"DYNC1LI2"	-0.127	0.008
"DYNLT1"	-0.739	0.017
"DYRK2"	-0.631	0.044
"EBF3"	-1.03	0.047
"EBP"	-0.794	0.016
"ECM1"	-1.39	0.027
"EEF1A1"	-1.21	0.037
"EEF2"	-2.06	0.023
"EFCAB4B"	-0.314	0.049
"EFTUD2"	-1.5	0.011
"EIF2S2"	-1.94	0.013
"EIF3B"	-1.88	0.002
"EIF3C"	-1.39	0.037
"EIF4A3"	-1.94	0.006
"EIF4E3"	-1.46	0.003
"EIF5B"	-2.44	0
"ELAVL1"	-1.32	0.036
"ELK4"	-0.782	0.016
"ENOPH1"	-0.517	0.02
"EP400NL"	-1.54	0.048
"EPRS"	-0.641	0.028
"EPS8"	-1.08	0.027
"ERBB2"	-1.17	0.003
"ERBB3"	-0.651	0.001
"ERMAP"	-0.587	0.049
"ESPL1"	-0.815	0.011
"ESRRG"	-1.2	0.008
"ETHE1"	-1.11	0.038
"ETNK2"	-0.869	0.021
"ETV4"	-0.948	0.019
"EVI2A"	-0.536	0.049
"EXO1"	-1.07	0.018
"EXOSC10"	-1.08	0.003
"EXOSC4"	-0.543	0.02
"EYA1"	-0.708	0.005
"F11"	-1.11	0.027
"FAM69B"	-0.361	0.035
"FANCD2"	-0.428	0.041
"FBLN5"	-1.23	0.031
"FBXL7"	-1.18	0.037
"FBXO18"	-0.66	0.013
"FCRL2"	-1.26	0.004
"FERMT1"	-0.538	0.012
"FERMT2"	-1.45	0.004
"FEV"	-1.32	0.038
"FFAR2"	-0.813	0.049
"FGD1"	-0.607	0.019
"FNDC7"	-1	0.024
"FNTAL1"	-1.12	0.01
"FRMD4A"	-1.42	0.043
"FTSJ3"	-1.15	0.04
"FUT7"	-0.174	0.04
"FXYD2"	-1.1	0.024
"FYN"	-1.18	0.031
"GABARAP"	-0.33	0.042
"GABBR1"	-0.73	0.032
"GAL"	-0.515	0.027
"GALNTL5"	-0.618	0.045
"GDPD1"	-0.867	0.005
"GEMIN5"	-0.695	0.024
"GGA2"	-1.05	0.04
"GGA3"	-0.926	0.015
"GGT6"	-1.22	0.031
"GIT2"	-0.569	0.04
"GLIPR1"	-0.65	0.028
"GLYCTK"	-1.22	0.013
"GMDS"	-0.608	0.004
"GNG12"	-1.07	0.007
"GNL3"	-0.72	0.013
"GPR110"	-0.708	0.048
"GPR112"	-1.22	0.007
"GPR162"	-0.571	0.046
"GPR31"	-0.858	0.027
"GPR44"	-1.02	0.03
"GPR84"	-1.06	0.048
"GPRC5B"	-0.599	0.013
"GRIK1"	-1.11	0.002
"GRIN1"	-0.946	0.001
"GRIN2C"	-1.4	0.038
"GRM5"	-1.06	0.033
"GRSF1"	-0.838	0.044
"GTF3C4"	-0.99	0.013
"H2AFV"	-1.11	0.038
"HARS"	-0.522	0.042
"HAS2"	-0.532	0.034
"HERC2"	-0.453	0.025
"HERC2P2"	-0.953	0.023
"HGF"	-0.708	0.05
"HINT3"	-0.907	0.049
"HIST1H1T"	-1.09	0.027
"HIST1H2BD"	-0.93	0.003
"HKDC1"	-0.994	0.011
"HLA-DQB1"	-1.2	0.043
"HLA-DQB2"	-0.577	0.029
"HLA-DRB3"	-1.25	0.046
"HLA-F"	-0.743	0.048
"HLA-G"	-1.08	0.013
"HNMT"	-0.644	0.036
"HNRNPC"	-1.65	0
"HNRNPK"	-2.08	0.041
"HNRNPM"	-1.61	0.018
"HNRNPU"	-1.41	0.001
"HPS5"	-0.887	0.019
"HSP90AA1"	-0.99	0.03
"HSPA9"	-1.17	0.012
"HSPD1"	-0.794	0.012
"HSPG2"	-0.983	0.041
"HTR7"	-1.18	0.004
"HYAL2"	-1.15	0.008
"ICK"	-0.958	0.015
"ID1"	-1.06	0.01
"IFNAR2"	-0.479	0.049
"IGF2BP3"	-0.729	0.048
"IL22RA1"	-0.652	0.029
"INTS4"	-0.486	0.041
"INTS4L1"	-1.26	0.04
"INTS9"	-1.38	0.017
"IRS4"	-1.37	0.045
"ISCU"	-1.14	0.005
"ISG20"	-0.974	0.049
"ITGA2"	-1.62	0.01
"ITGA3"	-0.678	0.006
"ITGAL"	-1.16	0.026
"ITGB3"	-0.84	0.041
"KARS"	-1.28	0.008
"KCNA1"	-0.619	0.001
"KCNC2"	-0.624	0.013
"KCNJ14"	-0.677	0.026
"KCNK3"	-0.947	0.035
"KCNMB1"	-1.51	0.013
"KCNQ5"	-0.905	0.007
"KCTD12"	-0.628	0.022
"KCTD4"	-0.699	0.028
"KDELR3"	-0.823	0.012
"KDM5B"	-0.54	0.041
"KDSR"	-0.895	0.021
"KIAA0355"	-0.632	0.036
"KIF19"	-1.67	0.032
"KIF22"	-0.605	0.031
"KPNB1"	-1.72	0.014
"KRT17"	-0.726	0.02
"KRT33B"	-0.576	0.043
"KRT74"	-0.374	0.043
"KRTAP10-11"	-1.06	0.018
"KRTAP4-7"	-0.8	0.03
"LAS1L"	-0.551	0.038
"LCK"	-1.39	0.007
"LCN10"	-1.65	0.031
"LEP"	-0.123	0.05
"LETM1"	-1.41	0.012
"LGALS8"	-0.141	0.016
"LMNA"	-0.69	0.045
"LMX1B"	-1.32	0.004
"LPAL2"	-1.08	0.023
"LPCAT2"	-0.661	0.008
"LPHN1"	-0.93	0.034
"LPHN2"	-0.369	0.031
"LRRC19"	-1.1	0.05
"LRRC32"	-0.62	0.048
"LRRC8A"	-0.544	0.037
"LSM2"	-0.955	0.024
"MAK16"	-0.683	0.024
"MAML1"	-1.01	0.031
"MAP4K3"	-1.38	0.029
"MAP9"	-0.446	0.041
"MARCO"	-1.12	0.044
"MARK1"	-1.32	0.03
"MATN2"	-0.535	0.019
"MED14"	-1.88	0.018
"MET"	-1	0.032
"MFAP1"	-1.37	0.028
"MFAP2"	-0.998	0.008
"MKRN1"	-0.838	0.036
"MMP2"	-0.788	0.027
"MMP25"	-0.88	0.038
"MN1"	-0.77	0.035
"MOGAT1"	-0.322	0.037
"MORF4L2"	-1.01	0.006
"MPL"	-1.69	0.008
"MPPED1"	-1.33	0.018
"MRPS31"	-1.44	0.038
"MS4A13"	-2.04	0.038
"MSH2"	-0.635	0.002
"MTCP1"	-0.58	0.044
"MTM1"	-0.111	0.039
"MTSS1"	-0.917	0.013
"MTUS2"	-1.06	0.037
"MUDENG"	-0.659	0.039
"MYH14"	-0.622	0.007
"MYNN"	-0.111	0.014
"MYO3B"	-1.34	0.004
"MYO9B"	-1.08	0.023
"NAA38"	-1.28	0.001
"NAAA"	-0.832	0.036
"NAALADL2"	-0.295	0.019
"NACAP1"	-1.5	0.028
"NAT10"	-0.241	0.037
"NAT8B"	-0.638	0.036
"NAT8L"	-0.282	0.028
"NCOA4"	-0.294	0.049
"NDUFAF1"	-1.03	0.022
"NDUFB11"	-1.67	0.007
"NFIC"	-0.63	0.01
"NHP2"	-0.468	0.046
"NID2"	-1.45	0.008
"NLN"	-1.14	0.025
"NME5"	-0.453	0.01
"NMT1"	-0.674	0.011
"NNMT"	-0.896	0.031
"NOP2"	-1.32	0.001
"NOX1"	-1.09	0.035
"NPPA"	-0.753	0.036
"NPR1"	-1.44	0.019
"NPTN"	-0.969	0.002
"NRP1"	-1.41	0.043
"NRSN2"	-1.27	0.048
"NT5C1A"	-1.58	0.029
