"Gene name"	"score"	"pval"
"A1CF"	-0.528	0.043
"ABAT"	-0.368	0.007
"ABCC4"	-0.353	0.014
"ABP1"	-0.0187	0.043
"ACAT1"	-0.671	0.031
"ACBD5"	-0.411	0.045
"ACOT11"	-0.196	0.031
"ACOT12"	-0.221	0.024
"ACOT8"	-0.136	0.033
"ADAM18"	-0.488	0.02
"ADAM21"	-0.598	0.031
"ADAM32"	-0.219	0.02
"ADAM33"	-0.31	0.045
"ADAMTS12"	-0.256	0.003
"ADAMTS9"	-0.108	0.039
"ADARB2"	-0.171	0
"ADCK2"	-0.221	0.028
"ADCY3"	-0.359	0.029
"ADCY9"	-0.431	0.013
"ADD1"	-0.255	0.007
"ADI1"	-0.442	0.013
"ADIPOR1"	-0.211	0.013
"ADRA1A"	-0.243	0.035
"AFG3L2"	-0.446	0.043
"AKT3"	-0.172	0.039
"ALAD"	-0.442	0.012
"AMBP"	-0.391	0.032
"ANAPC2"	-0.17	0.029
"ANAPC4"	-0.834	0
"AP1AR"	-0.55	0.017
"AP2M1"	-0.0514	0.049
"AP3D1"	-0.964	0
"APBB1"	-0.477	0
"APOBEC3G"	-0.0206	0.014
"APOL4"	-0.144	0.011
"ARCN1"	-0.886	0.007
"ARF3"	-0.14	0.013
"ARG1"	-0.815	0.002
"ARHGAP4"	-0.0769	0.044
"ARVCF"	-0.118	0.042
"ASAP1"	-0.0321	0
"ASCC3"	-0.19	0.04
"ASTL"	-0.308	0.008
"ATMIN"	-0.319	0.016
"ATP5D"	-0.136	0.039
"ATP6V1C2"	-0.0337	0.015
"ATXN3"	-0.528	0.004
"ATXN7L1"	-0.148	0.016
"AVPR2"	-0.161	0.031
"AZGP1"	-0.0129	0.014
"B3GALNT2"	-0.543	0.014
"B3GNT5"	-0.16	0
"B3GNTL1"	-0.0915	0.036
"B4GALNT3"	-0.122	0.019
"B4GALT5"	-0.152	0.033
"B4GALT6"	-0.474	0.049
"BAI2"	-0.342	0.039
"BAT1"	-0.754	0.008
"BAT4"	-0.313	0.027
"BATF"	-0.0805	0
"BDKRB1"	-0.28	0.013
"BDKRB2"	-0.518	0.026
"BID"	-0.312	0.046
"BMP7"	-0.562	0.005
"BMPR1A"	-0.515	0.013
"BST2"	-0.761	0.016
"BUB1B"	-0.441	0.012
"C10orf2"	-0.401	0.043
"C10orf4"	-0.34	0.027
"C12orf66"	-0.541	0.043
"C14orf148"	-0.455	0.007
"C14orf2"	-0.454	0.008
"C16orf62"	-0.615	0.049
"C16orf72"	-0.552	0.017
"C1GALT1C1"	-0.85	0.026
"C1orf156"	-0.266	0.049
"C22orf27"	-0.706	0.017
