"Gene name"	"score"	"pval"
"A1CF"	-4.2	0.006
"AADAT"	-1.07	0.002
"ABCA3"	-1.59	0.034
"ABCA9"	-1.61	0.041
"ABCC2"	-3.05	0.043
"ACBD3"	-1.43	0.048
"ACBD5"	-2.97	0.041
"ACOT9"	-1.74	0.007
"ACTG1"	-3.61	0.041
"ACVR1"	-0.0454	0.004
"ADAM21"	-0.399	0.036
"ADAM33"	-5.17	0.026
"ADAT2"	-1.6	0.05
"ADCY9"	-1.3	0.041
"ADH5P4"	-0.886	0.026
"ADI1"	-2.62	0.007
"ADRBK1"	-2.56	0.027
"AKT3"	-1.56	0.029
"ALKBH3"	-0.983	0.049
"ALOX12B"	-3.17	0.005
"ANAPC4"	-6.08	0.001
"ANAPC5"	-3.15	0.031
"ANK1"	-3	0.042
"AOC2"	-2.85	0.01
"AOX1"	-0.574	0.034
"AP1M2"	-0.864	0.039
"AP1S2"	-0.73	0.039
"APOBEC2"	-3.07	0.047
"APOBEC3G"	-2.37	0.042
"APOC3"	-0.95	0
"APPL1"	-2.45	0.042
"APRT"	-1.72	0.037
"AQR"	-4.04	0.002
"AR"	-1.69	0.022
"ARCN1"	-6.17	0.002
"ARF4"	-0.86	0.047
"ARG1"	-1.6	0.004
"ARHGAP22"	-1.22	0.027
"ARHGAP29"	-4.7	0.026
"ARHGAP5"	-0.887	0.027
"ARID4A"	-1.7	0.021
"ARNT"	-0.556	0.027
"ARSG"	-1.2	0.04
"ARSJ"	-3.66	0.041
"ART5"	-2.27	0
"ATIC"	-1.86	0.01
"ATL1"	-0.641	0.035
"ATOH7"	-4.98	0.007
"ATP11B"	-0.343	0.031
"ATP4A"	-2.03	0.031
"ATP5C1"	-3.63	0.026
"ATP5S"	-2.91	0.004
"ATP6V0A1"	-0.145	0.003
"ATP6V0D1"	-2.12	0.019
"AURKB"	-3.44	0.025
"B3GALNT2"	-3.54	0.002
"B3GALT4"	-0.872	0.009
"B4GALT4"	-0.892	0.042
"BAT2L2"	-2.12	0.048
"BAZ1A"	-1.71	0.042
"BBOX1"	-2.39	0.041
"BCL9L"	-1.79	0.012
"BDKRB1"	-1.39	0.035
"BMP2K"	-2.7	0.045
"BMP7"	-1.66	0.001
"BPNT1"	-3.41	0.026
"BRCC3"	-1.47	0.041
"BRUNOL4"	-1.44	0.041
"BTBD6"	-0.176	0.042
"BTLA"	-1.96	0.008
"BUD31"	-3.67	0.017
"C10orf113"	-1.23	0.013
"C10orf118"	-2.53	0.034
"C10orf76"	-2.54	0.008
"C14orf2"	-1.21	0
"C16orf72"	-1.82	0.002
"C17orf104"	-0.862	0.038
"C19orf10"	-1.95	0.038
"C19orf18"	-1.8	0.038
"C1orf126"	-0.185	0.031
"C1QBP"	-3.46	0.03
"C21orf66"	-1.68	0.042
"C22orf27"	-3.06	0.013
"C22orf29"	-0.587	0.003
"C22orf32"	-1.85	0
"C2orf81"	-1.75	0.037
"C3orf1"	-1.41	0.041
"C3orf39"	-0.496	0.026
"C5orf4"	-1.54	0.036
"C6orf106"	-1.29	0.016
"C9orf103"	-1.33	0.035
"C9orf114"	-2.39	0.008
"C9orf135"	-1.94	0.044
"C9orf30"	-2.77	0.028
"C9orf93"	-2.31	0.001
"CACNA1I"	-1.11	0.041
"CACNB3"	-1.79	0.009
"CALHM3"	-0.559	0.004
"CALM2"	-3.33	0.043
"CALR"	-1.39	0.019
"CAP1"	-2.13	0.05
"CARM1L"	-1.84	0.017
"CARS2"	-4.69	0.009
"CASP3"	-0.627	0.036
"CASP8AP2"	-3.87	0.004
"CASR"	-2.48	0.011
"CBR4"	-1.37	0.002
"CCDC71"	-2.29	0.046
"CCDC83"	-2.19	0.047
"CCNG1"	-2.5	0.011
"CCNK"	-3.06	0.013
"CCR4"	-0.925	0.009
"CCR8"	-3.46	0.016
"CCT3"	-6.09	0.004
"CD3G"	-3.06	0.049
"CD59"	-2.72	0.002
"CD79B"	-1.34	0.026
"CD80"	-0.985	0.002
"CDC25A"	-0.996	0.04
"CDC40"	-4.64	0.007
"CDC5L"	-4.39	0.004
"CDK11B"	-6.53	0.002
"CDYL2"	-0.209	0.05
"CEACAM21"	-1.03	0.008
"CEND1"	-1.52	0.015
"CENPC1"	-2.04	0.004
"CENPO"	-1.78	0.02
"CEP152"	-1.31	0.023
"CERK"	-1.05	0.035
"CHD4"	-3.8	0.005
"CHEK1"	-5.65	0.017
"CHERP"	-3.92	0.032
"CHPF2"	-0.391	0.003
"CHRNB1"	-0.481	0.004
"CKMT1B"	-2.16	0.03
"CLDN18"	-1.24	0.018
"CLTC"	-4.47	0.011
"CMPK1"	-1.07	0.002
"CMTM4"	-1.45	0.008
"CMTM6"	-0.629	0.035
"CNO"	-2.09	0.011
"CNOT8"	-3.11	0.036
"CNPY3"	-1.21	0.045
"COG4"	-2.28	0.041
"COL13A1"	-2.12	0.04
"COL24A1"	-2.17	0.009
"COMTD1"	-3.28	0.01
"COPA"	-3.86	0.042
"CPA5"	-0.392	0.04
"CPSF1"	-2.96	0.034
"CPSF6"	-3.34	0.003
"CPT1A"	-2.47	0.036
"CPT1B"	-1.05	0.026
"CPT1C"	-1.77	0.023
"CPXCR1"	-1.24	0.039
"CPXM1"	-3.4	0.04
"CREBZF"	-1.61	0.023
"CRLF1"	-1.17	0.014
"CRYAB"	-2.04	0.026
"CRYL1"	-1.55	0.032
"CRYM"	-0.371	0.049
"CRYZ"	-2.13	0.044
"CSAD"	-0.609	0.015
"CSE1L"	-5.49	0.047
"CSF1R"	-1.94	0.047
"CSTF2T"	-2.8	0.042
"CUL4B"	-1.32	0.013
"CUL7"	-4.95	0
"CWC22"	-1.43	0.008
"CX3CR1"	-1.32	0.008
"CXCL9"	-1.51	0.031
"CYB5R3"	-3.15	0.003
"CYBASC3"	-1.56	0.011
"CYorf15B"	-1.58	0.02
"CYP1A2"	-1.67	0.003
"CYP21A2"	-3.26	0.039
"CYP2W1"	-5.18	0.041
"CYYR1"	-1.2	0.035
"DACT3"	-0.817	0.049
"DAPK1"	-4.11	0.007
"DBF4"	-2.89	0.035
"DBN1"	-2.08	0.006
"DCXR"	-2.82	0.038
"DDR1"	-2.35	0
"DDR2"	-3.49	0.012
"DDX18"	-4.39	0.02
"DDX21"	-1.88	0.027
"DDX3X"	-1.24	0.05
"DDX4"	-1.16	0.044
"DDX41"	-3.6	0.023
"DDX46"	-5.11	0.047
"DDX49"	-1.28	0.026
"DDX5"	-1.09	0.04
"DDX51"	-3.38	0.045
"DDX56"	-1.7	0.031
"DEGS1"	-1.03	0.035
"DEGS2"	-2.45	0.041
"DENR"	-2.1	0.039
"DGKI"	-2.29	0.031
"DGKZ"	-2.5	0.01
"DHX30"	-3.27	0.011
"DHX57"	-2.12	0.022
"DHX9"	-3.64	0.028
"DIS3"	-2.18	0.036
"DLC1"	-0.296	0.023
"DLG5"	-2.19	0.009
"DMC1"	-2.95	0.001
"DNAJB2"	-2.2	0.041
"DNASE1L3"	-3.49	0.007
"DNASE2B"	-1.5	0.011
"DNM2"	-1.46	0.014
