"Gene name"	"score"	"pval"
"A1CF"	-1.12	0
"AADACL4"	-0.697	0.014
"AADAT"	-1.24	0.047
"ABAT"	-0.745	0.017
"ABCC4"	-1.26	0.04
"ABHD3"	-0.707	0.035
"ACAT1"	-0.883	0.02
"ACTA2"	-1.02	0.034
"ACTR10"	-0.735	0.045
"ACTR5"	-0.924	0.012
"ADAM21"	-1.3	0.014
"ADAM33"	-0.557	0.031
"ADCYAP1R1"	-1.37	0.04
"ADH5"	-0.523	0.042
"AGL"	-1.19	0.014
"AJAP1"	-1.11	0.032
"AKAP5"	-1.05	0.026
"ALG10B"	-1.1	0.016
"ALK"	-0.427	0.01
"ALMS1"	-0.793	0.038
"AMBP"	-0.837	0.034
"ANAPC4"	-1.08	0.013
"ANKRA2"	-1.21	0.026
"AP1AR"	-1.53	0.029
"APLP2"	-0.787	0.023
"APOBEC3B"	-1.12	0.004
"APOBEC3F"	-1.26	0.036
"APOBEC3G"	-1.19	0.014
"APPL1"	-1.32	0.033
"AQP12A"	-0.333	0.022
"AQP5"	-0.899	0.003
"AQR"	-1.76	0
"ARHGAP27"	-1.43	0.011
"ARIH1"	-0.347	0.038
"ARL9"	-0.858	0.035
"ASGR1"	-1.41	0.039
"ASTL"	-0.947	0.03
"ASXL1"	-0.924	0.02
"ATP11C"	-0.61	0.005
"ATP1A1"	-1.41	0.05
"ATP5H"	-0.923	0.031
"ATP6V0D1"	-0.728	0.005
"ATXN10"	-1.25	0.004
"AWAT1"	-0.179	0.003
"AZI1"	-1.43	0.014
"BAI2"	-1.35	0.007
"BAT4"	-0.453	0.034
"BCDIN3D"	-0.29	0.034
"BCKDK"	-0.042	0.031
"BDKRB1"	-1.39	0
"BIRC8"	-0.697	0.007
"BMP15"	-0.473	0.001
"BMPR1A"	-2.03	0.017
"BRUNOL4"	-1.08	0.025
"BST2"	-0.815	0.02
"BUB1B"	-1.14	0.012
"BUB3"	-0.674	0.037
"BUD31"	-1.23	0.018
"BYSL"	-1.16	0.014
"C10orf2"	-0.86	0.047
"C11orf64"	-1.87	0.047
"C13orf16"	-0.509	0.031
"C13orf27"	-0.969	0.027
"C14orf148"	-1.2	0.004
"C16orf72"	-1.5	0.009
"C16orf87"	-1.44	0.015
"C17orf102"	-1.18	0.023
"C17orf97"	-0.299	0.017
"C19orf10"	-1.28	0.009
"C19orf18"	-1.19	0.005
"C1orf77"	-1.41	0.015
"C2"	-0.78	0.002
"C21orf66"	-0.942	0.047
"C22orf25"	-0.791	0.021
"C22orf27"	-1.65	0.017
"C22orf29"	-1.17	0.011
"C22orf30"	-0.825	0.027
"C2orf73"	-0.629	0.049
"C2orf81"	-1.53	0.025
"C3orf1"	-1.27	0.034
"C4orf33"	-1.01	0.047
"C5orf37"	-0.363	0.042
"C6orf167"	-0.528	0.042
"C7orf31"	-0.769	0.045
"C7orf43"	-0.969	0.027
"C9orf27"	-0.855	0.036
"CACNA1F"	-0.392	0.046
"CACNA2D3"	-1.28	0.002
"CAP1"	-1.15	0.033
"CAPN2"	-1.22	0.02
"CARTPT"	-0.508	0.03
"CASR"	-0.972	0.004
"CCDC112"	-0.839	0.007
"CCDC116"	-1.11	0.035
"CCDC51"	-1.33	0.048
"CCDC57"	-0.618	0.046
"CCKAR"	-1	0.043
"CCNL2"	-0.405	0.04
"CCT3"	-1.69	0.001
"CCT6A"	-1.33	0.016
"CCT7"	-1.41	0.035
"CCT8"	-1.4	0.038
"CD38"	-0.381	0.034
"CDC14A"	-1.54	0.015
"CDC40"	-1.11	0.008
"CDC5L"	-1.36	0.001
"CDCA5"	-0.871	0.013
"CDCP2"	-0.624	0.014
"CDK1"	-0.6	0.013
"CDK11B"	-1.38	0.006
"CDK12"	-1.44	0
"CDK14"	-1.09	0.024
"CDK17"	-1.33	0
"CDK2"	-0.394	0.013
"CDK2"	-0.933	0.013
"CDKL1"	-0.672	0.011
"CDR2"	-0.446	0.007
"CEBPB"	-0.406	0.003
"CELSR2"	-0.45	0.022
"CEND1"	-1.78	0.042
"CENPL"	-0.825	0.035
"CEP110"	-1.25	0.014
"CEP70"	-0.817	0
"CERK"	-0.782	0.039
"CERKL"	-1.08	0.049
"CFTR"	-1.23	0.026
"CHD4"	-1.42	0.016
"CHMP2A"	-1.28	0
"CHRM1"	-1.22	0.014
"CHST10"	-1.33	0.014
"CHST7"	-0.229	0.024
"CIT"	-1.13	0.007
"CKMT1B"	-1.05	0.046
"CLDN6"	-1.1	0.027
"CLINT1"	-0.959	0
"CLMN"	-0.241	0.036
"CLUL1"	-0.921	0
"CMTM6"	-0.801	0.031
"CNOT3"	-0.848	0.017
"CNTLN"	-1.57	0.038
"COG4"	-1.39	0.02
"COL24A1"	-1.21	0.01
"COL7A1"	-0.45	0.035
"COL8A1"	-1.11	0.001
"COPA"	-1.19	0.002
"COPB1"	-1.7	0.001
"COPB2"	-1.46	0.003
"COPS2"	-1.15	0.036
"COPS3"	-0.579	0.002
"COPS4"	-0.83	0.001
"COPS6"	-0.794	0.008
"COPS8"	-1.26	0.034
"COPZ1"	-1.34	0.004
"CPSF1"	-0.82	0.022
"CPT1C"	-1.23	0.007
"CREBBP"	-0.475	0.002
"CSAG2"	-0.808	0.038
"CSMD3"	-1.39	0.012
"CSNK1E"	-0.585	0.007
"CSNK1E"	-0.748	0.007
"CST8"	-0.635	0.01
"CTH"	-0.539	0.031
"CUL4A"	-1.28	0.049
"CWC15"	-1.28	0.048
"CWC22"	-1.05	0.032
"CXXC5"	-0.363	0.034
"CYorf15A"	-1.26	0.035
"CYP2A13"	-0.986	0.026
"CYP2S1"	-0.346	0.035
"DAD1"	-1.3	0.003
"DARS"	-1.54	0.026
"DBN1"	-0.739	0.009
"DCTD"	-1.22	0.019
"DCTN6"	-0.644	0.039
"DDB2"	-0.946	0.049
"DDR1"	-1.15	0.027
"DDX17"	-1.07	0.027
"DDX49"	-1.38	0.026
"DEFB4"	-0.705	0.014
"DERA"	-0.583	0.037
"DHX9"	-1.03	0.007
"DIS3"	-0.823	0.027
"DIXDC1"	-1.05	0.017
"DLX3"	-0.855	0.039
"DNAJA1"	-1.49	0.009
"DNAJC21"	-1.14	0.016
"DNMT1"	-1.44	0.047
"DNPEP"	-0.275	0.042
"DPAGT1"	-0.993	0.014
"DPP3"	-0.75	0.039
"DSCR8"	-0.496	0.01
"DSCR9"	-0.961	0.03
"DULLARD"	-1.38	0.038
"DYNC1H1"	-1.51	0.046
"DYNC1I2"	-0.796	0.024
"DYNLL1"	-1.13	0.046
"DYNLT1"	-0.763	0.049
"DYNLT3"	-1.14	0.016
"DYRK2"	-1.34	0.018
"E2F5"	-0.765	0.02
"EDN1"	-0.688	0.023
"EEF2K"	-1.48	0.048
"EFHA2"	-0.585	0.042
"EFNA2"	-0.812	0.009
"EFTUD2"	-1.59	0.027
"EGFR"	-1.63	0.031
"EIF1AX"	-1.62	0.012
"EIF3A"	-1.51	0.022
"EIF3B"	-1.83	0.003
"EIF3C"	-1.34	0.013
"EIF3G"	-1.21	0.011
"EIF3I"	-1.56	0.014
"EIF3M"	-1.34	0.04
"EIF4E3"	-1.73	0.022
"EIF4EBP1"	-0.38	0.049
"ELAVL3"	-0.209	0.028
"ELAVL3"	-0.866	0.028
"ENOPH1"	-0.856	0.03
"EPHB4"	-0.599	0.001
"EPS8"	-1.49	0.009
"ERBB2"	-0.917	0.016
"ERBB2IP"	-1.1	0.005
"ERBB4"	-1.27	0.023
"ERCC1"	-0.255	0.024
"ERCC6L"	-1.38	0.008
"ERF"	-1.08	0.004
"ERMAP"	-1	0.017
"ESPN"	-1.24	0.011
"ETHE1"	-1.25	0.011
"ETNK2"	-1.67	0.013
"ETV1"	-1.11	0.014
"EVX1"	-1.63	0
"EXOC1"	-1.58	0.035
"FAM126A"	-1.7	0.007
"FAM13B"	-1.37	0.003
"FAM160A2"	-0.738	0.041
"FAM175B"	-0.123	0.036
"FAM182A"	-0.752	0.005
"FCHSD2"	-0.767	0.044
"FETUB"	-0.732	0.025
"FFAR1"	-0.237	0.01
"FFAR2"	-1.31	0.038
"FGF3"	-0.515	0.039
"FKBP8"	-0.184	0.014
"FNDC5"	-1.24	0.045
"FNDC7"	-1.59	0.027
"FNTAL1"	-1.35	0.036
"FOSL1"	-0.873	0.014
"FOXA3"	-1.03	0.014
"FTSJ1"	-1.25	0.01
"FYTTD1"	-0.863	0.026
"GADD45B"	-1.05	0.022
"GALNT7"	-0.759	0.033
"GAMT"	-0.791	0.009
"GAR1"	-0.868	0.017
"GBP1"	-0.729	0.016
"GDF5"	-0.445	0.034
"GDPD1"	-1.66	0.047
"GEMIN5"	-0.903	0.023
"GINS1"	-0.894	0.027
"GINS2"	-0.851	0.022
"GJA8"	-0.923	0.023
"GK"	-0.758	0.003
"GK2"	-0.833	0.004
"GLB1L"	-0.845	0.016
"GLIPR1L2"	-1.11	0.014
"GLYR1"	-1.03	0.038
"GNA11"	-0.85	0.017
"GNE"	-0.875	0.013
"GOT1L1"	-0.738	0.044
"GPAM"	-1.52	0.025
"GPBP1"	-0.325	0.027
"GPHN"	-0.182	0.049
"GPR110"	-1.03	0.045
"GPR112"	-1.23	0.038
"GPR89B"	-0.45	0.011
"GPSM1"	-0.548	0.046
"GRAP"	-0.882	0.049
"GRB7"	-0.579	0.049
"GREM1"	-1.24	0.038
"GRIK1"	-0.972	0.011
"GRIN1"	-1.29	0.014
"GRIN2C"	-1.3	0.005
"GRN"	-0.148	0.021
"GRPR"	-0.409	0.006
"GRSF1"	-0.965	0.045
"GSK3B"	-1.17	0.002
"GSPT1"	-1.26	0.023
"GTF3C4"	-1.25	0.017
"H2AFV"	-0.965	0.041
"HAUS1"	-0.917	0.046
"HBEGF"	-0.898	0.017
"HEATR1"	-1.06	0.007
"HGF"	-0.932	0.025
"HILS1"	-0.484	0.046
"HIST2H2AC"	-0.681	0.024
"HKDC1"	-0.807	0.01
"HLA-DQB2"	-1.43	0.025
"HLA-DRB1"	-0.896	0.039
"HMSD"	-1.21	0.001
"HNMT"	-0.798	0.03
"HNRNPK"	-0.601	0.01
"HNRNPL"	-0.652	0.038
