"Gene name"	"score"	"pval"
"A1CF"	-0.392	0.013
"ABCC6"	-0.401	0.041
"ABHD5"	-0.32	0.004
"ACBD3"	-0.303	0.018
"ACSM2B"	-0.143	0.028
"ACTR2"	-0.383	0.043
"ACTR3B"	-0.193	0.043
"ADAM11"	-0.241	0.032
"ADAM32"	-0.553	0.034
"AKAP3"	-0.185	0.003
"AKAP4"	-0.281	0.01
"AKAP5"	-0.298	0.01
"AKAP8"	-0.105	0.014
"ALAD"	-0.0357	0.05
"ALG10B"	-0.738	0.03
"ALMS1"	-0.128	0.049
"ALS2CL"	-0.552	0.004
"ANAPC4"	-1.22	0.001
"ANKRA2"	-0.431	0.027
"ANLN"	-0.0359	0.029
"AP1AR"	-0.408	0.026
"APOA1"	-0.202	0.046
"APOBEC1"	-0.129	0.012
"APOBEC3B"	-0.614	0.017
"APOC3"	-0.076	0.047
"AQP9"	-0.311	0.041
"AQR"	-0.905	0.002
"ARCN1"	-1.27	0.001
"ARF6"	-0.0523	0.049
"ARHGAP29"	-0.49	0.016
"ARSG"	-0.184	0.024
"ASAH2"	-0.248	0.005
"ASGR1"	-0.362	0.049
"ASGR2"	-0.336	0.009
"ATL2"	-0.15	0.026
"ATOH8"	-0.465	0
"ATP11C"	-0.849	0.029
"AURKB"	-0.836	0.001
"AVP"	-0.23	0.016
"BCL2L1"	-0.859	0.002
"BCR"	-0.595	0.009
"BDKRB1"	-0.437	0.003
"BEND6"	-0.269	0.003
"BMP2K"	-0.524	0.042
"BMP7"	-0.331	0.022
"BMPR1A"	-0.73	0.015
"BRP44"	-0.232	0.017
"BRS3"	-0.32	0.034
"BUB1"	-0.208	0.026
"BUB1B"	-0.76	0.015
"BYSL"	-0.396	0.035
"C10orf116"	-0.153	0.05
"C10orf118"	-0.491	0.01
"C10orf4"	-0.633	0.016
"C11orf60"	-0.296	0.015
"C11orf63"	-0.35	0.029
"C11orf82"	-0.36	0.015
"C12orf66"	-0.581	0.007
"C13orf16"	-0.266	0.004
"C16orf28"	-0.346	0.016
"C16orf46"	-0.139	0.037
"C16orf55"	-0.313	0.032
"C16orf75"	-0.467	0.025
"C19orf23"	-0.362	0.023
"C19orf48"	-0.196	0.042
"C1orf156"	-0.558	0.05
"C1QTNF6"	-0.314	0.031
"C20orf95"	-0.207	0.032
"C22orf28"	-0.251	0.019
"C2orf81"	-0.363	0.014
"C9orf125"	-0.361	0.037
"CA1"	-0.434	0.004
"CA2"	-0.0285	0.008
"CALB2"	-0.37	0.041
"CALHM1"	-0.444	0.015
"CAMK1D"	-0.451	0
"CAPN2"	-0.545	0.047
"CAPNS1"	-0.359	0.034
"CARD9"	-0.434	0.027
"CARM1"	-0.678	0.014
"CASKIN1"	-0.206	0.037
"CCDC83"	-0.153	0.018
"CCL22"	-0.445	0.035
"CCNG1"	-0.551	0.007
