"Gene name"	"score"	"pval"
"AAGAB"	-0.707	0.015
"ABCC6"	-0.81	0.025
"ACAT2"	-0.888	0.015
"ACO2"	-1.64	0.05
"ACOT9"	-0.522	0.022
"ACSM2B"	-0.992	0.002
"ACVR1"	-1.34	0.02
"ADAMTS20"	-0.817	0.048
"ADCYAP1R1"	-1.3	0.042
"AFAP1"	-0.428	0.032
"AFG3L2"	-0.807	0.011
"AIRE"	-0.612	0.04
"AJAP1"	-0.858	0.036
"ANAPC11"	-0.211	0.039
"ANKRA2"	-0.51	0.043
"ANKRD37"	-0.558	0.025
"ANKRD56"	-0.779	0.034
"AP1AR"	-1.42	0.017
"AP1M1"	-0.775	0.023
"AP2M1"	-0.913	0.023
"APOA4"	-0.502	0.039
"APOBEC3B"	-0.943	0.034
"APOBEC3G"	-1.09	0.025
"APOL1"	-1.16	0.037
"APOL2"	-0.859	0.05
"APP"	-0.77	0.026
"AQP11"	-0.503	0.007
"AQR"	-2.17	0.001
"ARCN1"	-2.63	0.005
"ARF4"	-0.823	0.048
"ARHGAP29"	-1.41	0.005
"ARL1"	-1.22	0.03
"ARMC1"	-1	0.008
"ARSG"	-0.167	0.041
"AS3MT"	-0.864	0.038
"ASGR2"	-0.395	0.02
"ASH2L"	-1.9	0.042
"ASRGL1"	-0.907	0.049
"ATL1"	-1.23	0.041
"ATP11A"	-0.664	0.047
"ATXN10"	-1.75	0.006
"AURKB"	-1.75	0.021
"AVPR2"	-1.36	0.041
"AZIN1"	-1	0.047
"B4GALNT4"	-0.338	0.016
"BAG5"	-0.354	0.021
"BAP1"	-1.04	0.049
"BAT5"	-0.203	0.041
"BCAS2"	-0.72	0.014
"BDKRB1"	-1.55	0.017
"BGLAP"	-0.332	0.007
"BIRC5"	-0.292	0.014
"BIRC8"	-0.69	0.036
"BMPR2"	-1.03	0.05
"BNC1"	-0.0523	0.005
"BST2"	-1.48	0.021
"BTN1A1"	-0.366	0.029
"C10orf81"	-0.822	0
"C12orf66"	-0.954	0.013
"C16orf62"	-1.03	0.011
"C19orf2"	-0.348	0.015
"C1GALT1C1"	-0.938	0.047
"C3orf39"	-0.817	0.046
"C3orf52"	-0.856	0.037
"C7orf44"	-0.722	0.015
"C8orf41"	-0.194	0.015
"C9"	-0.758	0.04
"C9orf125"	-0.989	0.012
"C9orf93"	-0.944	0.035
"CA7"	-1.5	0.017
"CACNA2D3"	-1.73	0.03
"CALHM1"	-1.35	0.047
"CALM2"	-0.831	0.021
"CAMP"	-0.805	0.033
"CAPN2"	-1.73	0.047
"CASZ1"	-0.476	0.048
"CCDC144B"	-0.715	0.033
"CCDC27"	-1.23	0.031
"CCDC71"	-1.11	0.046
"CCL25"	-1.19	0.041
"CCNB3"	-1.51	0.003
"CCR4"	-1.67	0.041
"CCT3"	-2.24	0.008
"CCT6A"	-1.6	0.047
"CCT8"	-1.87	0.015
"CD300C"	-0.601	0.021
"CD33"	-0.6	0.007
"CD99L2"	-0.902	0.015
"CDC37"	-1.29	0.038
"CDC5L"	-2.15	0.006
"CDCA7L"	-0.833	0.041
"CDK1"	-0.44	0.04
"CDK11B"	-1.65	0.002
"CDK12"	-1.43	0.042
"CDK17"	-1.43	0.02
"CDKL5"	-1.09	0.041
"CEND1"	-1.75	0.022
"CENPO"	-1.29	0.033
"CFTR"	-0.425	0.009
"CHEK1"	-1.55	0.016
"CHMP2A"	-1.6	0.022
"CHST14"	-0.603	0.024
"CLDN3"	-0.541	0.013
"CLIP1"	-1.03	0.013
"CLTC"	-1.48	0.005
"COCH"	-0.79	0.01
"COL10A1"	-0.982	0.008
"COL12A1"	-0.0208	0.046
"COL1A2"	-0.737	0.032
"COL4A1"	-0.709	0.05
"COLEC10"	-0.428	0
"COPA"	-1.49	0.049
"COPE"	-1.14	0.008
"COPS2"	-1.87	0.007
"COPS4"	-1.71	0.017
"COPS5"	-1.18	0.046
"COPS6"	-1.74	0.03
"COPZ1"	-1.54	0.025
"CORO2A"	-1.12	0.034
"COX10"	-0.275	0.03
"CPSF1"	-0.448	0.014
"CPSF6"	-0.689	0.05
"CPXM1"	-1.13	0.02
"CREBZF"	-0.462	0.021
"CRTAM"	-0.916	0.039
"CSF2"	-0.274	0.019
"CSNK1E"	-0.2	0.034
"CSNK1E"	-0.222	0.034
"CST8"	-0.787	0.042
"CTSC"	-1.13	0.041
"CUL4A"	-1.43	0.03
"CUL4B"	-0.779	0.045
"CYP21A2"	-1.27	0.025
"DBF4"	-1.01	0.024
"DCPS"	-0.548	0.009
"DCTN2"	-1.16	0.05
"DDX17"	-1.02	0.014
"DDX41"	-1.45	0.039
"DEFA3"	-0.902	0.009
"DEFA5"	-0.211	0.016
"DEFB103A"	-0.722	0.043
"DENND1B"	-0.129	0.002
"DGKZ"	-0.491	0.001
"DHX30"	-1.64	0.041
"DIP2A"	-0.988	0.014
"DMPK"	-0.475	0.012
"DNAI1"	-1.34	0.021
"DNAJA1"	-0.325	0.009
"DNM2"	-1.52	0.017
"DONSON"	-0.532	0.009
"DOPEY1"	-1.85	0.016
"DPP3"	-0.75	0.041
"DPP7"	-0.731	0.015
"DRD2"	-1.27	0.047
"DSCC1"	-1.47	0.021
"DUOXA2"	-0.849	0.031
"DUSP16"	-1.84	0.009
"DUSP7"	-1.38	0.016
"DYNLT1"	-0.839	0.05
"DYRK1A"	-0.693	0.042
"DYRK1A"	-0.145	0.042
"DYRK2"	-0.786	0
"ECM1"	-1.04	0.023
"EDNRA"	-0.703	0.024
"EEF1A1"	-0.963	0.016
"EEF2"	-1.5	0.009
"EFHB"	-0.816	0.034
"EGLN3"	-0.918	0.013
"EIF2A"	-1.83	0.042
"EIF2S2"	-1.36	0.013
"EIF3A"	-2.23	0.039
"EIF3B"	-2.05	0.008
"EIF3C"	-1.39	0.003
"EIF3D"	-1.91	0.008
"EIF3G"	-1.5	0.01
"EIF3M"	-0.822	0.037
"EIF4E3"	-1.16	0.004
"EIF5B"	-2.53	0
"EIF6"	-1.27	0.047
"ELAC1"	-0.759	0.013
"ELAC2"	-0.388	0.004
"ELK1"	-0.645	0.019
"ENG"	-0.792	0.006
"ENTPD6"	-1.17	0.04
"EP400NL"	-0.958	0.017
"EPHA2"	-0.703	0.008
"EPHA5"	-0.894	0.021
"EPX"	-0.685	0.05
"ERBB2"	-0.966	0.025
"ERCC6L"	-1.34	0.009
"ERF"	-1.11	0.038
"ESR2"	-0.288	0.034
"ETNK2"	-1.84	0.049
"EVI5"	-0.243	0.042
"EVI5L"	-0.815	0.039
"EVX1"	-1.56	0.033
"EXOC1"	-0.972	0.009
"EXOSC10"	-1.53	0.007
"F9"	-1.16	0.021
"FAM126A"	-1.44	0.029
"FAM161B"	-0.217	0.008
"FAM24B"	-1.33	0.043
"FAT1"	-1.14	0.024
"FAT2"	-0.715	0.016
"FBXO25"	-0.226	0.04
"FBXO6"	-1.08	0.029
"FFAR1"	-0.0564	0.042
"FGA"	-0.656	0.041
"FGGY"	-0.634	0.049
"FLT4"	-1.28	0.016
"FN3KRP"	-0.997	0.001
"FNDC7"	-1.37	0.035
"FPR1"	-0.724	0.023
"FRMD4A"	-1.11	0.042
"FRS3"	-1.09	0
"FTSJ3"	-1.72	0
"FUT2"	-0.627	0.041
"FZD2"	-0.974	0.046
"GABRG3"	-0.751	0.006
"GADD45B"	-1	0.05
"GALR1"	-0.867	0.036
"GAPDHL18"	-0.467	0.029
"GART"	-0.622	0.025
"GCKR"	-0.946	0.027
"GDAP1"	-0.751	0.036
"GK5"	-1.64	0.025
"GKAP1"	-0.458	0.031
"GLYCTK"	-1.61	0.037
"GMPS"	-0.532	0.048
"GNB4"	-0.101	0.03
"GNE"	-0.978	0.041
"GPR110"	-1.51	0.024
"GPR112"	-1.36	0.017
"GPR116"	-1.22	0.03
"GPR25"	-0.576	0.04
"GPR31"	-0.875	0.017
"GPR44"	-1.61	0.025
"GPT2"	-0.367	0.045
"GREB1"	-1.12	0.011
"GREM1"	-1.61	0.037
"GRIN2D"	-1.15	0.017
"GSK3B"	-0.976	0.016
"GTF3C3"	-0.567	0.008
"H2AFJ"	-0.204	0.014
"H2AFX"	-0.476	0.043
"HCN4"	-0.474	0.016
"HEATR3"	-1.15	0.016
"HEBP1"	-0.32	0.033
"HEPACAM2"	-0.696	0.041
"HGF"	-1.74	0.01
"HIATL2"	-1	0.026
"HIPK2"	-1.25	0.04
"HIST1H2AK"	-0.717	0.032
"HIST2H2AC"	-0.985	0.05
"HLA-C"	-0.854	0.023
"HLA-DPB1"	-0.428	0.05
"HLA-G"	-0.78	0.05
"HNRNPC"	-2.21	0.036
"HOMEZ"	-0.94	0.003
"HP"	-1.37	0.05
"HSD3B2"	-0.738	0.03
"HSF1"	-1.05	0.049
"HSPE1"	-0.743	0.026
"HSPG2"	-1.25	0.004
"HTR3B"	-1.23	0.025
"HTR6"	-0.298	0.016
"HYAL3"	-0.253	0.039
"ICK"	-1.82	0.027
"IGFBP2"	-1.75	0.034
"IL10RB"	-0.948	0.023
"IL12RB1"	-0.445	0.025
"IL28A"	-0.601	0.032
"INSR"	-0.947	0.005
"INVS"	-0.763	0.026
"IPO7"	-1.14	0.01
"IRS4"	-1.54	0.025
"ISCA1"	-1.28	0.016
"ISCU"	-1.22	0.024
"ISG20"	-2.06	0.025
"ISM2"	-0.88	0.014
"ITGA3"	-0.224	0.021
"JMJD6"	-0.552	0.016
"JUP"	-0.375	0.043
"KARS"	-1.78	0.001
"KCNC3"	-1.23	0.034
"KCNE4"	-0.163	0.025
"KCNN3"	-1.38	0.016
"KCTD1"	-0.134	0.022
"KCTD12"	-1.2	0.029
"KCTD6"	-1.08	0.034
"KDM5B"	-0.758	0.035
"KHK"	-0.786	0.045
"KIAA0586"	-0.371	0.025
"KIAA1407"	-0.337	0.043
"KIF15"	-0.487	0.034
"KIF19"	-0.593	0.04
"KIF20B"	-0.852	0.042
"KIF5A"	-1.17	0.018
"KIR3DL2"	-1.98	0.008
"KISS1"	-0.734	0.024
"KLF5"	-0.95	0.025
"KLHL14"	-1.07	0.034
"KNG1"	-0.707	0.038
"KPNA5"	-0.241	0.004
"KPNA6"	-0.346	0.035
"KPNB1"	-2.2	0.002
"KRR1"	-0.961	0.044
"KRT8P11"	-0.947	0.003
"KRTAP13-1"	-1.21	0.022
"LETM1"	-1.14	0.047
"LGR6"	-1.45	0
"LHX9"	-0.426	0.049
"LINS1"	-0.971	0.024
"LIPC"	-0.857	0.048
"LIPH"	-0.795	0.034
"LONRF3"	-0.582	0.032
"LRRC29"	-0.444	0.003
"LSM7"	-1.17	0.05
"LY96"	-1.15	0.017
"LYRM2"	-0.572	0.007
"MAGEC3"	-1	0.036
"MAP2K1"	-1.46	0.017
"MAP3K3"	-0.379	0.003
"MAP3K5"	-1.09	0
"MAP3K9"	-1.25	0.014
"MAPK3"	-1.32	0.05
"MARK1"	-0.443	0.041
"MASTL"	-0.867	0.035
"MBD6"	-0.269	0.039
"MBL2"	-1.53	0.005
"MCEE"	-0.396	0.012
"MCL1"	-0.107	0.049
"MCM2"	-1.5	0.026
"MCM3"	-1.19	0.002
"MDC1"	-0.471	0.041
"MDN1"	-1.66	0.05
"ME3"	-1.38	0.029
"MED14"	-2.01	0.022
"MED22"	-0.519	0.046
"MED30"	-1.66	0.037
"MEN1"	-0.452	0.02
"METTL13"	-0.736	0.012
"METTL2A"	-0.637	0.041
"MGAT4C"	-0.89	0.005
"MGAT5B"	-0.769	0.009
"MLNR"	-0.358	0.005
"MOBKL2A"	-0.55	0.031
"MOBKL2B"	-1.13	0.034
"MOBKL2C"	-1.06	0.023
"MOGAT1"	-1.15	0.03
"MPP2"	-1.7	0.037
"MPPED1"	-1.88	0.023
"MRPL21"	-0.821	0.014
"MRPL37"	-1.28	0.035
"MRPS31"	-1.09	0.004
