"Gene name"	"score"	"pval"
"AATK"	-0.094	0.011
"ABCC6"	-0.496	0.05
"ACBD3"	-0.362	0.04
"ACO2"	-0.432	0.007
"ACTL7A"	-0.304	0.029
"ADAMTS6"	-0.252	0.05
"ADCYAP1"	-0.558	0.001
"ADCYAP1R1"	-0.345	0.049
"AFG3L2"	-0.204	0.032
"AGRN"	-0.274	0.024
"AJAP1"	-0.292	0.035
"AKAP7"	-0.521	0.045
"ALDH5A1"	-0.454	0.006
"ALG10B"	-0.5	0.007
"ALOX12B"	-0.316	0.031
"ANKRD20A2"	-0.318	0.013
"ANKRD28"	-0.171	0.046
"ANKS6"	-0.226	0.046
"ANTXR1"	-0.433	0.039
"AP1M1"	-0.31	0.026
"AQR"	-0.686	0.002
"ARAF"	-0.174	0.037
"ARFGEF2"	-0.298	0.029
"ARFIP1"	-0.151	0.047
"ARHGAP20"	-0.209	0.043
"ARHGAP29"	-0.349	0.03
"ARIH1"	-0.541	0.037
"ARNT"	-0.183	0.043
"ART5"	-0.131	0.03
"ATL1"	-0.459	0.036
"ATP11B"	-0.535	0.013
"ATP2C2"	-0.253	0.021
"ATP9A"	-0.374	0.039
"ATXN10"	-0.472	0.028
"ATXN3"	-0.181	0.031
"AZI1"	-0.39	0.043
"B3GNT7"	-0.308	0.013
"B4GALNT2"	-0.363	0.044
"BAT1"	-0.233	0.033
"BCAT2"	-0.175	0.031
"BCL2"	-0.329	0.012
"BCL2L1"	-0.387	0.017
"BICD2"	-0.457	0.009
"BIRC5"	-0.216	0.03
"BUD31"	-0.195	0.011
"C10orf118"	-0.283	0.035
"C10orf76"	-0.363	0.03
"C10orf81"	-0.0289	0.036
"C11orf75"	-0.37	0.041
"C12orf66"	-0.665	0.003
"C13orf16"	-0.282	0.027
"C14orf162"	-0.0804	0.036
"C14orf2"	-0.493	0.018
"C16orf62"	-0.525	0.035
"C16orf72"	-0.448	0.005
"C16orf87"	-0.588	0.01
"C17orf48"	-0.458	0.045
"C17orf80"	-0.329	0.05
"C18orf34"	-0.302	0.039
"C19orf10"	-0.352	0.009
"C19orf2"	-0.117	0.03
"C1orf125"	-0.295	0.021
"C1orf126"	-0.382	0.001
"C1orf14"	-0.38	0.046
"C1QBP"	-0.46	0.05
"C1QC"	-0.274	0.029
"C22orf27"	-0.602	0.04
"C22orf29"	-0.551	0.04
"C22orf32"	-0.436	0.023
"C2orf81"	-0.355	0.034
"C3orf1"	-0.468	0.018
"C3orf21"	-0.318	0.021
"C3orf24"	-0.304	0.024
"C3orf39"	-0.557	0.01
"C6orf136"	-0.175	0.012
"C8orf46"	-0.383	0.002
"C9orf30"	-0.357	0.004
"C9orf93"	-0.295	0.01
"CA7"	-0.588	0.009
"CACNA2D3"	-0.62	0.014
"CALB2"	-0.415	0.046
"CALM2"	-0.5	0.039
"CAPG"	-0.174	0.028
"CAPN11"	-0.307	0.042
"CAPN2"	-0.345	0.037
"CASC5"	-0.386	0.035
"CASR"	-0.227	0.015
"CATSPER2"	-0.377	0.045
"CAV3"	-0.324	0.039
"CCL19"	-0.0903	0.037
"CCNB3"	-0.689	0
"CCNF"	-0.27	0.026
"CCR1"	-0.0331	0.027
"CCRL2"	-0.4	0.038
"CCRN4L"	-0.221	0.026
"CCT3"	-0.508	0
"CCT6A"	-0.351	0.007
"CCT7"	-0.634	0
"CCT8"	-0.399	0.004
"CD164L2"	-0.264	0.029
"CD36"	-0.177	0.035
"CD3D"	-0.332	0.014
"CD70"	-0.31	0.044
"CD79B"	-0.487	0.021
"CD84"	-0.333	0.031
"CDA"	-0.356	0.003
"CDC23"	-0.524	0.018
"CDC40"	-0.446	0.003
"CDC5L"	-0.5	0.031
"CDK1"	-0.392	0.036
"CDK11B"	-0.681	0
"CDK2AP2"	-0.178	0.047
"CDK6"	-0.332	0.031
"CEACAM21"	-0.43	0.049
"CEACAM4"	-0.369	0.001
"CEND1"	-0.635	0.023
"CENPC1"	-0.349	0.045
"CEP192"	-0.356	0.039
"CEP63"	-0.485	0.028
"CHD2"	-0.508	0.004
"CHD4"	-0.548	0.001
"CHEK1"	-0.669	0.009
"CHMP2A"	-0.254	0.002
"CKAP5"	-0.0845	0.012
"CLDN6"	-0.368	0.016
"CLEC12A"	-0.394	0.006
"CLEC2D"	-0.381	0.029
"CLEC5A"	-0.298	0.013
"CLTC"	-0.277	0
"CLUL1"	-0.416	0.027
"CMTM3"	-0.48	0.043
"CNGA1"	-0.474	0.009
"CNKSR1"	-0.268	0.041
"CNN2"	-0.412	0.004
"CNTN2"	-0.231	0.048
"COCH"	-0.349	0.039
"COG2"	-0.268	0.04
"COL11A2"	-0.179	0.046
"COL25A1"	-0.445	0.021
"COL29A1"	-0.38	0.004
"COL8A1"	-0.479	0.029
"COMP"	-0.2	0.036
"COPB1"	-0.474	0
"COPS2"	-0.36	0.01
"COPS3"	-0.201	0.009
"COPS4"	-0.408	0.011
"COPS5"	-0.247	0.032
"COPS6"	-0.295	0.014
"COPS8"	-0.401	0.026
"COPZ1"	-0.271	0.004
"CORO2A"	-0.381	0.035
"CPSF1"	-0.608	0.025
"CPSF2"	-0.549	0.034
"CPSF3"	-0.417	0.029
"CPXCR1"	-0.193	0.033
"CRYBB1"	-0.296	0.036
"CUX1"	-0.187	0.04
"CX3CR1"	-0.215	0.027
"CXADR"	-0.532	0.037
"CXCR2"	-0.441	0
"CYB5R3"	-0.0795	0.012
"CYorf15A"	-0.48	0.027
"CYP1A2"	-0.538	0.021
"CYP21A2"	-0.275	0.036
"CYP2F1"	-0.499	0.013
"CYTH2"	-0.318	0.026
"DAPK1"	-0.443	0.031
"DBF4"	-0.454	0.03
"DBF4B"	-0.179	0.016
"DCAF17"	-0.469	0.032
"DCXR"	-0.341	0.044
"DDHD2"	-0.214	0.015
"DDR1"	-0.658	0.03
"DDR2"	-0.602	0.019
"DDX49"	-0.574	0.032
"DDX51"	-0.482	0.046
"DEFA4"	-0.431	0.05
"DEGS2"	-0.395	0.048
"DHX30"	-0.143	0.034
"DIS3"	-0.365	0.017
"DKK3"	-0.598	0.032
"DLG2"	-0.415	0.015
"DNAJB2"	-0.139	0.031
"DNAJB6"	-0.486	0.006
"DNAJC1"	-0.474	0
"DNM2"	-0.586	0.003
"DNTTIP2"	-0.313	0.049
"DONSON"	-0.385	0.036
"DPRX"	-0.455	0.023
"DSC2"	-0.43	0.03
"DSCR9"	-0.266	0.024
"DULLARD"	-0.192	0.031
"DUSP16"	-0.363	0.037
"DUT"	-0.292	0.029
"DYNC1I2"	-0.473	0.023
"DYNLL2"	-0.363	0.026
"DYNLRB1"	-0.414	0.032
"E2F5"	-0.366	0.05
"ECT2"	-0.338	0.001
"EDA"	-0.297	0.032
"EDN1"	-0.357	0.028
"EEF1DP3"	-0.369	0.04
"EEF2"	-0.422	0.024
"EFNB3"	-0.61	0.014
"EGFLAM"	-0.33	0.033
"EGFR"	-0.521	0.042
"EIF1AX"	-0.477	0.033
"EIF2S2"	-0.472	0.05
"EIF3A"	-0.491	0
"EIF3B"	-0.574	0
"EIF3C"	-0.539	0.039
"EIF3D"	-0.541	0
"EIF3F"	-0.189	0.013
"EIF3FP3"	-0.269	0.006
"EIF3G"	-0.522	0.003
"EIF3H"	-0.495	0.013
"EIF3I"	-0.51	0.025
"EIF3M"	-0.251	0.007
"EIF4EBP1"	-0.286	0.032
"EIF5B"	-0.636	0
"ELAC2"	-0.173	0.05
"ELAVL1"	-0.362	0.004
"EML4"	-0.241	0.047
"ENG"	-0.226	0.043
"ENOPH1"	-0.385	0.013
"EPC2"	-0.405	0.05
"EPHB4"	-0.62	0.036
"ERBB4"	-0.277	0.024
"ERCC6L"	-0.494	0.037
"ERH"	-0.469	0.034
"ETS2"	-0.374	0.049
"EXOSC2"	-0.682	0.045
"EXOSC9"	-0.484	0.041
"FABP3"	-0.353	0
"FADD"	-0.34	0.016
"FAM126A"	-0.586	0.007
"FAM129B"	-0.163	0.007
"FAM164C"	-0.61	0
"FAM179B"	-0.256	0.035
"FAM181A"	-0.334	0.035
"FAM24B"	-0.56	0.05
"FAM50B"	-0.604	0.048
"FAM59A"	-0.303	0.031
"FASLG"	-0.314	0.034
"FBXO8"	-0.383	0.049
"FCRL2"	-0.405	0.047
"FER"	-0.119	0.018
"FERMT1"	-0.295	0
"FNDC7"	-0.652	0.004
"FOXA3"	-0.276	0.041
"FOXL1"	-0.414	0.009
"FOXN4"	-0.367	0.047
"FTCD"	-0.331	0.046
"FUBP1"	-0.276	0.026
"FUT9"	-0.441	0.002
"GABBR2"	-0.35	0.027
"GADD45B"	-0.36	0.05
"GAPDHL18"	-0.397	0.041
"GAR1"	-0.373	0.041
"GDPD1"	-0.383	0.01
"GDPD2"	-0.303	0.045
"GEMIN5"	-0.463	0.043
"GJA10"	-0.559	0.011
"GKN1"	-0.345	0.013
"GLYCTK"	-0.217	0.011
"GMEB2"	-0.41	0.035
"GMFG"	-0.382	0.041
"GNL3"	-0.591	0.01
"GPA33"	-0.463	0.03
"GPBAR1"	-0.302	0.04
"GPC3"	-0.315	0.013
"GPC6"	-0.337	0.042
"GPR101"	-0.301	0.015
"GPR110"	-0.397	0.03
"GPR112"	-0.525	0.041
"GPR132"	-0.0384	0.015
"GPR162"	-0.189	0.018
"GPR31"	-0.414	0.03
"GPR44"	-0.497	0.03
"GREM1"	-0.673	0
"GRIK1"	-0.248	0.05
"GRM5"	-0.322	0.013
"GRPEL2"	-0.262	0.034
"GSK3B"	-0.248	0.027
"GTF2B"	-0.263	0.022
"GZMA"	-0.255	0.026
"HAL"	-0.547	0.012
"HAUS2"	-0.26	0.004
"HAUS6"	-0.2	0.025
"HDAC3"	-0.452	0.003
"HEATR1"	-0.194	0.016
"HEATR5B"	-0.101	0.046
"HGF"	-0.327	0.011
"HIATL2"	-0.472	0.03
"HINT3"	-0.5	0.027
"HIST1H1B"	-0.212	0.035
"HIST1H2BN"	-0.253	0.007
"HLA-DQB2"	-0.462	0.04
"HNF4A"	-0.316	0.029
"HNRNPC"	-0.689	0.037
"HNRNPK"	-0.133	0.012
"HNRNPM"	-0.324	0.031
"HOXC10"	-0.201	0.033
"HOXC9"	-0.148	0.047
"HPD"	-0.402	0.041
"HS3ST4"	-0.261	0.009
"HSF1"	-0.309	0.001
"HSFY2"	-0.504	0.004
"HSN2"	-0.323	0.039
"HSPE1"	-0.246	0.023
"HSPG2"	-0.619	0.004
"HTR2B"	-0.471	0.049
"HUS1"	-0.293	0.01
"HYAL2"	-0.455	0.028
"IFIT1L"	-0.391	0.005
"IGFBP2"	-0.531	0.007
"IGFBPL1"	-0.368	0.009
"IGSF10"	-0.369	0.021
"IL10"	-0.194	0.039
"IL2"	-0.216	0.03
"IL28A"	-0.461	0.006
"INHA"	-0.332	0.038
"INMT"	-0.108	0.009
"INO80B"	-0.264	0.046
"INSR"	-0.438	0.001
"INTS10"	-0.294	0.02
"INTS4"	-0.282	0.03
"INTS7"	-0.244	0.016
"INTS9"	-0.505	0.002
"IRS4"	-0.37	0.002
"ISG20"	-0.656	0.024
"ISX"	-0.589	0.037
"ISY1"	-0.248	0.003
"ITGA2"	-0.923	0.007
"ITGAV"	-0.574	0.036
"IVL"	-0.504	0.007
"JAG2"	-0.21	0.038
"KARS"	-0.595	0
"KATNB1"	-0.0275	0.037
"KCNJ15"	-0.365	0.031
"KCNJ8"	-0.316	0.048
"KCNK5"	-0.31	0.007
"KCNN3"	-0.426	0
"KDM5D"	-0.316	0.047
"KIAA0101"	-0.509	0.013
"KIAA1267"	-0.281	0.047
"KLHL14"	-0.469	0.041
"KLHL28"	-0.496	0.019
"KLHL31"	-0.51	0.024
"KLK11"	-0.302	0.041
"KNG1"	-0.4	0.032
"KPNA5"	-0.361	0.021
"KPNB1"	-0.624	0.002
"KRAS"	-0.491	0.026
"KRAS"	-0.435	0.026
"KRT24"	-0.54	0.017
"KRT27"	-0.167	0.027
"KRT33B"	-0.197	0.003
"KRT4"	-0.289	0.016
"KRT74"	-0.388	0.028
"KRTAP4-7"	-0.395	0.05
"L3MBTL"	-0.699	0.012
"LAIR1"	-0.364	0.046
"LARS"	-0.421	0.026
"LCN12"	-0.127	0.045
"LEPR"	-0.617	0.015
"LETM1"	-0.424	0.001
"LILRB2"	-0.273	0
"LILRB4"	-0.151	0.006
"LLGL2"	-0.309	0.016
"LMBR1L"	-0.206	0.03
"LRP5"	-0.329	0.046
"LRRC25"	-0.24	0.003
"LRRC37A"	-0.362	0.043
"LRRC59"	-0.333	0.037
"LRRC8D"	-0.387	0.006
"LRRN3"	-0.275	0.019
"LSM3"	-0.353	0
"LSM5"	-0.357	0.007
"LTA4H"	-0.309	0.029
"LTBP2"	-0.3	0.007
"LTK"	-0.504	0.037
"MAGEA4"	-0.226	0.04
"MAGOH"	-0.0263	0
"MAK16"	-0.364	0.043
"MAMDC2"	-0.279	0.021
"MAP3K5"	-0.371	0.009
"MAP4K2"	-0.272	0.042
"MAPK8"	-0.454	0.016
"MAPK8IP3"	-0.3	0.039
"MARK1"	-0.38	0.046
"MCM4"	-0.477	0.029
"MDC1"	-0.102	0.042
"MDGA2"	-0.285	0.047
"MDN1"	-0.574	0.007
"MED1"	-0.267	0.02
"MED14"	-0.224	0.005
"MED22"	-0.439	0.021
"MED28"	-0.285	0.016
"MED30"	-0.563	0.024
"MED7"	-0.287	0.004
"MED8"	-0.112	0.037
"METTL13"	-0.407	0.012
"MFAP1"	-0.405	0.032
"MFSD2A"	-0.426	0.027
