"Gene name"	"score"	"pval"
"A1CF"	-0.257	0.028
"ABCE1"	-0.327	0.004
"ABI2"	-0.151	0.014
"ACAT2"	-0.226	0.034
"ACBD5"	-0.203	0.048
"ACOT11"	-0.132	0.035
"ACTR10"	-0.0849	0.05
"ACTR3"	-0.0489	0.016
"ADAM33"	-0.225	0.04
"ADCY3"	-0.168	0.028
"ADCYAP1R1"	-0.147	0.033
"ADD2"	-0.153	0.036
"AGL"	-0.284	0.004
"AKAP6"	-0.0306	0.008
"ALG10B"	-0.259	0.036
"ALG1L"	-0.125	0.025
"ALOX5AP"	-0.146	0.013
"ALS2CL"	-0.2	0.003
"ANAPC4"	-0.613	0.015
"ANKRA2"	-0.137	0.005
"ANKRD20A2"	-0.156	0.004
"AP1AR"	-0.251	0.001
"APOBEC3B"	-0.253	0.004
"APOBEC3F"	-0.174	0.04
"APPL1"	-0.206	0.024
"AQP11"	-0.0361	0.035
"AQR"	-0.559	0
"ARCN1"	-0.531	0
"ARID4B"	-0.00522	0.011
"ARL9"	-0.0422	0
"ARMC1"	-0.146	0.04
"ATP11C"	-0.183	0.037
"ATP5C1"	-0.0737	0.05
"AVPR2"	-0.12	0.05
"B3GALNT2"	-0.107	0.048
"BAI2"	-0.209	0.041
"BCAS2"	-0.264	0.02
"BCCIP"	-0.117	0.031
"BCL2L1"	-0.123	0.001
"BCL6"	-0.0933	0.013
"BCR"	-0.155	0.027
"BDKRB1"	-0.217	0.009
"BMP7"	-0.0617	0.026
"BMPR1A"	-0.316	0.045
"BRMS1"	-0.061	0.031
"BRP44L"	-0.115	0.046
"BRUNOL4"	-0.235	0.023
"BTLA"	-0.124	0.02
"BUB1B"	-0.49	0.008
"C10orf113"	-0.0507	0.03
"C11orf40"	-0.223	0.014
"C12orf40"	-0.163	0.043
"C12orf64"	-0.0903	0.027
"C12orf66"	-0.261	0.02
"C14orf148"	-0.244	0.037
"C16orf89"	-0.048	0.037
"C19orf10"	-0.201	0.045
"C19orf18"	-0.271	0.01
"C19orf43"	-0.171	0.035
