"Gene name"	"score"	"pval"
"ABCC6"	-0.232	0.021
"ABCE1"	-0.404	0.017
"ABCF1"	-0.192	0.032
"ABP1"	-0.152	0.027
"ACTG1"	-0.144	0.049
"ACTL6B"	-0.194	0.042
"ACTR2"	-0.107	0.04
"ACTR5"	-0.195	0.046
"ADAM21"	-0.385	0.013
"ADARB1"	-0.204	0.036
"ADCK4"	-0.204	0.012
"ADCY4"	-0.131	0.05
"ADH5"	-0.0698	0.034
"ADI1"	-0.131	0.039
"AGL"	-0.247	0.049
"AHCYL1"	-0.175	0.05
"AIDA"	-0.197	0.035
"AK3"	-0.154	0.007
"ALG10B"	-0.324	0.029
"ALG13"	-0.0905	0.015
"AMN"	-0.147	0.003
"AMPH"	-0.16	0.021
"ANAPC11"	-0.189	0.048
"ANAPC4"	-0.495	0.004
"ANKRA2"	-0.228	0.035
"ANTXR1"	-0.12	0.03
"APOBEC3B"	-0.143	0.042
"APOBEC3F"	-0.239	0.028
"APOL1"	-0.177	0.036
"APOL2"	-0.317	0.033
"AQR"	-0.521	0
"ARCN1"	-0.446	0.004
"ARF4"	-0.367	0.004
"ARIH1"	-0.202	0.044
"ARMC1"	-0.166	0.01
"ARV1"	-0.124	0.029
"ATIC"	-0.319	0.027
"ATOH8"	-0.21	0.015
"ATP11B"	-0.158	0.035
"ATP1A1"	-0.192	0.042
"ATP6V0D1"	-0.125	0.017
"ATP7B"	-0.146	0.042
"ATXN7L1"	-0.0524	0.047
"AURKB"	-0.334	0.031
"B3GALNT2"	-0.256	0.05
"BAT1"	-0.25	0.01
"BBS7"	-0.178	0
"BCL2L1"	-0.0928	0
"BMPR1A"	-0.191	0.009
"BRIX1"	-0.25	0.024
"BRMS1"	-0.116	0.018
"BRSK1"	-0.123	0.037
"BRUNOL4"	-0.184	0.036
"BST2"	-0.231	0.018
"BTBD16"	-0.19	0.047
"BUB1B"	-0.446	0.049
"C10orf113"	-0.315	0.02
"C12orf66"	-0.252	0.025
"C19orf2"	-0.185	0.004
"C19orf23"	-0.251	0.01
"C1QB"	-0.0784	0.042
"C1QBP"	-0.217	0.038
"C22orf27"	-0.31	0.043
"C22orf29"	-0.373	0.016
"C4orf33"	-0.185	0.018
"C6orf167"	-0.162	0.031
"CA7"	-0.263	0.003
"CACNA1A"	-0.176	0.024
"CACNA1B"	-0.196	0.042
"CACNA2D3"	-0.248	0.028
"CALB2"	-0.162	0.01
"CALCRL"	-0.241	0.024
"CALM2"	-0.165	0.032
"CALY"	-0.116	0.045
"CAMP"	-0.314	0.014
"CAPN11"	-0.0772	0.05
"CAPZB"	-0.155	0.046
"CARD16"	-0.118	0.046
"CARS2"	-0.501	0.022
"CAV3"	-0.311	0.04
"CCDC108"	-0.319	0.027
"CCDC112"	-0.0934	0.013
"CCDC144B"	-0.133	0.026
"CCDC21"	-0.236	0.001
"CCDC51"	-0.293	0.016
"CCDC71"	-0.18	0.021
"CCDC99"	-0.18	0.036
"CCNB3"	-0.416	0
"CCNDBP1"	-0.0926	0.004
"CCNG1"	-0.227	0.001
"CCNT1"	-0.206	0.04
"CCR6"	-0.0589	0.04
"CCT3"	-0.542	0.006
"CCT4"	-0.369	0.024
"CCT5"	-0.195	0.021
"CCT6A"	-0.479	0.042
"CCT7"	-0.476	0.01
"CCT8"	-0.45	0.011
"CD160"	-0.0894	0.041
"CD1A"	-0.122	0.02
"CD200"	-0.126	0.039
"CD209"	-0.164	0.047
"CD59"	-0.187	0.038
