"Gene name"	"score"	"pval"
"AANAT"	-0.311	0.026
"ABCC13"	-0.62	0.015
"ABCC2"	-0.778	0.022
"ABCC6"	-0.548	0.041
"ABCF1"	-0.352	0.024
"ABHD3"	-0.45	0.021
"ACAT1"	-0.948	0.017
"ACSM2B"	-0.307	0.022
"ACTR1A"	-0.336	0.011
"ACTRT2"	-0.667	0.028
"ADAM21"	-1.12	0.007
"ADAM33"	-0.37	0.028
"ADAMTS3"	-0.522	0.03
"ADC"	-0.349	0.006
"ADCK4"	-0.83	0.049
"ADCY1"	-0.414	0.042
"ADCY3"	-0.632	0.027
"ADCY9"	-0.287	0.038
"ADD1"	-0.327	0.038
"ADI1"	-0.858	0.009
"AEBP1"	-0.755	0.007
"AFG3L2"	-0.649	0.013
"AGL"	-0.648	0.03
"AHR"	-0.434	0.025
"AKAP3"	-0.479	0.045
"ALG6"	-0.386	0.045
"ALOX12B"	-0.846	0.028
"AMD1"	-0.385	0.043
"ANAPC4"	-1.16	0.007
"ANAPC5"	-0.757	0.017
"ANKRA2"	-0.49	0.031
"ANKRD20A3"	-0.429	0.039
"AOC3"	-0.474	0.041
"AP1AR"	-0.517	0.002
"AP1M2"	-0.433	0.048
"APBB1"	-0.651	0.038
"APOBEC3B"	-0.79	0.001
"APOBEC3D"	-0.235	0.032
"APPL1"	-0.672	0.037
"AQP11"	-0.376	0.025
"AQP12A"	-0.636	0.05
"AQR"	-0.938	0.006
"ARCN1"	-1.2	0
"ARF3"	-0.245	0.039
"ARG1"	-0.665	0.038
"ARHGAP27"	-0.457	0.043
"ARHGEF1"	-0.204	0.019
"ARL1"	-0.472	0.012
"ARNT"	-0.47	0.034
"ASTL"	-0.559	0.017
"ATP11B"	-0.654	0.015
"ATP5S"	-0.711	0.041
"AURKB"	-0.851	0.006
"AXL"	-0.654	0.035
"AXL"	-0.654	0.035
"AXL"	-0.654	0.035
"AXL"	-0.654	0.035
"AZI1"	-0.277	0.036
"B3GALNT2"	-0.487	0.001
"B4GALT4"	-0.411	0.037
"BAT1"	-0.781	0.021
"BCL9L"	-0.859	0.024
"BCR"	-0.673	0.038
"BDKRB1"	-0.813	0.006
"BMP7"	-0.625	0.021
"BMPR1A"	-0.607	0.002
"BRF1"	-0.502	0.034
"BTC"	-0.654	0.03
"BUB1B"	-0.759	0.009
"BYSL"	-0.787	0.001
"C10orf4"	-0.564	0.046
"C11orf64"	-0.638	0.033
"C12orf40"	-0.361	0.044
"C12orf66"	-0.516	0.012
"C14orf143"	-0.623	0.032
"C16orf62"	-0.51	0.023
"C16orf72"	-0.88	0.026
"C19orf10"	-0.8	0.042
"C1QB"	-0.541	0.028
"C2"	-0.249	0.024
"C22orf32"	-0.813	0.02
"C2orf73"	-0.458	0.017
"C3orf32"	-0.657	0.031
"C3orf39"	-0.782	0.042
"C4orf33"	-0.593	0.026
"C6orf136"	-0.578	0.038
"C6orf174"	-0.593	0.027
"C8orf46"	-0.44	0.049
"CALHM3"	-0.741	0.011
"CALM1"	-0.465	0.016
"CAPN2"	-0.904	0.001
"CAPNS1"	-0.438	0.048
"CARD11"	-0.347	0.027
"CARM1"	-0.512	0.035
"CASP8AP2"	-0.284	0.021
"CCDC108"	-0.674	0.013
"CCDC112"	-0.563	0.018
"CCDC62"	-0.399	0.021
"CCDC93"	-0.858	0.028
"CCDC99"	-0.463	0.032
"CCL25"	-0.93	0.022
"CCNB3"	-1.1	0.01
"CCNG1"	-0.983	0.007
"CCNT2"	-0.251	0.043
"CCT3"	-1.02	0.007
"CCT4"	-0.676	0.038
"CCT8"	-0.908	0.001
"CD151"	-0.455	0.035
"CD38"	-0.414	0.033
"CD99"	-0.243	0.005
"CDC37"	-1.22	0.028
"CDC40"	-0.874	0.002
"CDC45L"	-0.563	0.002
"CDC5L"	-0.991	0.012
"CDCA5"	-0.358	0.007
"CDCA7L"	-0.331	0.02
"CDH3"	-0.357	0.018
"CDK11B"	-1.27	0.001
"CDK12"	-0.856	0.017
"CDON"	-0.292	0.036
"CDR2"	-1.11	0.002
"CDRT4"	-0.615	0.048
"CEACAM4"	-0.437	0.05
"CENPO"	-0.914	0.021
"CENPV"	-0.387	0.014
"CEP110"	-0.602	0.036
"CEP192"	-0.704	0.021
"CEP55"	-0.529	0.012
"CERK"	-0.398	0.02
"CETN3"	-0.222	0.038
"CHEK1"	-0.896	0.049
"CHPF2"	-0.433	0.037
"CHRM1"	-0.765	0.003
"CHST7"	-0.436	0.026
"CKMT1B"	-0.372	0.041
"CLDN8"	-0.666	0.025
"CLINT1"	-0.141	0.038
"CLK1"	-0.487	0.038
"CLUL1"	-0.694	0.038
"CNTF"	-0.425	0.047
"CNTLN"	-0.757	0.009
"COCH"	-0.409	0.011
"COL8A1"	-0.612	0.017
"COPB1"	-0.985	0.005
"COPG2"	-0.564	0.037
"CORO2A"	-0.781	0.018
"CORO6"	-0.74	0.023
"CPNE1"	-0.634	0.014
"CPPED1"	-0.583	0.015
"CPSF1"	-0.815	0.001
"CPT1C"	-0.507	0.038
"CPVL"	-0.711	0.03
"CPXCR1"	-0.619	0.034
"CRKL"	-0.613	0.029
"CSNK1E"	-0.795	0.005
"CSNK1E"	-0.403	0.005
"CUX2"	-0.56	0.024
"CWC15"	-0.567	0.035
"CWC22"	-0.841	0.012
"CXADR"	-0.44	0.047
"CYorf15A"	-1.04	0.042
"CYP11A1"	-0.487	0.031
"CYP2C18"	-0.641	0.041
"CYP4V2"	-0.33	0.048
"CYTL1"	-0.389	0.036
"DAD1"	-0.556	0.022
"DAPK1"	-0.615	0.048
"DBF4"	-0.437	0.004
"DDR1"	-1.06	0.016
"DDR2"	-0.67	0.028
"DDX17"	-0.618	0.03
"DDX18"	-0.869	0.013
"DDX21"	-1.05	0.039
"DDX41"	-0.718	0.022
"DDX49"	-0.902	0.01
"DDX54"	-0.519	0.015
"DEFA3"	-0.726	0.024
"DHX30"	-0.668	0.018
"DKK3"	-0.399	0.026
"DLG2"	-0.548	0.011
"DMPK"	-0.822	0.038
"DNAJA1"	-0.445	0.012
"DNAJB6"	-0.525	0.015
"DNAJC12"	-0.386	0.011
"DNAJC21"	-0.795	0.042
"DNASE1L3"	-0.451	0.021
"DOK1"	-0.381	0.042
"DRD2"	-0.327	0.038
"DSC2"	-0.398	0.02
"DSCR9"	-0.638	0.041
"DUSP22"	-0.395	0.017
"DUSP7"	-0.744	0.021
"DYNC1H1"	-0.612	0.017
"DYNLRB1"	-0.546	0.03
"DYNLT3"	-0.563	0.03
"E2F5"	-0.587	0.03
"ECM1"	-0.761	0.006
"EDN1"	-0.471	0.037
"EEF2"	-0.816	0.007
"EFNB3"	-0.934	0.012
"EFTUD2"	-1.3	0.006
"EIF1AX"	-0.832	0.037
"EIF2AK2"	-0.599	0.035
"EIF2B3"	-0.623	0.032
"EIF3A"	-1.33	0.022
"EIF3B"	-1.08	0.002
"EIF3C"	-0.824	0.012
"EIF3D"	-0.848	0.015
"EIF3I"	-0.761	0.011
"EIF4E"	-0.598	0.047
"EIF4EBP1"	-0.359	0.045
"EIF5B"	-1.14	0.001
"EMB"	-0.341	0.038
"EML4"	-0.396	0.044
"ENO1"	-0.228	0.032
"EPC2"	-0.581	0.041
"EPHA6"	-0.444	0.027
"EPHA6"	-0.49	0.027
"EPS8"	-0.768	0
"ERBB2IP"	-0.941	0.05
"ERCC6L"	-0.925	0.011
"ERF"	-0.54	0.013
"ERH"	-0.855	0.047
"ESPL1"	-0.617	0.013
"ESPN"	-0.888	0.003
"ETHE1"	-0.597	0.043
"ETNK2"	-0.857	0.027
"EVX1"	-0.679	0.006
"EXOSC10"	-0.856	0.038
"EXOSC2"	-0.785	0.032
"EXOSC9"	-0.616	0.018
"FAM120A"	-0.242	0.018
"FAM126A"	-0.772	0.05
"FAM134C"	-0.433	0.024
"FAM13B"	-0.439	0.018
"FAM3B"	-0.42	0.011
"FAM76B"	-0.361	0.034
"FANCG"	-0.578	0.028
"FBXL7"	-0.452	0.022
"FBXO22"	-0.664	0.038
"FBXO31"	-0.193	0.038
"FBXO39"	-0.614	0.027
"FBXO9"	-0.423	0.044
"FCRL3"	-0.568	0.036
"FER"	-0.523	0.021
"FGF2"	-0.203	0.022
"FGF8"	-0.458	0.038
"FICD"	-0.429	0.049
"FKBP3"	-0.308	0.03
"FLT4"	-0.641	0.015
"FMNL2"	-0.669	0.007
"FNDC5"	-0.516	0.05
"FRAS1"	-0.331	0.046
"FRMD4A"	-0.404	0.013
"FSCN2"	-0.685	0.011
"FTSJ3"	-0.768	0.007
"FUT9"	-0.703	0.028
"GAGE2C"	-0.651	0.028
"GALNT7"	-0.419	0.028
"GALR1"	-0.685	0.043
"GAR1"	-0.53	0.023
"GAS1"	-0.469	0.044
"GBF1"	-0.881	0.018
"GDE1"	-0.494	0.038
"GDF3"	-0.365	0.048
"GDF9"	-0.678	0.048
"GEMIN5"	-1.11	0.017
"GGA2"	-0.71	0.023
"GGH"	-0.661	0.043
"GIMAP8"	-0.0995	0.039
"GJA10"	-1.14	0.03
"GJB3"	-0.412	0.046
"GK5"	-0.696	0.021
"GLIPR1L2"	-0.589	0.039
"GMPR2"	-0.398	0.029
"GPC6"	-0.982	0.039
"GPD2"	-0.866	0.018
"GPR112"	-0.776	0.002
"GPR116"	-0.4	0.05
"GPR156"	-0.611	0.048
"GPR44"	-0.634	0.031
"GPX8"	-0.789	0.048
"GRAP2"	-0.456	0.042
"GREM1"	-0.668	0.007
"GRIK1"	-0.486	0.045
"GRIN1"	-0.689	0.005
"GRK1"	-0.359	0.049
"HDAC3"	-0.57	0.027
"HDGFL1"	-1.05	0.028
"HEPACAM2"	-0.784	0.047
"HGF"	-0.657	0.047
"HHAT"	-0.504	0.02
"HIATL2"	-0.55	0.013
"HKDC1"	-0.861	0.037
"HKR1"	-0.314	0.038
"HLA-DQB1"	-0.77	0.011
"HLA-DQB2"	-0.454	0.028
"HLA-DRB1"	-0.591	0.039
"HLA-DRB3"	-0.595	0.005
"HLF"	-0.313	0.038
"HMHA1"	-0.528	0.044
"HMSD"	-0.304	0.03
"HNRNPC"	-1.1	0
"HNRNPM"	-0.593	0.013
"HOXC12"	-0.245	0.016
"HP"	-0.742	0.009
"HPS3"	-0.478	0.027
"HRH1"	-0.441	0.046
"HSD11B2"	-0.46	0.048
"HSDL2"	-0.433	0.02
"HSFY2"	-0.925	0.011
"HSPA9"	-0.672	0.046
"HTR2B"	-0.866	0.01
"HTRA1"	-0.205	0.021
"HUS1"	-0.397	0.044
"ICK"	-1.03	0
"IFI16"	-0.676	0.005
"IFT74"	-0.552	0.033
"IGF1R"	-0.592	0.022
"IGFBP2"	-0.901	0.017
"IGSF10"	-0.656	0.024
"IL23A"	-0.6	0.015
"IL27"	-0.268	0.008
"IMP4"	-0.951	0.002
"INTS9"	-0.929	0.004
"ISG15"	-0.37	0.038
"ITGA2"	-0.983	0.001
"ITGAL"	-1.08	0.021
"ITM2C"	-0.457	0.036
"IVL"	-0.648	0.03
"JAG2"	-0.449	0.037
"JUB"	-0.704	0.042
"KAT2B"	-0.345	0.024
"KCNC3"	-0.573	0.03
"KCNK1"	-0.197	0.025
"KCNK2"	-0.609	0.018
"KCTD4"	-0.289	0.045
"KCTD6"	-0.45	0.032
"KDM5B"	-0.966	0.029
"KHDRBS2"	-0.623	0.01
"KIAA0101"	-0.786	0.037
"KIAA1217"	-0.712	0.034
"KIF19"	-0.489	0.05
"KIF22"	-0.635	0.005
"KLF7"	-0.453	0.023
"KLHL14"	-0.759	0.044
"KLHL28"	-0.362	0.036
"KLRC2"	-0.397	0.05
"KPNB1"	-1.11	0
"KRAS"	-0.547	0.019
"KRAS"	-0.919	0.019
"KRCC1"	-0.601	0.048
"KRTAP13-1"	-0.524	0.04
"KTN1"	-0.438	0.043
"LACTB"	-0.19	0.041
"LCN10"	-0.777	0.009
"LDB2"	-0.5	0.05
"LGALS12"	-0.724	0.021
"LHPP"	-0.0214	0.047
"LIG1"	-0.844	0.021
"LILRA2"	-0.893	0.005
"LILRB2"	-0.486	0.028
"LILRB5"	-0.491	0.021
"LIPH"	-0.255	0.015
"LPXN"	-0.635	0.007
"LRAT"	-0.273	0.046
"LRRFIP1"	-0.889	0.029
"LSM4"	-0.878	0.003
"LSM5"	-0.539	0.012
"LUC7L3"	-0.854	0.023
"LY96"	-0.718	0.007
"MAGED4B"	-0.565	0.015
"MAK16"	-0.874	0.048
"MAML1"	-0.633	0.038
"MAP9"	-0.45	0.027
"MAPKAP1"	-0.7	0.014
"MARVELD2"	-0.691	0.017
"MBL2"	-0.525	0.03
"MCM2"	-0.701	0.013
"MCM6"	-0.879	0.022
"MCOLN2"	-1.12	0.009
"MDM2"	-0.627	0.025
"MECR"	-0.566	0.041
"MEGF8"	-0.145	0.017
"MELK"	-0.533	0.012
"METTL13"	-0.524	0.027
"METTL14"	-0.664	0.014
"METTL4"	-0.569	0.047
"MFAP1"	-0.683	0.027
"MFNG"	-0.524	0.043
"MGAT4B"	-0.492	0.041
"MKRN1"	-0.23	0.011
"MLL5"	-0.576	0.042
"MLNR"	-0.754	0.04
"MLXIP"	-0.41	0.036
"MOCS2"	-0.612	0.002
"MPL"	-0.614	0.007
"MPP2"	-0.744	0.01
"MRPS31"	-0.744	0.028
"MRPS6"	-0.702	0.049
"MS4A10"	-0.311	0.041
"MS4A13"	-0.655	0.015
"MS4A6E"	-0.83	0.041
"MS4A7"	-0.769	0.011
"MT1F"	-0.324	0.009
"MTMR11"	-0.787	0.028
"MTNR1A"	-0.299	0.021
"MUC2"	-0.469	0.005
"MYBPHL"	-0.666	0.049
"MYO3B"	-0.849	0.042
"MYRIP"	-0.381	0.032
"MYST3"	-0.488	0.026
"NACAP1"	-0.748	0.022
"NAPA"	-0.916	0.001
"NAPG"	-0.988	0.011
"NAT10"	-0.499	0.027
"NAV3"	-0.577	0.025
"NCAPG"	-0.56	0.015
"NCOR2"	-0.731	0.049
"NDRG1"	-0.487	0.043
"NDUFA13"	-0.798	0.03
"NDUFB10"	-0.7	0.001
"NDUFS3"	-0.438	0.015
"NDUFS7"	-0.821	0.001
"NEDD8"	-0.713	0.011
"NEUROG3"	-0.328	0.013
"NFATC2IP"	-0.18	0.02
"NFKB2"	-0.34	0.035
"NFYC"	-0.913	0.03
"NHP2L1"	-1.15	0.031
"NID2"	-0.946	0.039
"NLGN2"	-0.617	0.025
"NLN"	-0.658	0.002
"NMUR2"	-0.688	0.028
"NNT"	-0.353	0.038
"NOL10"	-0.0281	0.014
"NPAS4"	-0.623	0.045
"NPTN"	-0.491	0.008
"NR1D1"	-0.571	0.001
"NRP1"	-0.612	0.025
"NSUN5"	-0.186	0.012
"NSUN5"	-0.241	0.012
"NTN3"	-0.413	0.009
"NTSR1"	-0.436	0.037
"NUDT14"	-0.787	0.044
"NUDT21"	-0.983	0.046
"NUDT3"	-0.556	0.033
"NUDT4"	-0.875	0.032
"NUF2"	-1.25	0.002
"NUP205"	-1.06	0
"NUP62"	-0.493	0.025
"NUP85"	-0.353	0.001
"NUP93"	-1.02	0
"NUP98"	-0.427	0
"NUPL2"	-0.908	0.02
"NUS1"	-0.844	0.023
"NXF1"	-0.738	0.022
"OR10X1"	-0.395	0.021
"OR1E1"	-0.448	0.049
"OR2L3"	-0.384	0.018
"OR2T10"	-0.607	0.015
"OR4K17"	-0.757	0.001
"OR51T1"	-0.586	0.02
"OR51V1"	-0.348	0.005
"OR52L1"	-0.622	0.021
"OR6V1"	-0.38	0.03
"ORAOV1"	-0.619	0.013
"OXNAD1"	-0.386	0.011
"P2RY4"	-0.616	0.011
"P4HA3"	-0.625	0.028
"PA2G4"	-0.565	0.008
"PAGE3"	-0.547	0.041
"PAPOLA"	-0.861	0.013
"PAQR5"	-0.792	0.002
"PARN"	-0.982	0.006
"PARP14"	-0.503	0.022
"PBX3"	-0.704	0.036
"PCBP2"	-0.998	0.007
"PCDH1"	-0.245	0.015
"PCDHA10"	-0.141	0.043
"PCDHB8"	-0.537	0.039
"PCYT2"	-0.673	0.001
"PDC"	-0.651	0.013
"PDE1B"	-0.806	0.011
"PDPK1"	-0.771	0.028
"PELP1"	-0.639	0.032
"PFDN6"	-0.639	0.027
"PGC"	-0.455	0.019
"PGLYRP2"	-0.216	0.049
"PGP"	-0.225	0.042
