"Gene name"	"score"	"pval"
"AAMP"	-0.249	0.01
"ABCE1"	-0.108	0.03
"ACADS"	-0.0537	0.049
"ACTR2"	-0.304	0.047
"ADIPOR1"	-0.388	0.041
"AJAP1"	-0.323	0.026
"ALG10B"	-0.521	0.004
"ANAPC4"	-0.391	0.002
"ANXA7"	-0.0945	0.05
"AP2M1"	-0.146	0.023
"APOBEC3F"	-0.227	0.008
"APOC3"	-0.22	0.05
"AQP9"	-0.233	0.047
"AQR"	-0.288	0.008
"ARCN1"	-0.602	0.037
"ARHGAP25"	-0.102	0.036
"ARHGEF10"	-0.0798	0.013
"ARHGEF6"	-0.0386	0.035
"ARIH1"	-0.164	0.04
"ARL1"	-0.0457	0.008
"ARMC1"	-0.282	0.002
"ARSG"	-0.379	0.042
"ARX"	-0.254	0.043
"AS3MT"	-0.113	0.041
"ASAH2"	-0.123	0.042
"ASCL2"	-0.224	0.016
"ASMTL"	-0.0387	0.044
"ATP5I"	-0.52	0.01
"ATP6V0C"	-0.225	0.027
"ATP6V0D1"	-0.0686	0.004
"AURKB"	-0.173	0.024
"AVP"	-0.138	0.008
"AVPR1A"	-0.0311	0.048
"B3GALNT2"	-0.296	0.024
"BAT1"	-0.141	0.013
"BAX"	-0.273	0.045
"BCKDK"	-0.324	0.041
"BFAR"	-0.103	0.019
"BLOC1S2"	-0.116	0.028
"BMP7"	-0.631	0.047
"BRI3"	-0.189	0.024
"BTBD16"	-0.149	0.021
"BYSL"	-0.0385	0.03
"C10orf137"	-0.143	0.041
"C10orf81"	-0.1	0.029
"C12orf66"	-0.445	0.03
"C13orf16"	-0.518	0.031
"C14orf143"	-0.0776	0.042
"C16orf28"	-0.365	0.008
"C19orf18"	-0.276	0.039
"C19orf23"	-0.353	0.04
"C1GALT1C1"	-0.337	0.028
"C1orf161"	-0.125	0.002
"C1orf25"	-0.205	0.049
"C22orf28"	-0.359	0.041
"C2orf18"	-0.265	0.032
"C2orf73"	-0.139	0.031
"C3orf24"	-0.132	0.039
"C6orf167"	-0.0302	0.034
"C9orf114"	-0.169	0.014
"C9orf125"	-0.314	0.041
"C9orf45"	-0.144	0.049
"CACNA2D3"	-0.227	0.003
"CALHM1"	-0.172	0.04
"CARD14"	-0.217	0.011
"CARD9"	-0.277	0.027
"CARS2"	-0.22	0.019
"CCDC112"	-0.265	0.041
"CCDC51"	-0.0306	0.044
"CCDC99"	-0.0442	0.031
"CCNB2"	-0.225	0.025
"CCNB3"	-0.313	0.021
"CCR8"	-0.144	0.033
"CCT3"	-0.408	0
"CCT4"	-0.156	0.02
"CCT6A"	-0.459	0.01
"CCT7"	-0.131	0.004
"CCT8"	-0.163	0.004
"CD151"	-0.262	0.017
"CD164L2"	-0.193	0.015
"CD300C"	-0.0419	0.022
"CD86"	-0.0897	0.031
"CD96"	-0.167	0.047
"CDC40"	-0.0624	0.035
"CDC5L"	-0.208	0.04
"CDK1"	-0.287	0.015
"CDK12"	-0.504	0.006
"CDK18"	-0.337	0.045
"CDK5"	-0.125	0.045
"CDR2"	-0.25	0.026
"CDRT4"	-0.228	0.038
"CEBPE"	-0.116	0.038
"CENPO"	-0.219	0.001
"CENPV"	-0.0449	0.028
"CEP70"	-0.493	0.042
"CERK"	-0.426	0.016
"CHEK1"	-0.28	0.014
"CHERP"	-0.156	0.014
"CHMP2A"	-0.0628	0.033
"CHRM1"	-0.154	0.047
"CHST10"	-0.212	0.03
"CHST5"	-0.245	0.003
"CIRBP"	-0.249	0.023
"CIT"	-0.0838	0.046
"CKMT1B"	-0.175	0.045
"CLDN11"	-0.183	0.026
"CLDN20"	-0.0917	0.008
"CLEC12A"	-0.0964	0.028
"CLEC5A"	-0.151	0.027
"CLK3"	-0.472	0.01
"CLTC"	-0.641	0
"CNOT3"	-0.248	0.022
"CNTD2"	-0.142	0.025
"COL25A1"	-0.292	0.022
"COL8A1"	-0.115	0.027
"COPA"	-0.372	0.015
"COPB1"	-0.659	0
"COPZ1"	-0.11	0.026
"COX17"	-0.0754	0.045
"COX5B"	-0.184	0.036
"CPSF1"	-0.225	0.027
"CSN3"	-0.18	0.034
"CSTF2T"	-0.24	0.045
"CTAG2"	-0.271	0.031
"CUL4B"	-0.0289	0.043
"CUL7"	-0.757	0.009
"CUX2"	-0.274	0.046
"CWC15"	-0.145	0.039
"CYLD"	-0.149	0.021
"CYP1A1"	-0.148	0.046
"DBF4"	-0.318	0.025
"DBN1"	-0.151	0.03
"DCXR"	-0.217	0.025
"DDX3X"	-0.0636	0.022
"DDX46"	-0.0991	0.026
"DDX49"	-0.34	0.009
"DDX56"	-0.0826	0.016
"DEFB119"	-0.222	0.041
"DENR"	-0.066	0.016
"DHRS11"	-0.149	0.014
"DIXDC1"	-0.0119	0.049
"DLGAP5"	-0.291	0.025
"DMRTA2"	-0.254	0.037
"DNAJA1"	-0.227	0.014
"DNAJC19"	-0.129	0.028
"DNAJC21"	-0.234	0.028
"DNTTIP2"	-0.304	0.028
"DONSON"	-0.0259	0.049
"DPM2"	-0.164	0.014
"DPP7"	-0.134	0.006
"DRD4"	-0.349	0.015
"DSN1"	-0.0554	0.028
"DULLARD"	-0.315	0.027
"DUOXA2"	-0.0961	0.024
"DUSP16"	-0.381	0.021
"DUSP22"	-0.159	0.035
"DYNC1I2"	-0.189	0.042
"DYNLRB1"	-0.237	0.007
"ECT2"	-0.263	0.041
"EEF2"	-0.247	0.005
"EEF2K"	-0.14	0.02
"EFNA2"	-0.167	0.015
"EFTUD2"	-0.123	0.001
"EGFR"	-0.229	0.04
"EIF1AX"	-0.0918	0.002
"EIF2S2"	-0.395	0.004
"EIF2S3"	-0.0892	0.004
"EIF3A"	-0.277	0
"EIF3B"	-0.615	0
"EIF3C"	-0.314	0
"EIF3D"	-0.158	0.002
"EIF3F"	-0.0304	0.018
"EIF3FP3"	-0.0526	0.01
"EIF3G"	-0.185	0
"EIF3H"	-0.0614	0.027
"EIF3I"	-0.182	0.011
"EIF3M"	-0.289	0.007
"EIF4A3"	-0.186	0
"EIF4E3"	-0.508	0.016
"EIF5B"	-0.216	0.004
"EIF6"	-0.0608	0.007
"ELAVL1"	-0.318	0.01
"EMX1"	-0.1	0.04
"ERBB2"	-0.563	0.014
"ERBB3"	-0.185	0.007
"ERCC6L"	-0.102	0.008
"ERH"	-0.191	0.012
"ESPL1"	-0.0812	0.005
"ESPN"	-0.178	0.008
"ETF1"	-0.221	0.017
"EXOSC10"	-0.603	0.035
"FAM126A"	-0.26	0.008
"FAM13B"	-0.0518	0.034
"FAM160B1"	-0.0369	0.039
"FAM164A"	-0.0693	0.004
"FAM164C"	-0.282	0.042
"FAM24B"	-0.135	0.027
"FAM59A"	-0.086	0.015
"FANCG"	-0.134	0.044
"FBXL7"	-0.366	0.01
"FDFT1"	-0.419	0.036
"FFAR1"	-0.418	0.038
"FIGF"	-0.345	0.024
"FKBP6"	-0.0164	0.05
"FLT3LG"	-0.0924	0.017
"FMNL1"	-0.0746	0.02
"FMO9P"	-0.0352	0.046
"FN3KRP"	-0.221	0.04
"FOS"	-0.257	0.042
"FOXF1"	-0.262	0.015
"FOXQ1"	-0.227	0.039
"FTSJ3"	-0.233	0.005
"FTSJD2"	-0.132	0.031
"FURIN"	-0.119	0.014
"FYN"	-0.325	0.027
"GADD45B"	-0.232	0.023
"GALNT7"	-0.158	0.034
"GALNTL4"	-0.745	0.008
"GALR2"	-0.168	0.019
"GDPD1"	-0.295	0.016
"GHRHR"	-0.286	0.038
"GINS4"	-0.113	0.042
"GK5"	-0.0685	0.029
"GLIPR1L2"	-0.379	0.008
"GLT25D2"	-0.165	0.036
"GMEB2"	-0.0985	0.038
"GNE"	-0.0897	0.041
"GNL3"	-0.134	0.024
"GNPAT"	-0.367	0.05
"GOLM1"	-0.162	0.038
"GPD2"	-0.276	0.041
"GPT2"	-0.143	0.049
"GRB2"	-0.0608	0.014
"GREM1"	-0.231	0
"GRIN1"	-0.64	0.014
"GRIN2C"	-0.312	0.022
"GRK1"	-0.068	0.023
"GRM5"	-0.319	0.008
"HCLS1"	-0.15	0.041
"HDGFL1"	-0.168	0.009
"HGF"	-0.424	0.026
"HKDC1"	-0.236	0.01
"HLA-DRB1"	-0.0799	0.05
"HLA-DRB3"	-0.297	0.018
"HNRNPC"	-0.178	0.003
"HNRNPM"	-0.215	0.048
"HNRNPU"	-0.14	0.001
"HOXA3"	-0.138	0.028
"HOXB4"	-0.149	0.034
"HOXD8"	-0.25	0.031
"HSD11B2"	-0.386	0.029
"HSPA9"	-0.123	0.022
