"Gene name"	"score"	"pval"
"A1CF"	-0.284	0.024
"ABAT"	-0.352	0.034
"ACAT1"	-0.368	0.027
"ACBD3"	-0.2	0.022
"ACLY"	-0.0941	0.02
"ACSM2B"	-0.22	0.049
"ACTL7A"	-0.198	0.03
"ADAM21"	-0.403	0.042
"ADAM32"	-0.233	0.034
"ADAM33"	-0.27	0.039
"ADCY1"	-0.34	0.036
"ADCY9"	-0.182	0.033
"ADCYAP1"	-0.484	0.042
"ADH5"	-0.189	0.007
"AHSA1"	-0.0506	0.034
"AKAP6"	-0.133	0.049
"ALG10B"	-0.384	0.025
"ANKFY1"	-0.0414	0.016
"ANKZF1"	-0.127	0.016
"ANO3"	-0.299	0.015
"AP3D1"	-0.333	0.003
"APLP2"	-0.235	0.037
"APPL1"	-0.164	0.021
"AQR"	-0.732	0.005
"ARCN1"	-0.581	0.002
"ARF5"	-0.273	0.038
"ARG1"	-0.203	0.007
"ARHGAP27"	-0.366	0.031
"ARHGEF4"	-0.302	0.026
"ARSJ"	-0.199	0.003
"ARX"	-0.0889	0.033
"AS3MT"	-0.31	0.003
"ASB15"	-0.0633	0.013
"ASTL"	-0.464	0.012
"ATF4"	-0.176	0.039
"ATP11A"	-0.188	0.015
"ATP5C1"	-0.215	0.003
"B3GALT5"	-0.0699	0.001
"BCAS2"	-0.193	0.033
"BCL9L"	-0.318	0.022
"BDKRB1"	-0.319	0.023
"BOP1"	-0.128	0.049
"BRUNOL4"	-0.406	0.037
"BTNL9"	-0.485	0.03
"BUB1B"	-0.537	0.002
"BYSL"	-0.374	0.008
"C11orf64"	-0.286	0.035
"C11orf82"	-0.186	0.039
"C12orf60"	-0.00298	0.039
"C12orf66"	-0.592	0.022
"C16orf72"	-0.309	0.018
"C22orf27"	-0.44	0.013
"C3orf21"	-0.24	0.025
"C6orf165"	-0.28	0.043
"C6orf174"	-0.388	0.032
"C7orf46"	-0.318	0.03
"C9orf125"	-0.34	0.021
"C9orf30"	-0.458	0.015
"CACNA1F"	-0.259	0.003
"CACNA2D3"	-0.447	0.003
"CALCRL"	-0.239	0.044
"CALHM3"	-0.236	0.027
"CALR"	-0.106	0.001
"CAPN5"	-0.329	0.041
"CARD14"	-0.173	0.046
"CARM1"	-0.409	0.044
"CARS2"	-0.402	0.003
"CATSPER2"	-0.283	0.009
"CCDC108"	-0.129	0.037
"CCDC148"	-0.227	0.027
"CCDC62"	-0.272	0.038
"CCDC93"	-0.101	0.012
"CCNB3"	-0.603	0.001
"CCNJ"	-0.0384	0.012
"CCNL1"	-0.209	0.012
"CCR6"	-0.43	0.029
"CCR8"	-0.518	0.004
"CCT3"	-0.702	0.003
"CCT7"	-0.593	0.015
"CCT8"	-0.598	0.003
"CD164L2"	-0.186	0.038
"CD59"	-0.202	0.044
"CDC37"	-0.234	0.016
"CDC40"	-0.611	0.03
"CDC42EP1"	-0.207	0.029
"CDC45L"	-0.297	0.032
"CDC5L"	-0.595	0.006
"CDK11B"	-0.675	0.01
"CDK17"	-0.417	0.045
"CDK8"	-0.37	0.02
"CEND1"	-0.405	0.006
"CENPO"	-0.524	0.01
"CEP192"	-0.367	0.039
"CEP72"	-0.0848	0.03
"CHD4"	-0.403	0.026
"CHST14"	-0.056	0.037
"CIRH1A"	-0.269	0.037
"CLDN6"	-0.24	0.049
"CLIP3"	-0.209	0.049
"CLTC"	-0.502	0.003
"CMTM3"	-0.471	0.011
"CNN2"	-0.434	0.02
"CNOT8"	-0.227	0.035
"COL10A1"	-0.381	0.04
"COL13A1"	-0.0189	0.037
"COL1A2"	-0.0804	0.003
"COPB1"	-0.656	0.001
"COPB2"	-0.423	0.022
"COPS8"	-0.331	0.023
"COPZ1"	-0.608	0.003
"CORO2A"	-0.275	0.015
"CORO6"	-0.278	0.03
"COX7A2P2"	-0.224	0.011
"CPPED1"	-0.25	0.021
"CPXCR1"	-0.206	0.007
"CRYAB"	-0.262	0.035
"CS"	-0.336	0.048
"CTSA"	-0.319	0.015
"CUL4A"	-0.00236	0.03
"CUL4B"	-0.215	0.034
"CWC22"	-0.649	0.002
"CX3CL1"	-0.119	0.05
"CXADR"	-0.367	0.049
"CYBASC3"	-0.259	0.046
"CYLD"	-0.304	0.032
"CYorf15A"	-0.475	0.039
