"Gene name"	"score"	"pval"
"ABCB7"	-0.438	0.044
"ABCC4"	-0.283	0.02
"ABHD11"	-0.213	0.025
"ABTB1"	-0.319	0.042
"ACBD3"	-0.4	0.035
"ACHE"	-0.37	0.009
"ACOT9"	-0.328	0.03
"ACTG1"	-0.286	0.028
"ACTG2"	-0.439	0.024
"ACTRT2"	-0.497	0.04
"ADAM17"	-0.269	0.042
"ADAM28"	-0.125	0.013
"ADAT3"	-0.203	0.038
"ADC"	-0.543	0.038
"ADCY4"	-0.386	0.024
"ADCYAP1R1"	-0.754	0.001
"ADI1"	-0.516	0.038
"AJAP1"	-0.462	0.015
"AMPD3"	-0.539	0.033
"ANAPC4"	-1.03	0.006
"ANKRD20A3"	-0.666	0.046
"ANKRD37"	-0.447	0.04
"APBB1"	-0.42	0.049
"APOC3"	-0.211	0.021
"AQP2"	-0.289	0.037
"AQR"	-0.737	0.011
"ARCN1"	-1.02	0.003
"ARL1"	-0.652	0.01
"ARL13B"	-0.298	0.048
"ARL5B"	-0.739	0.001
"ARNTL2"	-0.354	0.024
"ARSJ"	-0.445	0.025
"AS3MT"	-0.638	0.024
"ATL1"	-0.152	0.022
"ATP1A1"	-0.734	0.011
"ATP5B"	-0.404	0.012
"ATP5C1"	-0.512	0.027
"ATP5D"	-0.141	0.015
"ATP5E"	-0.208	0.011
"ATP6V0C"	-0.432	0.022
"ATXN10"	-0.391	0.001
"ATXN7L1"	-0.427	0.022
"AURKA"	-0.209	0.005
"AURKB"	-0.633	0.017
"B3GALNT2"	-0.554	0.03
"B3GALT2"	-0.504	0.037
"B3GALT6"	-0.274	0.004
"BAG5"	-0.592	0.034
"BAT2L2"	-0.433	0.038
"BATF"	-0.292	0.013
"BCR"	-0.318	0.044
"BDKRB1"	-0.38	0.001
"BGLAP"	-0.539	0.01
"BHLHE22"	-0.17	0.013
"BICD2"	-0.485	0.03
"BMP1"	-0.41	0.009
"BPNT1"	-0.552	0.04
"BRUNOL6"	-0.0338	0.015
"BTLA"	-0.454	0.034
"BUD31"	-0.378	0.038
"C10orf72"	-0.279	0.01
"C11orf40"	-0.507	0.011
"C12orf66"	-0.489	0.02
"C13orf16"	-0.429	0.021
"C14orf148"	-0.578	0.002
"C14orf2"	-0.767	0.006
"C16orf62"	-0.462	0.038
"C16orf72"	-0.458	0.007
"C19orf10"	-0.447	0.008
"C19orf18"	-0.334	0.04
"C1QBP"	-0.215	0.034
"C21orf45"	-0.194	0.046
"C22orf27"	-0.771	0.002
"C22orf29"	-0.384	0.029
"C22orf32"	-0.444	0.007
