"Gene name"	"score"	"pval"
"A1BG"	-0.238	0.012
"A1CF"	-1.01	0.023
"AAGAB"	-0.318	0.03
"ABCA3"	-0.41	0.03
"ABHD5"	-0.544	0.031
"ACAA2"	-0.108	0.024
"ACO2"	-0.762	0.006
"ACOT4"	-0.022	0.011
"ACRBP"	-0.402	0.005
"ADAM21"	-0.884	0.01
"ADAMTS13"	-0.722	0.024
"ADAMTS6"	-0.493	0.038
"ADCY1"	-0.685	0.043
"ADCYAP1R1"	-0.776	0.046
"ADIPOR1"	-0.249	0.05
"AIRE"	-0.514	0.027
"AKAP5"	-0.591	0.018
"AKAP7"	-0.596	0.046
"AKAP8L"	-0.326	0.01
"ALDH7A1"	-0.328	0.029
"ALG10B"	-0.738	0.043
"ALMS1"	-0.289	0.006
"ANAPC4"	-1.17	0.015
"ANK1"	-0.701	0.019
"ANKRA2"	-0.468	0.008
"ANKRD11"	-0.0819	0.037
"ANKRD37"	-0.627	0.039
"ANXA6"	-0.248	0.047
"AP2M1"	-0.357	0.018
"APPL1"	-1	0.048
"AQR"	-1.1	0
"ARCN1"	-0.981	0
"ARFIP1"	-0.41	0.03
"ARHGEF2"	-0.407	0.014
"ARL1"	-0.538	0.039
"ARL4D"	-0.339	0.039
"ARL9"	-0.414	0.008
"ASB10"	-0.554	0.024
"ASH2L"	-0.461	0.042
"ASTL"	-0.823	0.018
"ATP11A"	-0.314	0.014
"ATP1A1"	-0.814	0.002
"ATP6V0C"	-0.457	0.03
"ATP6V0D1"	-0.697	0.017
"ATP6V1B2"	-0.963	0.004
"AURKB"	-0.838	0.001
"BAP1"	-0.606	0.041
"BAT1"	-0.641	0.007
"BCL7B"	-0.758	0.04
"BCR"	-0.406	0.009
"BMPR1A"	-1.2	0.001
"BOP1"	-0.544	0.045
"BRUNOL4"	-0.417	0.031
"BTNL9"	-0.58	0.004
"BUB1"	-0.138	0.042
"C11orf40"	-0.704	0.04
"C11orf64"	-1.01	0.024
"C12orf66"	-0.69	0.004
"C13orf18"	-0.744	0.04
"C13orf27"	-0.661	0.025
"C14orf148"	-0.749	0.018
"C14orf162"	-0.24	0.023
"C14orf2"	-1.02	0.02
"C14orf70"	-0.564	0.037
"C16orf62"	-0.682	0.026
"C16orf63"	-0.691	0.024
"C16orf7"	-0.625	0.031
"C16orf72"	-0.92	0.008
"C16orf87"	-0.767	0.024
"C19orf10"	-0.995	0.024
"C19orf18"	-0.409	0.041
"C19orf2"	-0.754	0.031
"C1GALT1C1"	-0.419	0
"C1orf126"	-0.514	0.007
"C1orf141"	-0.706	0.046
"C1orf77"	-0.498	0.033
"C22orf27"	-1.01	0.006
"C22orf29"	-0.924	0.038
"C22orf32"	-0.911	0.013
"C2orf15"	-0.237	0.038
"C2orf81"	-1	0.014
"C2orf85"	-0.513	0.034
"C3orf21"	-0.496	0.021
"C3orf39"	-0.667	0.007
"C4orf33"	-0.63	0.026
"C5orf36"	-0.723	0.01
"C5orf51"	-0.728	0.012
"C6orf126"	-0.238	0.035
"C6orf127"	-0.0262	0.033
"C6orf163"	-0.269	0.036
"C6orf174"	-0.439	0.021
"C8orf46"	-0.439	0.016
"C8orf79"	-0.373	0.004
"C8orf79"	-0.396	0.004
"C9orf30"	-0.688	0.041
"C9orf72"	-0.573	0.024
"CA2"	-0.165	0.006
"CACNA2D3"	-0.509	0.03
"CALHM1"	-0.645	0.037
"CALHM3"	-0.397	0.026
"CAPN2"	-1.08	0.04
"CASP8AP2"	-0.403	0.049
"CCDC71"	-0.496	0.025
"CCL25"	-0.654	0.047
"CCNB3"	-1.14	0
"CCNG1"	-0.657	0.008
"CCR4"	-0.554	0.04
"CCRN4L"	-0.444	0.009
"CCT3"	-1.02	0
"CCT4"	-0.593	0.031
"CCT5"	-0.713	0.018
"CCT6A"	-1.1	0.001
"CCT7"	-1.1	0.001
"CCT8"	-0.96	0.01
"CD151"	-0.941	0.043
"CD160"	-0.896	0.02
"CD1A"	-0.715	0.028
"CD38"	-0.553	0.027
"CDC14A"	-0.931	0.007
"CDC23"	-0.722	0.042
"CDC40"	-0.535	0.002
"CDC42EP2"	-0.199	0.042
"CDC7"	-0.488	0.009
"CDK11B"	-1.11	0.019
"CDR2"	-0.508	0.017
"CEND1"	-0.852	0.042
"CENPO"	-0.854	0.008
"CEP152"	-0.847	0.046
"CEP70"	-0.11	0.006
"CFD"	-0.217	0.045
"CHEK1"	-1.06	0.01
"CHERP"	-1.34	0.04
"CHPF2"	-0.443	0.02
"CHRNE"	-0.506	0.03
"CIC"	-0.575	0.026
"CLCN5"	-0.733	0.029
"CLDN6"	-0.732	0.028
"CLEC12A"	-0.689	0.022
"CLEC5A"	-0.534	0.001
"CLTC"	-0.609	0
"CMTM3"	-0.805	0.021
"CNTLN"	-0.873	0.011
"CNTN2"	-0.21	0.023
"COCH"	-0.791	0.013
"COMP"	-0.406	0.025
"COPA"	-0.729	0.001
"COPB1"	-1.22	0
"COPB2"	-0.48	0.029
"COPS3"	-0.744	0.042
"COPZ1"	-0.648	0.001
"CPNE4"	-0.716	0.046
"CPPED1"	-0.59	0.026
"CPSF1"	-0.784	0.041
"CPT1B"	-0.354	0.045
"CPXM1"	-0.277	0.04
"CREBZF"	-0.46	0.05
"CRYL1"	-0.637	0.048
"CS"	-0.567	0.028
"CSNK1E"	-0.29	0.016
"CSNK1E"	-0.534	0.016
"CTNNB1"	-0.379	0.009
"CTR9"	-0.827	0.031
"CTSG"	-0.686	0.022
"CWC22"	-0.696	0.01
"CWC27"	-0.0886	0.017
"CWF19L1"	-0.522	0.01
"CXCL1"	-0.57	0.048
"CYorf15A"	-0.731	0.035
"CYorf15B"	-0.676	0.002
"CYP1A1"	-0.288	0.042
"CYP1A2"	-0.699	0.013
"DAD1"	-0.47	0.035
"DAND5"	-0.138	0.038
"DCAF16"	-0.502	0.024
"DDR1"	-1.26	0.002
"DDR2"	-0.927	0.02
"DDX18"	-0.982	0.002
