"Gene name"	"score"	"pval"
"ABAT"	-0.741	0.01
"ABCC4"	-0.22	0.021
"ABCD4"	-0.352	0.011
"ABCG1"	-0.0645	0.019
"ACADVL"	-0.196	0.025
"ACAT1"	-0.665	0.027
"ACAT2"	-0.209	0.012
"ACER2"	-0.047	0.039
"ACER3"	-0.2	0.047
"ACOT9"	-0.427	0.031
"ACTG2"	-0.0438	0.005
"ADAM21"	-0.361	0.014
"ADCK5"	-0.0641	0.008
"ADCY1"	-0.0553	0.01
"ADIPOQ"	-0.452	0.019
"AFP"	-0.37	0.03
"ALDH16A1"	-0.271	0.046
"ALDH1B1"	-0.165	0.045
"ALG13"	-0.174	0.01
"ALK"	-0.288	0.028
"APBB2"	-0.366	0.027
"APLP2"	-0.393	0.038
"APOBEC3B"	-0.466	0.019
"APOC3"	-0.507	0.018
"APPL1"	-0.567	0.011
"AQR"	-1.11	0
"ARAP1"	-0.292	0.029
"ARCN1"	-0.394	0.047
"ARG1"	-0.955	0.035
"ARIH1"	-0.348	0.035
"ARL5B"	-0.445	0.03
"ARMC1"	-0.16	0.027
"ARNT"	-0.0357	0.011
"ARSE"	-0.337	0.025
"ASGR2"	-0.866	0.031
"ATP6V0D1"	-0.735	0.012
"AURKB"	-1.2	0.001
"B3GALNT2"	-1.09	0.027
"BAZ2B"	-0.108	0.025
"BDKRB1"	-1	0.048
"BET1L"	-0.13	0.041
"BIRC5"	-0.214	0.025
"BMP2K"	-0.555	0.048
"BUB1B"	-0.307	0.023
"C13orf27"	-0.231	0.05
"C14orf148"	-0.00557	0.024
"C14orf2"	-0.362	0.005
"C15orf51"	-0.274	0.035
"C17orf46"	-0.0433	0.032
"C19orf28"	-0.405	0.027
"C1QC"	-0.465	0.024
"C1QTNF6"	-0.121	0.034
"C22orf27"	-0.458	0.003
"C3orf32"	-0.21	0.018
"C3orf39"	-0.00239	0.041
"C7orf44"	-0.603	0.017
"C9orf114"	-0.783	0.04
"C9orf125"	-0.58	0.021
"C9orf30"	-0.0385	0.007
"CA7"	-0.189	0.005
"CACYBP"	-0.0345	0.007
"CALCRL"	-0.497	0.038
"CALHM1"	-0.166	0.028
"CALHM3"	-0.274	0.028
"CALM1"	-0.185	0.008
"CALN1"	-0.356	0.01
"CAMKK2"	-0.284	0.026
"CAPZA2"	-0.152	0.03
"CARS2"	-0.857	0.007
"CASC5"	-0.0467	0.03
"CAV3"	-0.276	0.028
"CBFA2T2"	-0.42	0.04
"CBWD2"	-0.518	0.014
"CCDC155"	-0.266	0.027
"CCDC21"	-0.107	0.008
"CCDC51"	-0.591	0.027
"CCDC62"	-0.0737	0.01
"CCL1"	-0.185	0.015
"CCL25"	-0.581	0.006
"CCNF"	-0.499	0.047
"CCRN4L"	-0.873	0.05
"CCT3"	-0.958	0.001
"CCT5"	-0.214	0.03
"CCT8"	-0.251	0.044
"CD300C"	-0.254	0.031
"CD320"	-0.0803	0.042
"CD33"	-0.0714	0.046
"CD59"	-1.2	0.038
"CD79B"	-0.676	0.012
"CD83"	-0.478	0.042
"CDC37L1"	-0.372	0.041
"CDC40"	-1.05	0.002
"CDC5L"	-0.216	0.001
"CDK1"	-1.41	0.011
"CDK11B"	-0.791	0.002
"CDK12"	-0.7	0.03
"CDK6"	-0.19	0.043
"CDKL2"	-0.412	0.008
"CDSN"	-0.0612	0.028
"CEND1"	-0.578	0.033
"CENPO"	-0.15	0.005
"CEP192"	-0.0716	0.034
"CEP63"	-0.231	0.04
"CHAF1A"	-0.155	0.026
"CHD4"	-0.335	0.003
"CHEK1"	-0.756	0.025
"CHI3L2"	-0.224	0.05
"CHRM1"	-0.157	0.018
"CHRNE"	-0.137	0.046
"CHST7"	-0.371	0.021
"CHST9"	-0.524	0.028
"CLEC5A"	-0.147	0.01
"CLIP3"	-0.0988	0.036
"CLTC"	-0.814	0.011
"CNPY2"	-0.124	0.04
"COL25A1"	-0.378	0.006
"COPE"	-0.13	0.039
"COPG2"	-0.213	0.027
"COPS2"	-0.246	0.029
"COPS3"	-0.579	0.047
"COPS8"	-0.337	0.027
"CORO2A"	-0.0874	0.014
"COX5A"	-0.45	0.043
"CPPED1"	-0.354	0.028
"CPSF6"	-1	0.03
"CPXM2"	-0.279	0.042
"CRADD"	-0.775	0.014
"CRTAM"	-0.078	0.039
"CRYL1"	-0.643	0.025
"CSAG2"	-0.0787	0.028
"CSNK2B"	-0.244	0.012
"CTNNAL1"	-0.0912	0.006
"CUX2"	-0.246	0.03
"CYB561D2"	-0.261	0.05
"CYLD"	-0.278	0.032
"CYorf15A"	-0.102	0.037
"CYP27C1"	-0.367	0.048
"DBF4"	-0.377	0.027
"DBN1"	-0.86	0.048
"DCX"	-0.258	0.031
"DCXR"	-0.0383	0.038
"DDR1"	-0.211	0.045
"DDX17"	-0.788	0.046
"DDX41"	-0.614	0.029
"DDX49"	-0.256	0.016
"DDX54"	-0.129	0.039
"DEGS2"	-0.585	0.05
"DGUOK"	-0.293	0.05
"DHX30"	-0.597	0.004
"DMKN"	-0.253	0.015
"DNAJC21"	-0.0539	0.045
"DNASE1L3"	-0.501	0.04
"DOM3Z"	-0.134	0.043
"DONSON"	-0.0113	0.014
"DPCR1"	-0.194	0.032
"DPYSL2"	-0.173	0.046
"DULLARD"	-0.33	0.01
"DUSP27"	-0.474	0.023
"DUSP7"	-0.0155	0.014
"DYDC2"	-0.0242	0.028
"DYNC1H1"	-0.492	0.024
"DYNC1LI2"	-0.218	0.027
"DYNLT3"	-0.397	0.028
"DYRK2"	-1.35	0.007
"ECT2"	-0.587	0.03
"EEF1A1"	-0.0371	0.022
"EEF2"	-0.86	0.006
"EEFSEC"	-0.154	0.042
"EFCAB7"	-0.202	0.01
"EFTUD2"	-0.164	0.002
"EGLN1"	-0.342	0.025
"EIF2B5"	-0.328	0.024
"EIF3A"	-0.132	0.019
"EIF3B"	-0.905	0.007
"EIF3D"	-0.465	0.033
"EIF3F"	-0.116	0.039
"EIF4A3"	-0.16	0.019
"EIF4E3"	-0.398	0.046
"EIF5B"	-1.29	0.008
"ELAC2"	-0.955	0.021
"ELK1"	-0.291	0.026
"ELK4"	-0.552	0.026
"ELP3"	-0.342	0.048
"ENOPH1"	-0.654	0.003
"ERAL1"	-0.101	0.037
"ERAP1"	-0.242	0.042
"ERBB2"	-0.219	0.04
"ERBB2IP"	-0.685	0.048
"ERBB4"	-0.415	0.026
"ERC1"	-0.157	0.03
"ERH"	-0.335	0.032
"ESPL1"	-0.155	0.015
"ESPN"	-0.627	0.012
"ESYT1"	-0.0482	0.015
"EXOSC10"	-0.973	0.002
"EXOSC4"	-1.09	0.002
"EXOSC9"	-0.612	0.038
"F13B"	-0.0772	0.042
"FABP2"	-0.135	0.014
"FADD"	-0.179	0.032
"FAM116A"	-0.253	0.028
"FAM118B"	-0.754	0.002
"FAM120A"	-0.376	0.02
"FAM126A"	-0.26	0.008
"FAM164C"	-0.296	0.014
"FBXL7"	-0.829	0.01
"FBXO34"	-0.0862	0.039
"FBXO9"	-0.471	0.041
"FCER1G"	-0.238	0.008
"FCRL3"	-0.367	0.026
"FDFT1"	-0.433	0.048
"FFAR2"	-0.153	0.011
"FGF2"	-0.477	0.025
"FGF7"	-1.23	0.049
"FILIP1L"	-0.156	0.028
"FKBP9"	-1.12	0.019
"FLT3LG"	-0.297	0.05
"FNDC7"	-0.0959	0.006
"FNTB"	-0.314	0.012
"FOXD4L4"	-0.327	0.025
"FOXF1"	-0.306	0.031
"FRMD4A"	-0.00496	0.022
"FSCN2"	-0.264	0.019
"FTSJ3"	-1.29	0.013
"FUT2"	-0.594	0.038
"FUT5"	-0.0929	0.042
"GABBR2"	-0.141	0.028
"GAGE2C"	-0.151	0.024
"GAL3ST3"	-0.194	0.009
"GALR1"	-0.373	0.037
"GATA1"	-0.111	0.038
"GEMIN4"	-0.114	0.033
"GEN1"	-0.699	0.042
"GFRA2"	-0.0728	0.01
"GIMAP5"	-0.646	0.045
"GLIPR1L2"	-0.517	0.021
"GLT25D2"	-0.42	0.034
"GMPPA"	-0.0912	0.036
"GMPS"	-0.145	0.011
"GNAO1"	-0.0861	0.037
"GNB1"	-0.0647	0.033
"GNL3"	-0.697	0.006
"GORASP1"	-0.0394	0.018
"GPAM"	-0.713	0.05
"GPC6"	-0.154	0.038
"GPR101"	-0.676	0.028
"GPR110"	-0.398	0.05
"GPR112"	-0.247	0
"GREM1"	-0.323	0.006
"GRIN2D"	-0.889	0.022
"GRM2"	-0.609	0.018
"GRM8"	-0.108	0.045
"GTF2IRD2B"	-0.444	0.039
"GTPBP4"	-0.25	0.018
"GYLTL1B"	-0.353	0.014
"HEATR3"	-0.0291	0.01
"HERC2P2"	-0.618	0.015
"HGF"	-0.58	0.014
"HIATL1"	-0.23	0.018
"HIATL2"	-0.218	0.046
"HINT3"	-0.434	0.048
"HIPK2"	-0.603	0.01
"HIST1H1B"	-0.212	0.015
"HIST1H2BB"	-0.148	0.048
"HIVEP3"	-0.929	0.004
"HLA-DQB2"	-0.787	0.012
"HNF1A"	-0.217	0.001
"HNRNPC"	-0.622	0.008
"HNRNPM"	-0.255	0.015
"HPD"	-0.0875	0.003
"HRH1"	-0.231	0.024
"HSDL2"	-0.457	0.027
"HSN2"	-0.392	0.045
"HSPE1"	-0.506	0.033
"HSPG2"	-0.691	0.007
"HYAL3"	-0.347	0
"ID1"	-0.549	0.027
"IFIT1L"	-0.0956	0.04
"IFNA10"	-0.0608	0.003
"IFRD1"	-0.0151	0.034
"IGF2BP3"	-1.09	0.035
"IGFBP2"	-0.31	0.006
"IL12RB1"	-0.162	0.045
"IL17A"	-0.0225	0.033
"IL1F6"	-0.0485	0.018
"IL28A"	-0.157	0.03
"IL7"	-0.366	0.02
"ING1"	-0.22	0.049
"INPP5B"	-0.241	0.032
"INSR"	-0.867	0.038
"INTS4"	-0.0709	0.022
"INTS9"	-0.116	0.027
"IQGAP1"	-0.321	0.049
"ISG20"	-0.69	0.042
"ISYNA1"	-0.0969	0.04
"ITGA10"	-0.0537	0.042
"JAZF1"	-0.285	0.04
"JMJD7-PLA2G4B"	-0.209	0.013
"KARS"	-1.13	0
"KBTBD12"	-0.179	0.042
"KCNJ15"	-0.423	0.045
"KCNJ2"	-0.311	0.045
"KCTD4"	-0.59	0.045
"KCTD6"	-0.272	0.035
"KDM5D"	-0.178	0.044
"KHDRBS2"	-0.179	0.024
"KIAA0586"	-0.0356	0.008
"KIF15"	-0.557	0.011
"KIF19"	-0.088	0.027
"KIF22"	-0.909	0.05
"KIF5A"	-0.0216	0.028
"KLHL14"	-0.194	0.03
"KLHL28"	-0.427	0.03
"KPNB1"	-0.516	0.002
"KRT36"	-0.221	0.012
"KRT6A"	-0.143	0.044
"KRT74"	-0.596	0
"KRT8P11"	-0.509	0.008
"KRTAP13-2"	-0.207	0.027
"KRTAP13-3"	-0.364	0.038
"KRTAP15-1"	-0.43	0.022
"KRTAP4-7"	-0.0538	0.027
"KSR1"	-0.226	0.023
"LANCL1"	-0.182	0.036
"LAPTM5"	-0.275	0.022
"LARP1B"	-0.637	0.027
"LCN6"	-0.511	0.027
"LDHC"	-0.218	0.041
"LEPR"	-0.0378	0.003
"LMLN"	-0.48	0.027
"LRIT1"	-0.00997	0.014
"LRRC29"	-0.979	0.05
"LSM6"	-0.327	0.026
"LUZP1"	-0.487	0.03
"LY96"	-0.282	0.03
"MAB21L1"	-0.0514	0.027
