"Gene name"	"score"	"pval"
"ABCC13"	-0.283	0.043
"ABCC6"	-0.425	0.045
"ABI2"	-0.434	0.043
"ACAT1"	-0.772	0.011
"ACOT4"	-0.372	0.034
"ACP1"	-0.403	0.012
"ACTR1A"	-0.627	0.018
"ADAM21"	-0.66	0.01
"ADAM22"	-0.559	0.025
"ADAM23"	-0.417	0.028
"ADAM33"	-0.779	0.045
"ADAMTS13"	-0.613	0.034
"ADCY10"	-0.329	0.028
"ADCYAP1R1"	-0.71	0.038
"AFAP1"	-0.294	0.013
"AHCYL1"	-0.322	0.049
"ALDH7A1"	-0.514	0.032
"ALOX12B"	-0.57	0.05
"ANAPC4"	-0.733	0.001
"ANKRD20A2"	-0.507	0.04
"ANKRD20A3"	-0.474	0.013
"AP1AR"	-0.547	0.046
"AP1B1"	-0.344	0.018
"AP1M2"	-0.161	0.04
"AP2M1"	-0.633	0.036
"AP4E1"	-0.243	0.036
"APOA1"	-0.369	0.028
"APOBEC2"	-0.0635	0.05
"APOL2"	-0.449	0.04
"APOL4"	-0.235	0.049
"APPL1"	-0.635	0.049
"AQR"	-0.985	0.007
"ARCN1"	-1.38	0.001
"ARFGAP3"	-0.489	0.034
"ARHGAP29"	-0.529	0.02
"ARHGEF5"	-0.335	0.028
"ARL1"	-0.68	0.046
"ARL13B"	-0.445	0.029
"ARMC1"	-0.434	0.012
"ASAH2"	-0.471	0.022
"ASTL"	-0.617	0.042
"ATOH8"	-0.575	0.012
"ATP1A1"	-0.673	0.036
"ATP2B3"	-0.186	0.032
"ATP7B"	-0.614	0.049
"ATXN10"	-0.441	0.025
"AURKB"	-1.03	0.033
"AVP"	-0.00556	0.017
"BCL2L1"	-0.162	0.041
"BCL2L12"	-0.137	0.007
"BICD2"	-0.178	0.026
"BIK"	-0.41	0.012
"BMP2KL"	-0.42	0.013
"BMPR1A"	-0.763	0
"BOLA1"	-0.138	0.009
"BST2"	-0.557	0.009
"C10orf4"	-0.681	0.039
"C11orf64"	-0.734	0.027
"C12orf52"	-0.183	0.043
"C14orf148"	-0.567	0.012
"C14orf2"	-0.458	0.013
"C16orf63"	-0.554	0.029
"C16orf72"	-0.769	0.007
"C19orf2"	-0.57	0.038
"C1GALT1C1"	-0.655	0.006
"C1orf126"	-0.254	0.027
"C1QC"	-0.269	0.019
"C21orf49"	-0.326	0.027
"C21orf66"	-0.164	0.048
"C22orf27"	-0.517	0.011
"C22orf29"	-0.408	0.017
"C22orf32"	-0.812	0.038
"C2orf58"	-0.474	0.036
"C2orf81"	-0.375	0.025
"C2orf85"	-0.28	0.038
"C3orf24"	-0.421	0.032
"C3orf39"	-0.691	0.012
"C8orf37"	-0.263	0.038
"C9orf125"	-0.419	0.039
"CAD"	-0.562	0.036
"CALY"	-0.483	0.048
