"Gene name"	"score"	"pval"
"ABCA3"	-0.0586	0.038
"ABCB5"	-0.0458	0.039
"ABCC6"	-0.126	0.024
"ABCE1"	-0.152	0.012
"ACAT1"	-0.133	0.026
"ACBD5"	-0.0702	0.04
"ACER3"	-0.122	0.044
"ACTBL2"	-0.029	0.046
"ACVR1"	-0.223	0.008
"ADAM33"	-0.17	0.025
"ADCY9"	-0.0685	0.024
"ADCYAP1"	-0.145	0.017
"ADH5"	-0.489	0.03
"ADIPOR1"	-0.301	0.038
"ADNP"	-0.0456	0.047
"ADRBK2"	-0.107	0.038
"AGL"	-0.0776	0.012
"AKAP8L"	-0.0576	0.031
"AKT1"	-0.148	0.011
"ALDH3B1"	-0.0256	0.048
"ALS2"	-0.0714	0.03
"AMBP"	-0.0268	0.017
"AMIGO3"	-0.0453	0.041
"ANAPC4"	-0.473	0
"ANKRD20A2"	-0.0495	0.038
"AP2S1"	-0.0584	0.027
"APOBEC3B"	-0.173	0.043
"APOL1"	-0.0608	0.036
"APOL2"	-0.546	0.011
"AQP5"	-0.466	0.022
"AQR"	-0.867	0
"ARCN1"	-0.688	0.038
"ARFRP1"	-0.118	0.01
"ARG1"	-0.161	0.027
"ARHGAP10"	-0.0558	0.049
"ARHGAP25"	-0.056	0.037
"ARHGAP29"	-0.0784	0.042
"ARHGEF4"	-0.0512	0.036
"ARID4A"	-0.0491	0.041
"ARSJ"	-0.0168	0.025
"AS3MT"	-0.373	0.023
"ASCC2"	-0.0145	0.05
"ATP11A"	-0.19	0.014
"ATP1A1"	-0.394	0.042
"ATP5S"	-0.141	0.027
"ATP6V0A1"	-0.334	0.013
"ATP6V0D1"	-0.15	0.012
"ATP9B"	-0.0849	0.027
"ATXN10"	-0.2	0.028
"AURKB"	-0.555	0.001
"AZI1"	-0.0818	0.04
"AZIN1"	-0.254	0.042
"B3GALNT2"	-0.282	0.038
"BAI2"	-0.0282	0.025
"BCR"	-0.506	0.035
"BDKRB1"	-0.199	0.007
"BEGAIN"	-0.101	0.043
"BIRC5"	-0.281	0.05
"BRIX1"	-0.15	0.024
"BTBD16"	-0.101	0.047
"BTG1"	-0.283	0.027
"BTNL9"	-0.142	0.008
"BUB1B"	-0.0863	0.004
"C10orf72"	-0.00598	0.038
"C12orf66"	-0.243	0.005
"C14orf148"	-0.0577	0.002
"C14orf2"	-0.0446	0.028
"C16orf62"	-0.143	0.038
"C16orf87"	-0.138	0.037
"C17orf46"	-0.00455	0.032
"C19orf10"	-0.0645	0.042
"C19orf18"	-0.00863	0.022
"C1orf77"	-0.0789	0.048
"C21orf45"	-0.26	0.037
"C22orf27"	-0.309	0.029
"C22orf32"	-0.0305	0.011
"C2orf81"	-0.286	0.024
"C3orf39"	-0.117	0.011
"C6orf167"	-0.196	0.032
"C6orf174"	-0.0591	0.042
"C8orf44"	-0.0407	0.023
"C9orf30"	-0.124	0.024
"CA7"	-0.11	0.018
"CABP1"	-0.106	0.037
"CACNA1A"	-0.152	0.038
"CACNG2"	-0.00859	0.048
"CALHM1"	-0.041	0.016
"CALM2"	-0.421	0.027
"CAMP"	-0.0371	0.039
"CASQ1"	-0.372	0.043
"CATSPER4"	-0.0335	0.038
"CBFA2T2"	-0.265	0.024
"CCL25"	-0.071	0.043
"CCL28"	-0.0311	0.048
"CCNA1"	-0.0417	0.046
"CCNB2"	-0.145	0.028
"CCNB3"	-0.235	0
"CCNG1"	-0.0714	0.028
"CCR6"	-0.139	0
"CCRN4L"	-0.247	0.023
"CCT3"	-0.65	0.012
"CCT4"	-0.345	0.043
"CCT5"	-0.455	0.027
"CCT6A"	-0.467	0.009
"CCT7"	-0.514	0.024
"CD160"	-0.0822	0.021
"CD2"	-0.24	0.038
"CD38"	-0.218	0.023
"CD59"	-0.0918	0.027
"CD70"	-0.111	0.013
"CD83"	-0.166	0.035
"CDA"	-0.176	0.02
"CDC37"	-0.147	0
"CDC40"	-0.427	0.019
"CDC5L"	-0.362	0.006
"CDH8"	-0.0891	0.027
"CDK1"	-0.337	0.004
"CDK11B"	-0.583	0.001
"CDK12"	-0.285	0.015
"CDK17"	-0.258	0.022
"CDK2AP2"	-0.122	0.046
"CDKN2C"	-0.0214	0.012
"CDRT4"	-0.0438	0.042
"CEACAM21"	-0.0493	0.03
"CEBPB"	-0.0327	0.015
"CEND1"	-0.0491	0.027
"CENPO"	-0.0533	0.03
"CEP110"	-0.132	0.017
"CEP55"	-0.0563	0.01
"CHD4"	-0.508	0.04
"CHML"	-0.22	0.049
"CHRM1"	-0.00636	0.012
"CHRNA4"	-0.1	0.039
"CKMT1B"	-0.107	0.017
"CLEC2D"	-0.24	0.025
"CLK3"	-0.0881	0.03
"CLPP"	-0.19	0.038
"CLU"	-0.045	0.043
"CLUL1"	-0.339	0.026
"CMTM3"	-0.0283	0.02
"CMTM4"	-0.239	0.011
"CNOT1"	-0.063	0.007
"CNOT3"	-0.156	0.034
"CNOT6L"	-0.0696	0.035
"CNPY4"	-0.47	0.031
"COCH"	-0.253	0.014
"COL11A2"	-0.131	0.038
"COL25A1"	-0.109	0.039
"COL29A1"	-0.0444	0.049
"COL2A1"	-0.128	0.046
"COPA"	-0.174	0.009
"COPB1"	-1.07	0
"COPB2"	-0.0306	0.012
"COPS2"	-0.0816	0
"COPS3"	-0.0971	0.01
"COPS4"	-0.0527	0.043
"COPS8"	-0.106	0.01
"COX4I2"	-0.244	0.05
"COX5A"	-0.183	0.027
"COX5B"	-0.331	0.035
"CPSF1"	-0.19	0.017
"CR1"	-0.0427	0.023
"CRTAM"	-0.0181	0.023
"CRYL1"	-0.0378	0.014
"CSE1L"	-0.422	0.048
"CSGALNACT2"	-0.18	0.036
"CSNK1E"	-0.107	0.03
"CSNK1E"	-0.0567	0.03
"CSTF3"	-0.0298	0.042
"CTDP1"	-0.35	0.021
"CTSA"	-0.194	0.045
"CTSC"	-0.0731	0.029
"CUX2"	-0.0581	0.049
"CWC22"	-0.0988	0.003
"CWF19L1"	-0.0476	0.038
"CXADR"	-0.158	0.017
"CYBASC3"	-0.0619	0.024
"CYorf15A"	-0.234	0.019
"CYorf15B"	-0.113	0.042
"CYP1A1"	-0.0787	0.032
"CYP1A2"	-0.132	0.024
"DAPK1"	-0.308	0.015
"DDB2"	-0.277	0.034
"DDR1"	-0.106	0.011
"DDX17"	-0.0424	0.01
"DDX18"	-0.328	0.005
"DDX21"	-0.18	0.016
"DDX41"	-0.277	0.039
"DDX49"	-0.299	0.036
"DEFA3"	-0.102	0.027
"DHCR7"	-0.0489	0.018
"DHX9"	-0.224	0.047
"DIS3"	-0.033	0.037
"DKC1"	-0.0315	0.034
"DLC1"	-0.0251	0.006
"DLG5"	-0.112	0.038
"DMC1"	-0.000332	0.013
"DMPK"	-0.00438	0.009
"DMRTA2"	-0.0746	0.029
"DNAJC17"	-0.0566	0.02
"DNAJC19"	-0.0606	0.038
"DNASE2B"	-0.097	0.014
"DNM2"	-0.367	0.028
"DNTTIP2"	-0.144	0.015
"DOM3Z"	-0.0461	0.023
"DOPEY1"	-0.034	0.032
"DPP3"	-0.254	0.049
"DPP7"	-0.302	0.013
"DSCR8"	-0.00547	0.005
"DSCR9"	-0.0322	0.038
"DUOXA2"	-0.153	0.03
"DUSP16"	-0.353	0.04
"DUSP7"	-0.0523	0.026
"DYNC1H1"	-0.117	0.012
"DYNC1I2"	-0.286	0.036
"DYNLRB1"	-0.225	0.014
"ECHDC3"	-0.0896	0.036
"ECT2"	-0.179	0.007
"EEF2"	-0.437	0.035
"EFTUD2"	-0.467	0
"EIF1AX"	-0.55	0.027
"EIF2S2"	-0.341	0.009
"EIF2S3"	-0.423	0.021
"EIF3A"	-0.756	0.006
"EIF3B"	-1.01	0.001
"EIF3C"	-0.597	0.011
"EIF3D"	-0.328	0.006
"EIF3FP3"	-0.576	0.011
"EIF3G"	-0.503	0.007
"EIF3I"	-0.437	0.001
"EIF3M"	-0.331	0.014
"EIF4A3"	-0.226	0.028
"EIF4G2"	-0.0777	0.044
"EIF5B"	-0.831	0
"EIF6"	-0.212	0.001
"EP400NL"	-0.101	0.021
"EPB41L4A"	-0.0894	0.043
"EPHB4"	-0.179	0.038
"EPS8"	-0.108	0.043
"ERAP1"	-0.0639	0.04
"ERCC6L"	-0.293	0.012
"ERGIC2"	-0.0385	0.025
"ERH"	-0.447	0.046
"ERMAP"	-0.0084	0.042
"ERO1L"	-0.137	0.034
"ESPN"	-0.0544	0.012
"ETF1"	-0.296	0.013
"ETNK2"	-0.127	0.022
"EVX2"	-0.00581	0.009
"EXOSC10"	-0.393	0.009
"EXOSC6"	-0.216	0.018
"EXOSC9"	-0.0695	0.018
"EYA1"	-0.218	0.015
"FAM126A"	-0.203	0.007
"FAM136A"	-0.134	0.027
"FAM164C"	-0.117	0.017
"FATE1"	-0.122	0.01
"FBLN1"	-0.132	0.043
"FBXO34"	-0.0551	0.039
"FBXO8"	-0.333	0.018
"FCRL2"	-0.0715	0.039
"FGF8"	-0.0472	0.02
"FGFBP1"	-0.147	0.042
"FHL2"	-0.0447	0.035
"FIG4"	-0.0419	0.038
"FKBP3"	-0.05	0.027
"FKBP9"	-0.161	0.034
"FN3KRP"	-0.0325	0.027
"FNDC7"	-0.0993	0.011
