"Gene name"	"score"	"pval"
"A1CF"	-0.258	0
"ABCC6"	-0.333	0
"ABHD12"	-0.343	0.037
"ABTB1"	-0.137	0.041
"ACTR2"	-0.124	0.026
"ACTR5"	-0.156	0.043
"ADAM17"	-0.153	0.006
"ADAM18"	-0.265	0.034
"ADAM21"	-0.226	0.034
"ADAMTS13"	-0.33	0.05
"ADCY1"	-0.308	0.041
"AGAP3"	-0.134	0.028
"AGBL4"	-0.0579	0.027
"AGL"	-0.27	0.033
"ALDOC"	-0.184	0.036
"ALG10B"	-0.239	0.022
"ALOX12B"	-0.202	0.032
"AMPD3"	-0.253	0.04
"AMT"	-0.194	0.022
"ANAPC4"	-0.62	0.021
"AP1AR"	-0.398	0.024
"AP1S2"	-0.174	0.021
"AQR"	-0.523	0.01
"ARCN1"	-0.445	0.003
"ARG2"	-0.209	0.039
"ARHGAP10"	-0.385	0.023
"ARHGAP29"	-0.226	0.029
"ARHGEF2"	-0.146	0.022
"ARL1"	-0.27	0.05
"ARL2BP"	-0.172	0.046
"AS3MT"	-0.22	0.002
"ASTL"	-0.211	0.049
"ATP5S"	-0.352	0.044
"ATP6V0D1"	-0.372	0.01
"ATP7B"	-0.154	0.001
"AURKB"	-0.386	0.036
"B3GALNT2"	-0.297	0.01
"B3GNT5"	-0.266	0.028
"B4GALT4"	-0.103	0.05
"BAT2L2"	-0.192	0.027
"BAT4"	-0.204	0.008
"BCMO1"	-0.164	0.016
"BDKRB2"	-0.158	0.042
"BIK"	-0.162	0.018
"BMP7"	-0.111	0.046
"BMPR1A"	-0.467	0.022
"BOP1"	-0.242	0.032
"BRD4"	-0.104	0.01
"BRUNOL4"	-0.3	0.044
"BTNL9"	-0.326	0.048
"BUB1B"	-0.277	0.001
"C11orf75"	-0.154	0.03
"C16orf62"	-0.378	0.037
"C19orf2"	-0.244	0.01
"C1QBP"	-0.238	0.029
"C21orf66"	-0.226	0.047
"C22orf29"	-0.358	0.037
"C2orf81"	-0.324	0.047
"C3orf39"	-0.403	0.037
"C6orf167"	-0.178	0.024
"C9orf30"	-0.248	0.043
"C9orf93"	-0.332	0.03
"CACNA2D3"	-0.265	0.027
"CACNB3"	-0.146	0.024
"CAPN2"	-0.189	0.021
"CARS2"	-0.435	0
"CASP8AP2"	-0.252	0.01
"CCDC141"	-0.145	0.02
"CCDC27"	-0.296	0.037
"CCDC55"	-0.21	0.037
"CCDC83"	-0.153	0.007
"CCHCR1"	-0.205	0.01
"CCL25"	-0.141	0.001
"CCNA1"	-0.244	0.047
"CCNB3"	-0.529	0.001
"CCR6"	-0.293	0.002
"CCR8"	-0.35	0.001
"CCT3"	-0.618	0.029
"CCT4"	-0.262	0.027
"CCT8"	-0.423	0.039
"CD300LB"	-0.132	0.035
"CD33"	-0.23	0.029
"CDC23"	-0.371	0.022
"CDC37L1"	-0.255	0.01
"CDC40"	-0.217	0
"CDC5L"	-0.592	0.002
"CDCA5"	-0.126	0.023
"CDH5"	-0.0819	0.047
"CDK11B"	-0.369	0
"CDK9"	-0.0744	0.028
"CDKL5"	-0.172	0.01
"CDR2"	-0.495	0.003
"CDRT4"	-0.321	0.027
"CEACAM4"	-0.313	0.037
"CELA2A"	-0.219	0.014
"CENPC1"	-0.245	0.011
"CENPE"	-0.19	0.008
"CENPM"	-0.185	0.05
"CFL1"	-0.164	0.041
"CHD4"	-0.47	0.035
"CHEK1"	-0.238	0.002
"CHRM1"	-0.301	0
"CHST9"	-0.162	0.05
"CIC"	-0.0864	0.037
"CLDN11"	-0.0825	0.04
"CLDN6"	-0.315	0.022
"CLEC5A"	-0.401	0.021
"CLK1"	-0.0743	0.041
"CLUL1"	-0.258	0.045
"CLVS2"	-0.103	0.04
"CNOT6L"	-0.227	0.023
"COCH"	-0.163	0.01
"COL10A1"	-0.164	0.021
"COL11A2"	-0.224	0.033
"COL8A1"	-0.241	0.016
"COL8A2"	-0.0693	0.009
